,P1 Area Under Curve:,P1 Average Slope:,P1 Avg Peak:,P1 Kurtosis:,P1 Max Peak:,P1 Max:,P1 Median:,P1 Min Peak:,P1 Min:,P1 Mode:,P1 Skewness:,P1 Standard Deviation:,P1 Sum:,P1 Time To Peak:,P2 Area Under Curve:,P2 Average Slope:,P2 Avg Peak:,P2 Kurtosis:,P2 Max Peak:,P2 Max:,P2 Median:,P2 Min Peak:,P2 Min:,P2 Mode:,P2 Skewness:,P2 Standard Deviation:,P2 Sum:,P2 Time To Peak:,P3 Area Under Curve:,P3 Average Slope:,P3 Avg Peak:,P3 Kurtosis:,P3 Max Peak:,P3 Max:,P3 Median:,P3 Min Peak:,P3 Min:,P3 Mode:,P3 Skewness:,P3 Standard Deviation:,P3 Sum:,P3 Time To Peak:,P4 Area Under Curve:,P4 Average Slope:,P4 Avg Peak:,P4 Kurtosis:,P4 Max Peak:,P4 Max:,P4 Median:,P4 Min Peak:,P4 Min:,P4 Mode:,P4 Skewness:,P4 Standard Deviation:,P4 Sum:,P4 Time To Peak:,P5 Area Under Curve:,P5 Average Slope:,P5 Avg Peak:,P5 Kurtosis:,P5 Max Peak:,P5 Max:,P5 Median:,P5 Min Peak:,P5 Min:,P5 Mode:,P5 Skewness:,P5 Standard Deviation:,P5 Sum:,P5 Time To Peak:,P6 Area Under Curve:,P6 Average Slope:,P6 Avg Peak:,P6 Kurtosis:,P6 Max Peak:,P6 Max:,P6 Median:,P6 Min Peak:,P6 Min:,P6 Mode:,P6 Skewness:,P6 Standard Deviation:,P6 Sum:,P6 Time To Peak:,P7 Area Under Curve:,P7 Average Slope:,P7 Avg Peak:,P7 Kurtosis:,P7 Max Peak:,P7 Max:,P7 Median:,P7 Min Peak:,P7 Min:,P7 Mode:,P7 Skewness:,P7 Standard Deviation:,P7 Sum:,P7 Time To Peak:,P8 Area Under Curve:,P8 Average Slope:,P8 Avg Peak:,P8 Kurtosis:,P8 Max Peak:,P8 Max:,P8 Median:,P8 Min Peak:,P8 Min:,P8 Mode:,P8 Skewness:,P8 Standard Deviation:,P8 Sum:,P8 Time To Peak:,acX Area Under Curve:,acX Average Slope:,acX Avg Peak:,acX Kurtosis:,acX Max Peak:,acX Max:,acX Median:,acX Min Peak:,acX Min:,acX Mode:,acX Skewness:,acX Standard Deviation:,acX Sum:,acX Time To Peak:,acY Area Under Curve:,acY Average Slope:,acY Avg Peak:,acY Kurtosis:,acY Max Peak:,acY Max:,acY Median:,acY Min Peak:,acY Min:,acY Mode:,acY Skewness:,acY Standard Deviation:,acY Sum:,acY Time To Peak:,acZ Area Under Curve:,acZ Average Slope:,acZ Avg Peak:,acZ Kurtosis:,acZ Max Peak:,acZ Max:,acZ Median:,acZ Min Peak:,acZ Min:,acZ Mode:,acZ Skewness:,acZ Standard Deviation:,acZ Sum:,acZ Time To Peak:
0,26.3084215834594,579.3177960461329,28.41875,-0.297715436828101,58.0,58.0,21.4,12.1,9.1,26.45079365079365,0.9508597737999742,14.17049266127275,1666.4,0.2510716086737267,41.429122541603626,893.2341858652811,40.86428571428571,-0.916235079835245,84.8,84.8,35.1,14.8,1.6,41.87936507936508,0.4455711655262246,23.50092763255046,2638.4,0.2869389813414019,37.150403429147765,714.1554555360497,42.162499999999994,-0.3972035827805187,63.4,63.4,33.5,28.4,4.9,37.522222222222226,-0.17589003181500373,12.574416480329754,2363.9,0.2656643973777105,32.73935955622794,585.3145746826754,35.4470588235294,0.17325188849829098,55.0,55.0,30.9,21.7,7.6,32.96349206349206,-0.2905321413539378,9.663671605509448,2076.7,0.2606567589214203,23.753151790216847,686.1046243178714,28.354545454545452,-1.2675107445869924,50.0,50.0,25.4,10.0,1.7,25.036507936507938,-0.06679323772343576,13.239984669946558,1577.3,0.28359235318388115,31.018910741301056,767.8004954884561,42.90714285714286,7.973406391840658,141.3,141.3,26.0,9.6,6.4,30.396825396825395,2.235602028295577,22.43097633712728,1915.0,0.22700093653195014,29.559884014120023,707.1253637099992,42.699999999999996,11.539769610538022,131.1,131.1,26.1,18.8,1.7,28.955555555555556,2.70954300293291,19.036872352373788,1824.2,0.22096150613548496,16.866792738275336,752.2876507025853,23.258823529411767,27.44829768658236,108.8,108.8,11.5,9.8,1.6,15.353968253968254,4.668683826663192,14.276631316277358,967.3,0.2860194001957818,-1.3751538073625815,2.7366824114813473,-1.3598000000000003,1.4499198409061407,0.0,-1.327,-1.381,-1.376,-1.43,-1.3759523809523808,-0.04953810881991926,0.01813784901305212,-86.685,0.27410489157841655,-1.4479185577407967,2.1868782723471445,-1.437473684210526,4.284500043737658,0.0,-1.415,-1.449,-1.449,-1.508,-1.4485873015873016,-1.3831481077186525,0.015397564659381574,-91.261,0.2762162592563102,-1.4966873424104892,1.4603827079785936,-1.486894736842105,1.04006250493324,0.0,-1.464,-1.503,-1.503,-1.527,-1.4982539682539682,0.6140279979628317,0.013638144152869887,-94.39,0.25631021578151125
1,15.722315950920244,667.7635503596786,19.86842105263157,-0.14518899610056124,28.5,28.5,16.4,7.5,4.4,16.05,-0.26246989618967365,5.5200448840918,1091.3999999999999,0.2747551393821978,22.846728016359922,805.0882578118327,27.28666666666667,-1.2676383461986331,57.1,57.1,18.8,8.1,1.6,23.341176470588234,0.4318196604523766,17.753832760836083,1587.2,0.2828902522154056,64.35920245398773,1181.3625904492062,74.34210526315792,-1.2948612955747132,100.2,100.2,75.1,35.2,21.6,66.71764705882353,-0.45084998171341994,22.911119253013638,4536.8,0.2668711656441718,47.1754345603272,723.2283041784449,53.53333333333333,-1.2451097759371725,69.9,69.9,49.3,34.0,24.6,47.94558823529412,0.010055869218956497,12.121566248036231,3260.3,0.2611054305839582,57.070296523517385,1085.3350186531334,74.65833333333333,-0.9970353807678891,100.9,100.9,69.3,10.0,5.0,59.3235294117647,-0.6044555392863982,30.185417640039365,4034.0,0.27266530334015,67.28202965235174,1224.6553653108235,79.74375,-0.9680528226874134,133.5,133.5,65.3,19.4,3.2,68.87058823529412,0.09030893845786825,34.402911447531956,4683.2,0.2503195296523517,69.59424846625767,1352.4996058153527,75.39999999999999,-0.9209851445329189,137.6,137.6,64.55,29.3,24.1,70.18676470588235,0.45107634493740506,31.157485885258442,4772.7,0.27334696659850033,40.81786809815951,1178.1977340308622,41.918749999999996,3.3526478304684106,117.5,117.5,36.4,21.3,13.0,40.101470588235294,1.7973113888920453,22.640681208088377,2726.9,0.25651840490797545,-1.3783404907975458,1.8599189015918545,-1.3671904761904758,1.4857761868061665,0.0,-1.351,-1.381,-1.381,-1.42,-1.3777794117647058,-0.44371097180846175,0.012716008934838938,-93.689,0.26996299542311814,-1.4423627300613497,3.3275145272239035,-1.4267272727272728,2.1563596909632654,0.0,-1.381,-1.4465,-1.449,-1.493,-1.4431323529411766,0.5937656455001031,0.019547038109612627,-98.133,0.263757203941253,-1.5018310327198363,2.5079689287260254,-1.4911500000000002,1.9707601172621505,0.0,-1.474,-1.503,-1.503,-1.557,-1.5037205882352942,-0.92857812336787,0.01562226271018791,-102.253,0.2335633946830266
2,15.663160543532964,480.8289074626558,19.529411764705884,7.437459481226396,34.6,34.6,14.9,14.9,5.9,15.879104477611941,1.7374293897119741,3.8554776976138543,1063.9,0.2406524763906569,14.127403120281834,386.36345444389764,20.029411764705884,0.5376323880712124,37.5,37.5,14.4,11.2,1.6,14.419402985074626,0.21513268273296576,7.137592302772485,966.1,0.265283164096036,69.31935078007047,793.530318098124,70.48,-1.416164560987764,96.4,96.4,85.2,33.5,25.0,68.96417910447761,-0.5538303104604783,24.24296024961484,4620.6,0.2723033048146284,51.89984901862103,771.3816690653123,59.28333333333332,-1.256583997895226,81.8,81.8,51.7,32.5,15.3,52.208955223880594,-0.06516617631596092,18.20223705318632,3498.0,0.3170329363082257,61.878610971313535,944.7854321925336,69.88181818181819,-1.2199437887580673,95.2,95.2,76.6,11.6,1.6,61.60746268656717,-0.6863024956033975,30.806012367879593,4127.7,0.2852633023745253,79.44713135379969,1168.065918767035,88.39166666666667,-0.9799516199058771,157.1,157.1,83.1,22.7,9.6,77.63582089552239,-0.06624754007556026,38.93645834344814,5201.6,0.2844321422580104,78.17544036235532,1142.2379164768092,81.96666666666667,-0.8250087942906084,152.0,152.0,82.4,34.6,18.8,76.8910447761194,0.030513726310008853,33.93150288869981,5151.7,0.29386847844321423,47.094111726220426,856.2324247725829,55.46153846153845,2.582585499796582,121.3,121.3,36.4,31.3,26.3,45.71492537313433,1.8431327847074261,21.945139958482304,3062.9,0.29158762726955983,-1.3802035732259688,2.194586107054205,-1.3672105263157892,1.529639546663386,0.0,-1.347,-1.381,-1.381,-1.435,-1.3798507462686567,-0.5785916369748505,0.016192266889178998,-92.45,0.2735676634969406,-1.4461207851031708,2.1178730396486007,-1.4328,6.040547534171425,0.0,-1.405,-1.449,-1.449,-1.518,-1.4462985074626866,-1.2020007272626818,0.015919318286543457,-96.902,0.2566935078007046,-1.502884499245093,2.449483372489687,-1.4874500000000002,2.5733100233824455,0.0,-1.459,-1.503,-1.503,-1.566,-1.5029850746268656,-0.9930925619081854,0.01833236295281488,-100.7,0.284121791645697
3,14.800967906265923,596.9766355371943,17.176470588235293,0.9603168942171618,35.5,35.5,13.3,11.8,2.9,14.778125000000001,1.1067144085783613,6.66848710264144,945.8000000000001,0.2857870606214977,15.084666327050432,840.1951709996546,18.75,4.518832467910325,28.5,60.0,13.600000000000001,8.0,1.6,16.2625,1.7765144908436727,10.345361662914831,1040.8,0.2740703005603668,55.55980641874681,639.0634001167047,60.94166666666667,-1.5832550671415342,96.4,96.4,48.3,33.5,26.7,56.6390625,0.2506789725148868,22.503668957915735,3624.9,0.24431142808626252,48.0266428935303,640.3667541268795,54.35,-0.782094294131884,81.8,81.8,42.8,37.2,32.5,48.30625,0.7131389074512839,13.489971289696113,3091.6,0.2831444218033622,43.09959246051962,956.844012257643,47.31249999999999,-1.6398702183717278,95.0,95.0,41.5,8.3,1.6,45.3734375,0.1035892372016161,31.87062259858487,2903.9,0.29502037697401934,55.3728476821192,1539.828625372639,54.60999999999999,-1.1314690130033545,135.5,135.5,49.7,16.2,6.4,57.103125,0.4141507064077156,37.35057836720978,3654.6,0.27671930718288335,63.50211411105451,924.6704148958513,66.28571428571429,-0.908683056791824,137.6,137.6,53.5,29.3,22.3,64.965625,0.5947367516935566,34.12338591449918,4157.8,0.271705116075977,45.443352012226185,821.6990627531659,49.43076923076923,4.897765167229191,131.0,131.0,38.1,31.3,26.3,46.0578125,2.335943041511691,23.78703665022624,2947.7,0.2734041302558878,-1.3761619969434538,3.220793169909285,-1.3597058823529413,2.0153447036559635,0.0,-1.327,-1.376,-1.381,-1.42,-1.3757656249999999,0.4316854247703978,0.015730611333845457,-88.04899999999999,0.2676875131101855,-1.4480056036678555,3.090336898200678,-1.4329499999999995,1.3123830089357211,0.0,-1.405,-1.449,-1.449,-1.508,-1.448375,-0.545272967524207,0.018269151725296532,-92.696,0.2457208354559348,-1.5005015282730514,2.3340242079102613,-1.4857272727272728,4.318142788685107,0.0,-1.425,-1.503,-1.503,-1.547,-1.500609375,0.8791781933885292,0.017790328376119366,-96.039,0.24190709952299355
4,52.473096976016684,874.2671932427943,50.24999999999999,0.7898043780965573,144.4,144.4,32.5,24.9,14.6,49.25606060606061,1.510881696369258,37.92823640179064,3250.9,0.21686363109720774,71.65784671532847,949.1935109570749,68.27142857142857,0.6278840550569429,182.0,182.0,56.6,30.1,18.9,67.55,1.352841679536462,45.10403103254315,4458.3,0.22452703709220914,61.667805005213765,881.4543099543417,68.18823529411765,-1.1641804879451172,102.1,102.1,67.9,26.7,19.9,60.85909090909091,-0.33261623580321886,23.431654968129216,4016.7,0.2362448629086671,43.877737226277375,568.7011044160446,47.06153846153846,-1.0309313145307697,69.9,69.9,39.599999999999994,34.0,27.7,44.268181818181816,0.5589668310119823,11.589652667403323,2921.7,0.2886821207989091,68.37205422314912,788.0141267102829,66.28666666666668,-1.012721872963512,123.9,135.5,76.95,19.9,6.6,67.88181818181818,-0.09212549113671611,36.04605135353688,4480.2,0.22151546750086898,71.68459332638164,1091.4688292797705,75.58999999999999,-1.0208269915675132,159.1,159.1,75.05000000000001,11.3,4.8,70.63333333333334,0.05570359161973567,41.928585194473904,4661.8,0.2619395203336809,72.12885818561001,1077.7812666467944,74.18666666666667,-0.7433265583499895,162.5,162.5,75.75,34.6,25.8,72.0030303030303,0.3974133429007008,34.21985914504558,4752.2,0.24254431699687173,58.26014077163712,1049.0419088907956,63.48461538461539,1.1177524122363582,136.8,136.8,47.55,34.7,29.7,57.57575757575758,1.4609649470774826,26.152305741006767,3800.0,0.23137081896205983,-1.3733357664233576,3.045100071595116,-1.3637083333333333,1.1373977270046511,0.0,-1.332,-1.376,-1.381,-1.41,-1.3756060606060605,0.6368549959548397,0.01580932420866658,-90.78999999999999,0.2570603058741745,-1.4517161105318042,2.1758599686777216,-1.4396666666666664,1.2818767069134376,0.0,-1.41,-1.449,-1.454,-1.488,-1.4513181818181817,-0.48188527937083364,0.014941073065066805,-95.787,0.292914245990367,-1.499585245046924,2.537845405770491,-1.4889047619047617,1.6406853762457692,0.0,-1.464,-1.503,-1.508,-1.542,-1.4998939393939394,0.16524410880095575,0.014743059684400947,-98.993,0.26039028750186205
5,41.93883815322172,584.8876536102453,44.95454545454547,1.3963906391452703,60.3,60.3,41.6,37.0,24.9,41.63088235294118,0.6974344938319746,6.4653671468959555,2830.9,0.2575988192426549,41.10763571790969,753.9269901549349,44.93888888888888,-0.3444362580734408,60.0,60.0,41.6,33.4,26.9,41.252941176470586,0.17012874176090662,7.454428125822618,2805.2,0.2794407802018152,48.200355149670216,943.3363949292776,48.4375,-0.9534190994566885,72.4,87.1,49.2,31.8,6.6,47.79264705882353,0.047457081061159874,17.68383456235658,3249.9,0.2655060882800609,42.21265854895992,668.9501284347531,45.265,-0.225308331816076,85.2,85.2,35.6,29.3,24.6,41.93970588235294,0.8984949305269494,14.316759198298142,2851.9,0.2767630644342973,70.09048706240488,950.6488201380545,70.82142857142857,-1.5039836960734028,112.6,129.7,73.30000000000001,31.0,26.0,69.55735294117648,0.084920199747391,32.002963091248944,4729.9,0.2777777777777778,64.56897513952309,1439.698933152339,70.35833333333333,-0.6347780896720656,167.2,167.2,67.1,21.1,6.4,64.25147058823529,0.5535108277678022,41.22605498644505,4369.1,0.2728733299509555,72.87785388127854,1460.2430237858111,78.39285714285714,-1.4089025454957254,143.7,143.7,66.44999999999999,29.3,24.1,71.83529411764705,0.2791363920395459,38.22913542619806,4884.8,0.2541132130173226,58.715322171486555,1535.8075145008893,63.182352941176475,1.1428889862180398,142.7,142.7,48.4,38.1,26.3,57.9264705882353,1.3883284232242612,26.583670319499497,3939.0,0.2507237293699824,-1.376952562151192,2.413793085405435,-1.3597777777777775,3.002057172321143,0.0,-1.307,-1.376,-1.376,-1.42,-1.3768676470588235,0.4210669433671279,0.017824940109392343,-93.627,0.26004848074863296,-1.4422447995941143,2.5244222544826136,-1.4274285714285715,3.2868997229293653,0.0,-1.376,-1.4465,-1.444,-1.483,-1.4441176470588235,1.1256883201535497,0.01675595631388961,-98.2,0.24403855910705224,-1.4977092846270927,2.6962243660841323,-1.4874347826086955,1.5126316177342574,0.0,-1.464,-1.498,-1.498,-1.547,-1.498764705882353,-0.3817648042416957,0.013741882431021734,-101.916,0.28363443848851827
6,38.12680282400404,748.8741252202653,42.152631578947364,0.22344958645312785,49.4,49.4,37.0,34.0,23.5,37.833333333333336,0.4001763476369413,5.439822301019277,2610.5,0.26501579212782334,40.72312153303076,909.7336759459769,45.74,-0.6800139988618779,61.7,61.7,40.0,28.5,12.5,40.64782608695652,0.1405409500758858,11.273728031756635,2804.7,0.27544125063035807,52.646671709531006,953.689317525489,60.01818181818181,-1.032861559722422,81.5,81.5,54.4,25.0,19.9,51.28405797101449,-0.353059533098548,16.813086842488516,3538.6,0.23568514188786502,53.99911749873929,841.4417659098838,58.21666666666667,-1.3893182667075372,85.2,85.2,56.7,34.0,21.5,52.80434782608695,-0.05833611466802827,16.06114634747112,3643.5,0.2561775088250126,68.70776601109428,1392.772987003248,70.65000000000002,-1.0221372753380211,103.2,103.2,74.2,27.7,16.2,66.72898550724638,-0.4855416917133876,25.21632350312973,4604.3,0.23189971904041495,73.05115985879978,1436.6444274861858,82.13333333333334,-0.4777412200756186,154.3,154.3,70.3,21.0,17.7,70.62608695652175,0.47365657751356327,38.07453082702674,4873.2,0.29461534151397994,87.31848209783156,1277.3670546596456,103.9923076923077,-0.6136558232485037,179.6,179.6,82.4,31.1,25.8,84.07536231884058,0.39472752316024,40.44025515497086,5801.2,0.2876372240971333,62.10741301059,1205.9109130983181,70.89285714285715,0.20767950878321972,129.0,129.0,50.2,38.1,18.0,60.86376811594203,1.1818376316223298,28.77142153869363,4199.6,0.27278294071032344,-1.3779909228441756,3.1630373993127683,-1.363285714285714,1.6561068280518478,0.0,-1.332,-1.376,-1.376,-1.439,-1.3791739130434781,-0.9192079725054163,0.019503360586545015,-95.163,0.2453473572989458,-1.4486162380231973,2.87565631052382,-1.4363,3.1354639111545772,0.0,-1.405,-1.449,-1.449,-1.488,-1.4484782608695652,0.29246183965997435,0.013774025742906124,-99.94500000000001,0.2791477559253656,-1.5036510337871911,3.3861892245603515,-1.489363636363636,1.935499194989573,0.0,-1.464,-1.503,-1.503,-1.566,-1.5037101449275363,-0.8350756809833485,0.018546524527185956,-103.756,0.2658735616375556
7,32.55089240183579,577.2578294945246,34.550000000000004,2.1433682835171632,40.1,47.8,32.5,29.5,17.5,32.52,-0.2614483591638832,4.736157557112844,2276.4,0.29289323628946273,34.63001019887813,803.6271236726058,37.6578947368421,-0.10018554671570845,49.9,56.6,33.4,26.9,12.5,34.528571428571425,0.30797447209646905,8.630685781561127,2417.0,0.27875144260447143,40.568867924528305,802.9377861183435,45.095454545454544,-1.3230653528094503,67.0,67.0,37.85,26.7,18.2,39.822857142857146,0.23968344332690467,14.81713825005777,2787.6,0.26505493486625564,51.654742478327385,802.1580022495542,49.505555555555546,-1.4860119683749409,76.7,76.7,45.2,37.2,32.5,50.72714285714286,0.4146526177401545,14.370782773235698,3550.9,0.24301660150716753,51.10662927078022,734.8358499542594,52.37500000000001,-1.6857288930114667,84.9,84.9,49.650000000000006,21.1,16.2,49.83571428571429,-0.013960178989438311,24.617709165453746,3488.5,0.26099566547679753,52.67164711881692,1224.575803362011,54.699999999999996,-1.04195656416548,119.5,119.5,53.7,14.4,3.2,50.11142857142857,0.34938646263506185,32.63386496964684,3507.8,0.270652728199898,69.72888832228456,1205.9044507293613,70.41,-1.2238643391384008,147.9,147.9,56.25,32.8,22.3,66.89285714285714,0.3973152020453939,35.89788383988943,4682.5,0.2941356450790413,53.132304946455896,981.2107261392841,59.23571428571427,0.46322504660226427,109.9,109.9,44.15,34.7,22.9,51.4,1.1585713523455958,20.104163531575935,3598.0,0.26524368033802,-1.3739869964303926,1.9993912000774656,-1.3626521739130435,0.5534423686695393,0.0,-1.342,-1.376,-1.376,-1.405,-1.3735142857142857,0.18535423031398565,0.012388333522044662,-96.146,0.2871871050706161,-1.4501795002549718,3.13800916432923,-1.4362272727272727,1.159680765880723,0.0,-1.405,-1.449,-1.459,-1.493,-1.450057142857143,-0.27186109645028045,0.0171935998492578,-101.504,0.2715451300356961,-1.5015494645588985,2.500511731325574,-1.4893499999999997,4.382438505727004,0.0,-1.444,-1.503,-1.508,-1.532,-1.5012142857142856,0.6971238526234529,0.013196280610314762,-105.085,0.2557368689444161
8,68.79225495175216,1077.9748392996191,75.93571428571428,-1.331561163937549,121.5,121.5,63.5,40.1,17.5,67.22394366197183,0.18461175313928174,28.179488309197687,4772.9,0.26075600377276353,92.54969527679025,1462.5688585732748,89.66363636363636,-1.4521119572056633,170.0,170.0,91.3,41.6,20.5,89.97183098591549,0.08019998198740577,43.929167606495774,6388.0,0.28057620388752946,61.96879126460132,802.0044470442102,68.16000000000001,-1.369534118493421,104.0,104.0,67.0,31.8,26.7,62.83380281690141,-0.158388729122281,22.996030363409446,4461.2,0.29212798374809545,43.79652107668868,876.2405802850867,48.25500000000001,-0.5336264706347569,71.6,71.6,43.6,32.5,18.3,43.978873239436616,0.22300842567188647,11.56650231725783,3122.5,0.26518537328593195,72.84520060944642,1138.1155180336334,81.89411764705882,-1.3229333745704284,129.7,129.7,72.4,27.7,16.2,75.00704225352112,-0.116735899261369,33.761771804993806,5325.5,0.2172198488333881,60.6026155408837,1570.2424942711784,76.57142857142857,-0.3334311202376048,150.4,150.4,61.5,25.9,9.6,65.41267605633803,0.5661440429704554,36.20171238877072,4644.3,0.3279402162083726,48.78590655154901,941.6826137035005,55.77333333333333,0.19367529935121075,113.4,113.4,49.0,29.3,24.1,53.41971830985916,0.9751686921048074,23.175754693942608,3792.8,0.27570678855595054,33.285195530726256,1020.7649928495753,39.57777777777778,3.310546677479124,91.3,91.3,31.3,28.0,19.6,37.17887323943662,2.053210884525339,17.1954056612553,2639.7,0.2283166864172451,-1.3798438293550022,3.775984713433784,-1.359,0.5309720836942016,0.0,-1.327,-1.376,-1.371,-1.43,-1.3787042253521127,-0.5355769476044616,0.020342351575116224,-97.888,0.25901472828847133,-1.4449095987811071,2.8052848380566044,-1.4291428571428573,0.8776533749164566,0.0,-1.405,-1.444,-1.449,-1.488,-1.445,-0.03619232690808889,0.01694529011680998,-102.595,0.26600401460736656,-1.4992308278313862,3.772711254090649,-1.4844285714285712,1.6897939382376448,0.0,-1.464,-1.498,-1.498,-1.562,-1.5002394366197183,-0.9313633420221575,0.01809693327510995,-106.517,0.2654235894459358
9,88.31393110435664,1180.5080019808138,59.93333333333332,2.0337488908519825,173.6,173.6,55.6,38.6,29.5,65.50727272727272,1.764713952427167,38.06885990249897,3602.9,0.2232691658223573,97.90934650455927,1266.4039535027148,61.442857142857136,1.7947826243242844,192.1,192.1,53.3,40.0,35.0,70.34727272727272,1.7586758595717151,43.761139765039864,3869.1,0.24015776523375307,58.602710233029384,832.4959550172817,56.8909090909091,-1.6485491061949316,87.1,88.9,45.7,31.8,23.3,56.27090909090909,0.15852344631032012,22.856757431214085,3094.9,0.2817537072856222,34.76694528875379,457.7439765676995,36.357142857142854,1.4614013150625862,56.7,56.7,32.5,29.3,21.5,34.04,1.0575073074653523,6.433408174579066,1872.2,0.28741496598639454,73.25681357649445,1160.5870050395386,79.5375,-1.6892129077813958,131.6,131.6,72.4,24.4,14.5,74.92181818181818,0.07726292037856916,41.232923248248596,4120.7,0.2638677811550152,66.50683890577508,917.2461001879667,85.56666666666668,-1.5777850878261608,142.5,142.5,66.7,19.3,17.7,73.18909090909091,0.21140477659502388,46.162369124995344,4025.4,0.33628841607565013,55.39318642350557,1314.0962928376334,72.62500000000001,-1.2628406609427565,129.4,129.4,52.6,24.1,13.6,63.38181818181818,0.4088283179392439,36.935930970167746,3486.0,0.2744427558257346,56.0218085106383,1021.7653773047535,59.61999999999999,0.2491659369213468,150.7,150.7,48.4,34.7,28.0,63.32727272727273,1.148807652576017,33.91087695353182,3483.0,0.20542046605876393,-1.3745889057750758,1.5451075714994205,-1.361866666666667,1.5903468925174273,0.0,-1.327,-1.376,-1.376,-1.41,-1.3728181818181817,0.2285019100536085,0.015762227363155586,-75.505,0.23779128672745695,-1.4471613475177305,2.3361200125137263,-1.4348333333333332,1.6832383020568908,0.0,-1.41,-1.449,-1.449,-1.493,-1.4479818181818183,-0.7536872484269682,0.015701487201430987,-79.639,0.2780310705842621,-1.4980531914893616,2.165962949879141,-1.4858823529411767,5.187383816849268,0.0,-1.439,-1.498,-1.498,-1.547,-1.4980181818181817,0.41388770943573633,0.015200500611993607,-82.391,0.2849395077179808
