time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421959259284,14:40:59.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574,0.692,0.115,,
1421959259296,14:40:59.296,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.6,0.569,0.682,0.144,,
1421959259301,14:40:59.301,0.0,0.0,0.0,0.0,0.0,0.0,46.1,9.5,0.516,0.408,-0.012,,
1421959259310,14:40:59.309,0.0,1.7,0.0,6.2,10.1,0.0,1.5,0.0,0.555,0.618,0.071,,
1421959259314,14:40:59.314,28.4,0.0,0.0,0.0,4.3,32.6,0.0,1.6,0.398,0.726,0.237,,
1421959259322,14:40:59.318,0.0,0.0,0.0,9.2,39.9,0.0,4.6,0.0,0.320,0.364,-0.086,,
1421959259337,14:40:59.336,19.3,0.0,0.0,3.1,39.9,1.0,4.6,0.0,0.408,0.364,-0.061,,
1421959259343,14:40:59.343,14.4,1.7,49.7,0.0,0.0,0.0,6.1,21.4,0.413,0.545,0.105,,
1421959259348,14:40:59.347,19.3,1.7,25.2,22.7,10.1,0.0,3.1,33.9,0.555,0.682,0.120,,
1421959259368,14:40:59.367,22.6,0.0,26.8,3.0,0.0,0.0,39.3,68.0,0.389,0.677,0.291,,
1421959259372,14:40:59.372,0.0,16.5,25.2,25.8,14.3,1.0,3.1,32.3,0.408,0.364,-0.012,,
1421959259396,14:40:59.395,63.8,16.5,12.5,19.6,31.8,0.0,1.5,30.7,0.623,0.887,0.320,,
1421959259435,14:40:59.435,30.3,18.1,26.8,22.7,5.7,0.0,31.3,61.4,0.423,0.525,-0.012,,
1421959259472,14:40:59.471,57.0,16.5,25.2,22.7,23.0,1.0,0.0,18.3,0.784,0.467,0.027,,
1421959259487,14:40:59.486,32.0,0.0,28.4,22.7,20.1,0.0,21.2,32.3,0.437,0.364,0.183,,
1421959259528,14:40:59.524,32.0,0.0,23.6,60.8,17.1,0.0,0.0,0.0,0.784,0.467,0.071,,
1421959259532,14:40:59.532,32.0,26.2,25.2,12.0,17.1,50.2,33.6,9.1,0.472,0.369,0.007,,
1421959259559,14:40:59.559,30.3,26.2,25.2,22.7,18.6,0.0,18.1,61.4,0.516,0.369,0.134,,
1421959259571,14:40:59.571,30.3,24.5,12.5,13.5,20.1,0.0,22.7,24.5,0.687,0.765,0.139,,
1421959259607,14:40:59.607,30.3,26.2,30.0,22.7,21.5,0.0,21.2,30.7,0.442,0.359,0.169,,
1421959259644,14:40:59.644,35.2,0.0,23.6,65.7,28.8,0.0,22.7,32.3,0.379,0.364,-0.042,,
1421959259692,14:40:59.691,30.3,80.1,25.2,18.1,17.1,3.1,6.0,32.3,0.467,0.662,0.286,,
1421959259698,14:40:59.698,30.3,24.5,26.8,22.7,17.1,0.0,18.1,41.9,0.540,0.379,0.149,,
1421959259739,14:40:59.738,33.6,24.5,26.8,21.2,20.1,0.0,21.2,18.3,0.716,0.760,0.217,,
1421959259743,14:40:59.743,27.1,53.5,31.6,12.0,23.0,0.0,21.2,41.9,0.257,0.159,-0.037,,
1421959259774,14:40:59.774,32.0,24.5,12.5,18.1,56.0,9.3,1.5,35.5,0.408,0.369,-0.002,,
1421959259784,14:40:59.784,25.4,80.1,36.5,22.7,9.9,0.0,21.2,18.3,0.477,0.540,0.125,,
1421959259822,14:40:59.821,57.0,24.5,25.2,22.7,20.1,0.0,0.0,24.5,0.853,0.433,0.022,,
1421959259858,14:40:59.858,25.4,27.9,23.6,22.7,18.6,0.0,37.2,33.9,0.408,0.579,0.310,,
1421959259901,14:40:59.900,6.3,21.2,49.7,18.1,20.1,0.0,17.6,35.5,0.359,0.496,-0.120,,
1421959259961,14:40:59.960,32.0,27.9,0.0,21.2,56.0,24.0,5.8,41.9,0.423,0.369,-0.002,,
1421959259966,14:40:59.966,30.3,24.5,37.4,21.2,0.0,0.0,40.3,41.9,0.408,0.555,-0.007,,
1421959260007,14:41:00.006,43.5,26.2,37.4,22.7,34.2,2.0,35.7,6.0,0.804,0.555,0.066,,
1421959260019,14:41:00.018,28.7,26.2,42.3,16.6,31.3,0.0,38.8,41.9,0.232,0.174,0.022,,
1421959260043,14:41:00.042,19.0,26.2,12.2,19.6,65.8,0.0,38.8,21.4,0.579,0.833,0.281,,
1421959260047,14:41:00.047,30.3,24.5,39.0,21.2,19.7,0.0,91.6,48.3,0.437,0.442,-0.017,,
1421959260097,14:41:00.096,63.8,24.5,37.4,44.6,32.8,1.0,0.0,27.6,0.804,0.599,0.169,,
1421959260103,14:41:00.103,30.3,39.7,37.4,22.7,22.6,0.0,44.5,33.9,0.863,0.496,0.222,,
1421959260124,14:41:00.124,19.0,3.2,39.0,6.0,32.8,7.2,44.5,30.7,0.437,0.369,-0.002,,
1421959260162,14:41:00.162,30.3,32.9,39.0,22.7,8.4,0.0,64.8,29.2,0.628,0.540,0.203,,
1421959260199,14:41:00.198,30.3,22.9,37.4,21.2,28.4,33.7,23.3,29.2,0.706,0.506,0.056,,
1421959260207,14:41:00.206,57.0,0.0,55.3,22.7,28.4,0.0,44.5,32.3,0.535,0.736,0.349,,
1421959260237,14:41:00.237,23.8,24.5,35.8,18.1,62.7,0.0,43.0,32.3,0.418,0.369,-0.017,,
1421959260273,14:41:00.272,43.5,13.0,12.2,22.7,65.8,0.0,44.5,9.1,0.623,0.877,-0.056,,
1421959260311,14:41:00.310,30.3,38.0,39.0,21.2,19.7,0.0,84.1,41.9,0.525,0.413,0.007,,
1421959260346,14:41:00.346,0.0,31.2,39.0,21.2,28.4,0.0,44.5,24.5,0.838,0.745,0.134,,
1421959260353,14:41:00.353,43.5,48.3,12.2,46.2,29.8,0.0,44.5,32.3,0.413,0.389,0.257,,
1421959260361,14:41:00.360,9.4,16.3,39.0,62.4,29.8,0.0,32.3,21.4,0.765,0.491,-0.090,,
1421959260387,14:41:00.386,43.5,24.5,37.4,0.0,25.5,16.6,49.1,21.4,0.452,0.369,0.007,,
1421959260429,14:41:00.429,33.6,24.5,39.0,22.7,28.4,0.0,23.3,27.6,0.682,0.447,-0.027,,
1421959260466,14:41:00.465,9.4,26.2,39.0,21.2,29.8,51.3,77.6,32.3,0.525,0.755,0.247,,
1421959260478,14:41:00.477,28.7,38.0,62.0,0.0,53.6,0.0,43.0,54.8,0.281,0.178,-0.154,,
1421959260510,14:41:00.510,32.0,26.2,12.2,12.0,32.8,0.0,41.4,61.4,0.428,0.369,0.002,,
1421959260548,14:41:00.547,9.4,0.0,42.3,7.5,34.2,0.0,32.3,32.3,0.565,0.540,0.042,,
1421959260585,14:41:00.584,43.5,16.0,42.3,22.7,29.8,0.0,44.5,30.7,0.682,0.755,0.354,,
1421959260618,14:41:00.618,28.7,82.4,53.7,0.0,35.7,0.0,43.0,41.9,0.266,0.178,-0.213,,
1421959260627,14:41:00.627,32.0,34.1,24.7,24.2,65.8,28.3,11.6,46.7,0.374,0.369,-0.032,,
1421959260658,14:41:00.658,15.8,34.1,39.0,22.7,19.7,0.0,44.5,32.3,0.628,0.535,0.076,,
1421959260666,14:41:00.665,30.3,35.8,37.4,22.7,28.4,1.0,29.3,6.0,0.828,0.565,0.037,,
1421959260693,14:41:00.693,69.0,42.5,24.7,24.2,29.8,0.0,56.9,32.3,0.247,0.310,0.301,,
1421959260715,14:41:00.715,30.3,22.5,37.4,74.0,41.6,0.0,49.1,32.3,0.384,0.369,-0.032,,
1421959260752,14:41:00.751,32.0,34.1,89.2,15.0,26.9,0.0,26.3,32.3,0.496,0.662,0.291,,
1421959260790,14:41:00.789,11.0,19.3,37.4,47.8,24.0,0.0,41.4,54.8,0.472,0.374,0.071,,
1421959260826,14:41:00.825,28.7,32.4,18.4,0.0,29.8,3.1,35.4,32.3,0.657,0.775,0.232,,
1421959260835,14:41:00.835,28.7,77.1,45.5,17.8,32.8,0.0,43.0,32.3,0.428,0.364,0.139,,
1421959260864,14:41:00.864,32.0,0.0,37.4,59.6,59.6,0.0,55.4,32.3,0.418,0.369,-0.144,,
