46:10.3,1.42196E+12,AAA, ax,-0.23111938, ay,5.650749, az,7.592511
46:10.3,1.42196E+12,AAA, ax,-0.46538222, ay,5.8775277, az,7.7823167
46:10.3,1.42196E+12,AAA, ax,-0.46897477, ay,5.8938437, az,7.8968287
46:10.3,1.42196E+12,AAA, ax,-0.41089553, ay,5.892946, az,8.033793
46:10.4,1.42196E+12,AAA, ax,-0.40670425, ay,5.759124, az,8.208331
46:10.4,1.42196E+12,AAA, ax,-0.53843033, ay,5.9514737, az,8.421936
46:10.4,1.42196E+12,AAA, ax,-0.5508545, ay,5.9495277, az,8.374934
46:10.4,1.42196E+12,AAA, ax,-0.5240602, ay,5.9242306, az,8.160729
46:10.4,1.42196E+12,AAA, ax,-0.50355285, ay,5.867199, az,8.180638
46:10.5,1.42196E+12,AAA, ax,-0.38649628, ay,5.845195, az,8.118368
46:10.5,1.42196E+12,AAA, ax,-0.27647507, ay,5.808671, az,8.046218
46:10.5,1.42196E+12,AAA, ax,-0.35072067, ay,5.8447456, az,7.9137435
46:10.5,1.42196E+12,AAA, ax,-0.5652246, ay,5.8332195, az,7.8704834
46:10.5,1.42196E+12,AAA, ax,-0.5387297, ay,5.9300685, az,8.056995
46:10.6,1.42196E+12,AAA, ax,-0.46403503, ay,5.8555236, az,8.034991
46:10.6,1.42196E+12,AAA, ax,-0.398172, ay,6.1261606, az,8.147557
46:10.6,1.42196E+12,AAA, ax,-0.48259643, ay,5.976472, az,8.130941
46:10.6,1.42196E+12,AAA, ax,-0.53962785, ay,5.7357726, az,8.427475
46:10.6,1.42196E+12,AAA, ax,-0.57510406, ay,5.8983345, az,8.2566805
46:10.7,1.42196E+12,AAA, ax,-0.35401383, ay,5.8698936, az,8.093819
46:10.7,1.42196E+12,AAA, ax,-0.298629, ay,5.9359064, az,8.149503
46:10.7,1.42196E+12,AAA, ax,-0.3210823, ay,5.8648043, az,7.960596
46:10.7,1.42196E+12,AAA, ax,-0.2613565, ay,5.771997, az,7.914941
46:10.7,1.42196E+12,AAA, ax,-0.32198045, ay,5.755082, az,8.130492
46:10.8,1.42196E+12,AAA, ax,-0.34563124, ay,5.9418936, az,8.161628
46:10.8,1.42196E+12,AAA, ax,-0.5490582, ay,5.8895025, az,8.240664
