time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421959575476,14:46:15.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.449,-1.503,-1.562,,
1421959575485,14:46:15.485,0.0,0.0,0.0,0.0,0.0,3.1,0.0,1.6,-1.444,-1.498,-1.557,,
1421959575493,14:46:15.491,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.566,,
1421959575502,14:46:15.502,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575506,14:46:15.506,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.566,,
1421959575515,14:46:15.510,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.444,-1.508,-1.557,,
1421959575524,14:46:15.523,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575529,14:46:15.529,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575536,14:46:15.536,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575544,14:46:15.544,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575549,14:46:15.548,0.0,0.0,0.0,0.0,11.3,4.6,6.6,0.0,-1.449,-1.508,-1.566,,
1421959575561,14:46:15.560,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575576,14:46:15.575,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.562,,
1421959575585,14:46:15.584,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,-1.449,-1.508,-1.566,,
1421959575590,14:46:15.590,1.5,0.0,0.0,0.0,0.0,0.0,6.6,1.6,-1.435,-1.503,-1.566,,
