time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421632822429,20:00:22.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430,-1.439,-1.410,,
1421632822437,20:00:22.437,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-1.425,-1.439,-1.420,,
1421632822444,20:00:22.443,0.0,0.0,1.6,0.0,0.0,1.5,0.0,0.0,-1.425,-1.439,-1.425,,
1421632822449,20:00:22.448,0.0,0.0,1.6,0.0,0.0,4.5,0.0,0.0,-1.420,-1.439,-1.425,,
1421632822461,20:00:22.460,3.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-1.430,-1.439,-1.425,,
1421632822480,20:00:22.465,3.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-1.430,-1.439,-1.425,,
1421632822491,20:00:22.490,3.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-1.430,-1.439,-1.425,,
1421632822507,20:00:22.507,3.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-1.430,-1.439,-1.425,,
1421632822527,20:00:22.527,3.0,0.0,1.6,4.6,0.0,0.0,0.0,0.0,-1.430,-1.439,-1.425,,
1421632822531,20:00:22.531,3.0,0.0,0.0,6.2,0.0,0.0,1.6,0.0,-1.425,-1.444,-1.425,,
1421632822539,20:00:22.538,3.0,0.0,1.6,4.6,0.0,0.0,0.0,1.6,-1.430,-1.439,-1.425,,
1421632822543,20:00:22.542,3.0,0.0,1.6,4.6,0.0,0.0,0.0,1.6,-1.430,-1.449,-1.420,,
1421632822546,20:00:22.546,3.0,0.0,1.6,4.6,0.0,0.0,0.0,1.6,-1.430,-1.439,-1.425,,
1421632822549,20:00:22.549,3.0,0.0,1.6,4.6,0.0,0.0,0.0,1.6,-1.435,-1.439,-1.425,,
1421632822552,20:00:22.552,3.0,0.0,0.0,4.6,0.0,0.0,0.0,1.6,-1.430,-1.435,-1.425,,
1421632822555,20:00:22.555,3.0,0.0,6.4,4.6,0.0,0.0,0.0,1.6,-1.386,-1.435,-1.425,,
1421632822559,20:00:22.558,3.0,0.0,6.4,4.6,0.0,1.5,0.0,1.6,-1.435,-1.439,-1.425,,
1421632822562,20:00:22.562,3.0,0.0,9.6,4.6,0.0,3.0,0.0,1.6,-1.430,-1.439,-1.425,,
1421632822565,20:00:22.565,3.0,0.0,3.2,4.6,0.0,1.5,0.0,1.6,-1.430,-1.439,-1.425,,
1421632822576,20:00:22.576,4.4,0.0,6.4,7.7,0.0,0.0,0.0,1.6,-1.430,-1.439,-1.425,,
1421632822596,20:00:22.595,0.0,0.0,4.8,6.2,0.0,0.0,0.0,1.6,-1.430,-1.439,-1.425,,
