time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421633645936,20:14:05.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.276,0.271,,
1421633645945,20:14:05.945,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.320,0.276,0.261,,
1421633645951,20:14:05.951,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.315,0.281,0.257,,
1421633645955,20:14:05.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340,0.281,0.276,,
1421633645959,20:14:05.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340,0.281,0.271,,
1421633645968,20:14:05.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330,0.281,0.261,,
1421633645972,20:14:05.972,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.462,0.511,0.389,,
1421633645981,20:14:05.980,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.335,0.281,0.276,,
1421633645993,20:14:05.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330,0.281,0.271,,
1421633646009,20:14:06.009,0.0,13.1,1.6,0.0,0.0,1.6,0.0,0.0,0.325,0.286,0.252,,
1421633646021,20:14:06.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.506,0.491,,
1421633646029,20:14:06.029,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.516,0.828,0.393,,
1421633646050,20:14:06.050,0.0,0.0,1.6,0.0,0.0,1.6,1.5,0.0,0.433,0.765,0.393,,
1421633646059,20:14:06.058,0.0,0.0,1.6,0.0,0.0,1.6,1.5,0.0,0.481,0.838,0.428,,
1421633646062,20:14:06.062,0.0,0.0,7.8,0.0,0.0,1.6,1.5,1.5,0.442,0.765,0.447,,
1421633646065,20:14:06.064,0.0,13.1,1.6,0.0,0.0,1.6,1.5,0.0,0.437,0.765,0.393,,
1421633646068,20:14:06.068,0.0,0.0,1.6,0.0,0.0,1.6,0.0,0.0,0.506,0.824,0.384,,
1421633646075,20:14:06.075,0.0,0.0,1.6,0.0,0.0,1.6,4.5,1.5,0.481,0.760,0.379,,
1421633646080,20:14:06.080,0.0,0.0,0.0,0.0,0.0,12.9,4.5,0.0,0.437,0.760,0.393,,
1421633646086,20:14:06.085,0.0,0.0,24.9,0.0,0.0,1.6,4.5,0.0,0.437,0.760,0.418,,
1421633646090,20:14:06.090,0.0,1.6,12.3,0.0,0.0,1.6,4.5,0.0,0.437,0.765,0.452,,
1421633646099,20:14:06.099,0.0,1.6,4.6,0.0,0.0,1.6,0.0,0.0,0.501,0.824,0.384,,
1421633646104,20:14:06.103,21.2,0.0,10.8,0.0,0.0,1.6,7.5,6.1,0.442,0.760,0.393,,
1421633646107,20:14:06.107,4.8,28.6,12.3,0.0,0.0,1.6,9.0,0.0,0.511,0.824,0.452,,
1421633646111,20:14:06.111,0.0,28.6,10.8,0.0,0.0,1.6,7.5,0.0,0.291,0.276,0.232,,
1421633646114,20:14:06.114,0.0,4.7,10.8,1.5,0.0,3.2,13.6,0.0,0.330,0.301,0.271,,
1421633646116,20:14:06.116,0.0,28.6,10.8,0.0,0.0,1.6,9.0,0.0,0.340,0.276,0.276,,
1421633646123,20:14:06.123,0.0,28.6,10.8,0.0,0.0,0.0,7.5,0.0,0.335,0.281,0.266,,
1421633646129,20:14:06.129,1.6,28.6,10.8,0.0,0.0,0.0,7.5,0.0,0.315,0.281,0.257,,
1421633646133,20:14:06.132,0.0,28.6,10.8,0.0,0.0,0.0,7.5,0.0,0.335,0.281,0.281,,
1421633646138,20:14:06.138,0.0,28.6,10.8,0.0,0.0,0.0,7.5,0.0,0.335,0.281,0.276,,
1421633646144,20:14:06.144,0.0,28.6,10.8,0.0,0.0,0.0,7.5,0.0,0.330,0.281,0.266,,
1421633646147,20:14:06.147,0.0,28.6,12.3,0.0,0.0,0.0,0.0,0.0,0.565,0.511,0.477,,
1421633646155,20:14:06.154,0.0,28.6,12.3,1.5,0.0,1.6,23.8,4.6,0.276,0.310,0.193,,
1421633646167,20:14:06.167,0.0,28.6,10.8,0.0,1.4,0.0,22.3,0.0,0.335,0.286,0.276,,
1421633646178,20:14:06.178,0.0,28.6,12.3,0.0,2.9,1.6,23.8,0.0,0.433,0.765,0.389,,
1421633646187,20:14:06.186,0.0,28.6,12.3,4.6,1.4,1.6,23.8,0.0,0.506,0.843,0.452,,
1421633646192,20:14:06.192,19.2,28.6,12.3,0.0,1.4,1.6,23.8,0.0,0.506,0.838,0.452,,
1421633646196,20:14:06.196,11.1,28.6,12.3,0.0,0.0,1.6,23.8,1.5,0.442,0.765,0.389,,
1421633646199,20:14:06.198,11.1,28.6,12.3,0.0,0.0,1.6,22.3,10.8,0.433,0.760,0.389,,
1421633646202,20:14:06.201,11.1,28.6,13.9,0.0,4.3,1.6,23.8,0.0,0.472,0.838,0.428,,
1421633646206,20:14:06.206,0.0,28.6,12.3,3.0,4.3,1.6,23.8,0.0,0.442,0.760,0.389,,
1421633646209,20:14:06.209,24.1,28.6,12.3,0.0,4.3,1.6,23.8,0.0,0.496,0.833,0.452,,
1421633646212,20:14:06.212,11.1,28.6,15.4,0.0,4.3,1.6,23.8,1.5,0.511,0.770,0.389,,
1421633646218,20:14:06.217,11.1,28.6,12.3,4.5,0.0,1.6,23.8,13.9,0.423,0.760,0.374,,
1421633646224,20:14:06.224,11.1,28.6,12.3,4.5,14.2,1.6,23.8,0.0,0.437,0.760,0.393,,
1421633646229,20:14:06.229,9.5,41.8,12.3,4.5,9.9,1.6,22.3,0.0,0.169,0.276,0.125,,
1421633646231,20:14:06.231,11.1,28.6,10.8,19.9,9.9,0.0,22.3,1.5,0.340,0.296,0.257,,
1421633646233,20:14:06.233,11.1,28.6,10.8,4.5,9.9,0.0,22.3,1.5,0.340,0.276,0.271,,
1421633646235,20:14:06.235,11.1,28.6,12.3,4.5,9.9,0.0,22.3,1.5,0.335,0.281,0.271,,
1421633646243,20:14:06.243,11.1,28.6,10.8,4.5,9.9,1.6,22.3,1.5,0.320,0.281,0.261,,
1421633646245,20:14:06.245,11.1,28.6,10.8,13.7,11.4,1.6,23.8,1.5,0.301,0.301,0.242,,
1421633646248,20:14:06.247,11.1,28.6,12.3,4.5,9.9,0.0,22.3,1.5,0.345,0.281,0.271,,
1421633646250,20:14:06.250,11.1,28.6,10.8,4.5,9.9,0.0,22.3,1.5,0.335,0.281,0.266,,
1421633646262,20:14:06.261,11.1,28.6,10.8,4.5,9.9,0.0,23.8,1.5,0.320,0.281,0.266,,
1421633646267,20:14:06.267,11.1,28.6,10.8,4.5,9.9,0.0,22.3,1.5,0.340,0.286,0.276,,
1421633646276,20:14:06.276,11.1,28.6,10.8,4.5,9.9,0.0,22.3,1.5,0.340,0.286,0.276,,
1421633646279,20:14:06.279,11.1,28.6,10.8,4.5,9.9,0.0,22.3,1.5,0.340,0.286,0.266,,
1421633646314,20:14:06.314,11.1,30.2,12.3,6.1,9.9,1.6,23.8,1.5,0.452,0.770,0.393,,
1421633646317,20:14:06.317,11.1,28.6,12.3,4.5,9.9,1.6,23.8,0.0,0.506,0.833,0.457,,
1421633646323,20:14:06.320,11.1,28.6,12.3,4.5,11.4,3.2,23.8,12.2,0.477,0.838,0.423,,
1421633646326,20:14:06.326,11.1,28.6,12.3,3.0,9.9,1.6,23.8,10.6,0.442,0.765,0.384,,
1421633646329,20:14:06.329,11.1,28.6,12.3,0.0,9.9,0.0,34.5,10.6,0.433,0.760,0.379,,
1421633646332,20:14:06.332,11.1,30.2,12.3,6.1,9.9,1.6,23.8,10.6,0.442,0.760,0.393,,
1421633646334,20:14:06.334,11.1,28.6,12.3,4.5,21.5,0.0,20.8,12.2,0.516,0.833,0.462,,
1421633646336,20:14:06.336,11.1,28.6,12.3,4.5,9.9,12.7,23.8,10.6,0.506,0.833,0.447,,
1421633646342,20:14:06.342,11.1,28.6,12.3,4.5,9.9,12.7,23.8,12.2,0.437,0.760,0.384,,
1421633646351,20:14:06.350,11.1,28.6,12.3,4.5,8.5,12.7,23.8,12.2,0.496,0.833,0.437,,
1421633646353,20:14:06.353,11.1,28.6,12.3,9.1,9.9,12.7,23.8,10.6,0.437,0.760,0.393,,
1421633646362,20:14:06.362,9.5,28.6,23.3,4.5,9.9,12.7,23.8,10.6,0.437,0.760,0.389,,
1421633646365,20:14:06.365,6.3,28.6,13.9,4.5,9.9,12.7,23.8,10.6,0.530,0.833,0.472,,
1421633646368,20:14:06.368,11.1,28.6,59.1,38.9,9.9,0.0,22.3,15.2,0.364,0.682,0.354,,
1421633646370,20:14:06.370,11.1,28.6,10.8,4.5,57.4,37.3,23.8,4.5,0.540,0.819,0.291,,
1421633646376,20:14:06.376,11.1,60.2,12.3,6.1,0.0,1.6,34.5,9.1,0.247,0.530,0.457,,
1421633646381,20:14:06.381,0.0,7.8,10.8,38.9,19.6,12.7,5.9,0.0,0.731,0.565,0.281,,
1421633646390,20:14:06.389,45.6,65.4,12.3,0.0,18.2,27.3,17.8,35.7,0.413,0.750,0.618,,
1421633646394,20:14:06.394,9.5,28.6,84.6,22.7,21.1,6.3,20.8,46.5,0.340,0.692,0.359,,
1421633646396,20:14:06.396,11.1,28.6,1.5,9.0,68.5,11.1,23.8,20.6,0.560,0.872,0.403,,
1421633646399,20:14:06.399,11.1,7.8,13.9,22.7,22.5,11.1,23.8,40.3,0.198,0.281,0.467,,
