time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421631480565,19:38:00.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.425,-1.464,-1.454,,
1421631480578,19:38:00.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.425,-1.459,-1.454,,
1421631480581,19:38:00.581,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-1.439,-1.464,-1.459,,
1421631480591,19:38:00.591,1.6,0.0,1.7,0.0,0.0,6.4,6.8,4.9,-1.420,-1.464,-1.444,,
1421631480610,19:38:00.610,0.0,0.0,6.7,1.6,1.7,0.0,6.8,4.9,-1.449,-1.469,-1.449,,
1421631480650,19:38:00.648,7.8,0.0,3.3,0.0,8.3,1.6,12.0,4.9,-1.430,-1.464,-1.454,,
1421631480686,19:38:00.685,4.7,0.0,0.0,6.2,3.3,1.6,12.0,1.6,-1.425,-1.459,-1.454,,
1421631480732,19:38:00.731,0.0,0.0,22.9,6.2,1.7,0.0,6.8,0.0,-1.425,-1.459,-1.483,,
1421631480735,19:38:00.735,6.2,0.0,24.6,9.4,3.3,0.0,6.8,4.9,-1.430,-1.459,-1.469,,
1421631480739,19:38:00.739,0.0,11.9,16.3,6.2,1.7,0.0,1.7,6.5,-1.420,-1.444,-1.454,,
1421631480754,19:38:00.754,6.2,13.6,31.3,6.2,0.0,11.3,6.8,4.9,-1.410,-1.464,-1.454,,
1421631480783,19:38:00.783,6.2,11.9,24.6,6.2,6.6,1.6,6.8,11.4,-1.444,-1.459,-1.449,,
1421631480818,19:38:00.818,10.9,15.3,24.6,0.0,1.6,0.0,0.0,4.9,-1.430,-1.464,-1.483,,
1421631480860,19:38:00.859,6.2,11.9,22.9,4.7,13.2,3.2,17.1,6.5,-1.430,-1.459,-1.459,,
1421631480891,19:38:00.890,6.2,15.3,28.0,7.8,4.9,3.2,8.5,0.0,-1.425,-1.435,-1.410,,
1421631480930,19:38:00.930,6.2,17.1,21.3,6.2,4.9,1.6,10.2,6.5,-1.430,-1.449,-1.425,,
1421631480958,19:38:00.958,6.2,11.9,16.3,4.7,4.9,4.8,8.5,6.5,-1.430,-1.464,-1.459,,
1421631480961,19:38:00.961,4.6,11.9,22.9,6.2,4.9,4.8,10.2,6.5,-1.444,-1.488,-1.464,,
1421631480997,19:38:00.996,4.6,10.2,13.0,4.7,6.6,1.6,11.9,6.5,-1.449,-1.464,-1.454,,
1421631481003,19:38:01.003,6.2,11.9,24.6,0.0,6.6,1.6,10.2,4.9,-1.425,-1.547,-1.425,,
1421631481038,19:38:01.037,6.2,11.9,22.9,10.9,13.2,3.2,0.0,6.5,-1.425,-1.454,-1.454,,
1421631481068,19:38:01.067,3.1,5.1,24.6,12.4,14.9,6.4,5.0,0.0,-1.420,-1.439,-1.425,,
1421631481092,19:38:01.091,6.2,22.3,21.3,12.4,6.6,0.0,15.3,1.6,-1.410,-1.474,-1.459,,
1421631481127,19:38:01.127,3.1,11.9,19.6,12.4,6.6,8.0,13.5,6.5,-1.435,-1.420,-1.449,,
1421631481163,19:38:01.163,4.6,11.9,14.7,17.2,8.2,3.2,13.5,6.5,-1.464,-1.435,-1.464,,
1421631481200,19:38:01.200,10.9,11.9,22.9,10.9,4.9,1.6,13.5,3.2,-1.430,-1.459,-1.449,,
1421631481212,19:38:01.212,15.6,11.9,22.9,0.0,6.6,0.0,6.7,6.5,-1.430,-1.464,-1.483,,
1421631481263,19:38:01.263,4.6,11.9,24.6,12.4,9.9,1.6,5.0,8.1,-1.430,-1.454,-1.454,,
1421631481267,19:38:01.266,4.6,10.2,24.6,14.0,9.9,0.0,11.8,0.0,-1.420,-1.459,-1.488,,
1421631481285,19:38:01.285,6.2,18.8,22.9,12.4,3.3,8.0,13.5,6.5,-1.425,-1.449,-1.435,,
1421631481310,19:38:01.310,4.6,0.0,19.6,14.0,8.2,14.4,13.5,6.5,-1.430,-1.405,-1.449,,
1421631481345,19:38:01.345,4.6,25.2,21.3,0.0,4.9,6.4,13.5,6.5,-1.478,-1.464,-1.454,,
1421631481368,19:38:01.368,10.9,23.5,22.9,18.6,4.9,19.2,10.1,4.9,-1.430,-1.439,-1.454,,
1421631481405,19:38:01.405,15.6,25.2,22.9,4.6,6.6,12.8,11.8,8.1,-1.430,-1.459,-1.478,,
1421631481429,19:38:01.428,4.6,23.5,21.3,24.9,6.6,8.0,15.3,6.5,-1.430,-1.464,-1.454,,
1421631481466,19:38:01.466,7.8,23.5,22.9,18.6,6.6,8.0,15.3,0.0,-1.425,-1.449,-1.435,,
1421631481490,19:38:01.490,4.6,25.2,21.3,12.3,9.9,8.0,13.5,4.9,-1.430,-1.469,-1.415,,
1421631481526,19:38:01.525,3.1,23.5,19.6,18.6,3.3,0.0,18.7,6.5,-1.430,-1.464,-1.459,,
1421631481593,19:38:01.593,4.6,25.2,21.3,18.6,6.6,6.4,13.5,6.5,-1.478,-1.488,-1.478,,
1421631481619,19:38:01.619,9.3,23.5,22.9,17.0,6.6,25.8,10.1,4.9,-1.420,-1.425,-1.449,,
1421631481623,19:38:01.623,4.6,25.2,22.9,10.8,6.6,8.0,18.7,11.4,-1.425,-1.464,-1.449,,
1421631481649,19:38:01.649,4.6,23.5,22.9,21.7,4.9,8.0,10.1,6.5,-1.425,-1.464,-1.454,,
1421631481663,19:38:01.663,17.2,21.8,22.9,18.6,4.9,9.6,3.4,6.5,-1.425,-1.454,-1.469,,
1421631481668,19:38:01.668,6.2,18.4,22.9,18.6,1.6,1.6,11.8,6.5,-1.425,-1.410,-1.464,,
1421631481714,19:38:01.714,7.8,15.0,28.0,20.1,13.2,12.8,13.5,6.5,-1.430,-1.464,-1.454,,
1421631481725,19:38:01.724,0.0,23.5,26.3,0.0,4.9,8.0,13.5,6.5,-1.449,-1.469,-1.454,,
1421631481751,19:38:01.750,9.3,25.2,24.6,26.1,23.3,9.6,15.3,6.5,-1.425,-1.444,-1.469,,
1421631481781,19:38:01.781,9.3,16.7,24.6,27.7,11.6,14.4,15.3,8.1,-1.425,-1.542,-1.464,,
1421631481808,19:38:01.808,7.7,23.5,22.9,27.7,3.3,9.6,13.5,1.6,-1.444,-1.454,-1.449,,
1421631481853,19:38:01.853,9.3,21.8,22.9,27.7,3.3,9.6,15.3,13.0,-1.405,-1.459,-1.454,,
1421631481863,19:38:01.863,1.5,16.7,22.9,26.1,6.6,9.6,15.3,6.5,-1.430,-1.459,-1.449,,
1421631481885,19:38:01.885,7.7,23.5,34.7,30.9,8.2,12.8,15.3,6.5,-1.430,-1.459,-1.454,,
1421631481939,19:38:01.939,9.3,23.5,28.0,26.1,6.6,11.2,15.3,13.0,-1.435,-1.469,-1.469,,
1421631481948,19:38:01.948,7.7,23.5,24.6,29.3,26.7,11.2,17.0,6.5,-1.425,-1.435,-1.464,,
1421631481954,19:38:01.951,9.3,20.1,13.0,26.1,4.9,9.6,15.3,8.1,-1.430,-1.464,-1.474,,
1421631482023,19:38:02.023,9.3,23.5,22.9,27.7,3.3,11.2,17.0,0.0,-1.444,-1.454,-1.449,,
1421631482029,19:38:02.029,21.8,21.8,24.6,27.7,14.9,9.6,18.7,14.7,-1.425,-1.464,-1.459,,
1421631482034,19:38:02.034,7.7,23.5,24.6,27.7,8.2,11.2,17.0,6.5,-1.435,-1.459,-1.449,,
1421631482072,19:38:02.071,7.7,23.5,31.3,30.9,8.2,12.8,17.0,6.5,-1.430,-1.464,-1.459,,
1421631482094,19:38:02.094,9.3,23.5,21.3,26.1,8.2,11.2,13.5,6.5,-1.405,-1.469,-1.454,,
1421631482155,19:38:02.155,7.7,21.8,24.6,27.7,23.3,11.2,17.0,6.5,-1.425,-1.459,-1.469,,
1421631482172,19:38:02.172,9.3,20.1,24.6,26.1,9.9,16.0,20.4,9.7,-1.415,-1.483,-1.469,,
1421631482191,19:38:02.190,7.7,25.2,24.6,27.7,14.9,11.2,27.4,6.5,-1.430,-1.459,-1.459,,
1421631482215,19:38:02.215,7.7,20.1,22.9,27.7,1.6,16.0,18.7,14.7,-1.415,-1.469,-1.454,,
1421631482284,19:38:02.284,1.5,16.7,13.0,26.1,8.2,11.2,8.4,6.5,-1.425,-1.454,-1.449,,
1421631482328,19:38:02.328,12.4,21.8,29.7,29.3,8.2,20.9,17.0,6.5,-1.435,-1.459,-1.459,,
1421631482334,19:38:02.334,6.2,20.1,21.3,21.5,8.2,11.2,18.7,6.5,-1.405,-1.488,-1.459,,
1421631482351,19:38:02.350,15.5,20.1,21.3,30.9,6.6,11.2,20.4,6.5,-1.425,-1.464,-1.464,,
1421631482357,19:38:02.357,15.5,23.5,22.9,26.1,9.9,12.8,17.0,6.5,-1.430,-1.483,-1.469,,
1421631482409,19:38:02.409,6.2,28.7,24.6,27.7,3.3,9.6,13.5,0.0,-1.430,-1.464,-1.459,,
1421631482443,19:38:02.443,9.3,20.1,26.3,21.5,6.6,17.6,18.7,17.9,-1.439,-1.464,-1.454,,
1421631482469,19:38:02.469,6.2,20.1,16.3,27.7,8.2,12.8,20.4,3.2,-1.449,-1.459,-1.449,,
1421631482482,19:38:02.482,17.1,21.8,24.6,27.7,6.6,11.2,15.3,9.7,-1.425,-1.464,-1.449,,
1421631482486,19:38:02.486,7.7,20.1,31.3,18.3,8.2,11.2,22.1,6.5,-1.425,-1.454,-1.454,,
1421631482502,19:38:02.502,15.5,18.4,22.9,26.1,0.0,30.7,29.1,9.7,-1.425,-1.483,-1.459,,
1421631482527,19:38:02.526,6.2,23.5,22.9,26.1,4.9,9.6,18.7,9.7,-1.449,-1.469,-1.459,,
1421631482585,19:38:02.585,6.2,18.4,24.6,27.7,0.0,11.2,17.0,8.1,-1.425,-1.459,-1.522,,
1421631482668,19:38:02.668,4.6,23.5,19.6,26.1,11.5,16.0,17.0,9.7,-1.430,-1.508,-1.459,,
1421631482674,19:38:02.674,3.1,25.2,22.9,26.1,11.5,12.8,13.5,9.7,-1.430,-1.459,-1.435,,
1421631482695,19:38:02.694,7.7,16.7,31.3,32.5,8.2,17.6,17.0,9.7,-1.430,-1.459,-1.503,,
1421631482698,19:38:02.698,6.2,18.4,21.3,24.6,13.1,8.0,22.1,9.7,-1.430,-1.444,-1.435,,
1421631482714,19:38:02.714,3.1,11.7,24.6,27.7,14.8,27.4,17.0,9.7,-1.425,-1.483,-1.454,,
1421631482753,19:38:02.753,7.7,20.1,22.9,26.1,11.5,8.0,17.0,8.1,-1.425,-1.459,-1.464,,
1421631482757,19:38:02.757,18.7,15.0,24.6,26.1,0.0,11.2,18.7,11.3,-1.420,-1.459,-1.449,,
1421631482779,19:38:02.779,3.1,15.0,22.9,24.6,13.1,12.8,17.0,9.7,-1.430,-1.464,-1.449,,
1421631482855,19:38:02.854,3.1,15.0,28.0,29.3,13.1,11.2,29.1,8.1,-1.449,-1.459,-1.454,,
