time,time_milisec,ax,ay,az,resultant
12:01.1,1.4211E+12,-0.4514612,2.4483087,9.482032,9.803415913
12:01.1,1.4211E+12,-0.5373825,2.5831783,9.589508,9.945866165
12:01.1,1.4211E+12,-0.75847274,2.6580226,9.86763,10.24746246
12:01.1,1.4211E+12,-0.76281375,2.4716601,9.829759,10.16440606
12:01.1,1.4211E+12,-0.62554914,2.5959017,9.688453,10.04968352
12:01.2,1.4211E+12,-0.58109164,2.6475444,9.69459,10.06639132
12:01.2,1.4211E+12,-0.5683681,2.6340723,9.584419,9.956026655
12:01.2,1.4211E+12,-0.7301816,2.711162,9.72797,10.12506617
12:01.2,1.4211E+12,-0.6503975,2.690505,9.767039,10.1516937
12:01.2,1.4211E+12,-0.47181883,2.6604176,9.591904,9.965192279
12:01.3,1.4211E+12,-0.35221756,2.6680517,9.5616665,9.933177907
12:01.3,1.4211E+12,-0.45699966,2.8036697,9.479637,9.896106817
12:01.3,1.4211E+12,-0.41388932,2.7755282,9.563313,9.966534839
12:01.3,1.4211E+12,-0.46942383,2.7210417,9.630524,10.01855375
12:01.3,1.4211E+12,-0.41598496,2.772684,9.577983,9.979908737
12:01.4,1.4211E+12,-0.34308654,2.704426,9.527088,9.909441666
12:01.4,1.4211E+12,-0.44637176,2.9807515,9.449849,9.91885948
12:01.4,1.4211E+12,-0.53528684,2.8946805,9.522597,9.967224329
12:01.4,1.4211E+12,-0.7240443,2.7246342,9.606573,10.01169898
12:01.4,1.4211E+12,-0.5354366,2.815046,9.71854,10.13218614
12:01.5,1.4211E+12,-0.57390654,2.793491,9.563014,9.979188216
12:01.5,1.4211E+12,-0.57929534,2.8346553,9.473649,9.905598373
12:01.5,1.4211E+12,-0.48139894,2.8707304,9.446556,9.884849935
12:01.5,1.4211E+12,-0.5264552,2.883304,9.575288,10.01382731
12:01.5,1.4211E+12,-0.43215135,2.8520193,9.684261,10.10473552
12:01.6,1.4211E+12,-0.53109556,2.8062143,9.441317,9.863841437
12:01.6,1.4211E+12,-0.46553192,2.802173,9.334439,9.757081784
12:01.6,1.4211E+12,-0.5560936,2.767445,9.282646,9.702345525
12:01.6,1.4211E+12,-0.64545774,2.8165429,9.354796,9.790900766
12:01.6,1.4211E+12,-0.628992,2.8120522,9.464069,9.893021305
12:01.7,1.4211E+12,-0.4778064,2.8635452,9.429641,9.866423843
12:01.7,1.4211E+12,-0.549657,2.8623476,9.744586,10.17114118
12:01.7,1.4211E+12,-0.5903723,2.8496242,9.897119,10.31609723
12:01.7,1.4211E+12,-0.72494245,2.7295737,9.698781,10.10160715
12:01.7,1.4211E+12,-0.56028485,2.8518696,9.562715,9.994628432
12:01.8,1.4211E+12,-0.5510042,2.873275,9.562415,9.999954774
12:01.8,1.4211E+12,-0.57660097,2.7945387,9.700578,10.11153444
12:01.8,1.4211E+12,-0.6066884,2.905009,9.625434,10.07254326
12:01.8,1.4211E+12,-0.5798941,2.8894415,9.507479,9.9537584
12:01.8,1.4211E+12,-0.5403763,2.836751,9.359587,9.79494929
12:01.9,1.4211E+12,-0.5737569,2.707869,9.525442,9.91946555
12:01.9,1.4211E+12,-0.64860123,2.799179,9.58382,10.00528323
12:01.9,1.4211E+12,-0.69889665,2.7298732,9.844278,10.23965202
12:01.9,1.4211E+12,-0.7563771,2.725083,9.721833,10.12483188
12:01.9,1.4211E+12,-0.50265473,2.5162673,9.748478,10.08053006
12:02.0,1.4211E+12,-0.74904233,2.895878,9.751322,10.19977718
12:02.0,1.4211E+12,-0.49307466,2.6553283,9.826466,10.19084516
12:02.0,1.4211E+12,-0.41942778,2.7496321,9.649833,10.04269253
12:02.0,1.4211E+12,-0.38365218,2.9020152,9.651031,10.08520107
12:02.0,1.4211E+12,-0.631387,2.7818153,9.731414,10.14088578
12:02.1,1.4211E+12,-0.7379654,2.6517358,9.705816,10.0885658
12:02.1,1.4211E+12,-0.74829394,2.6890082,9.854308,10.24197711
12:02.1,1.4211E+12,-0.6933582,2.688559,9.81464,10.19981634
12:02.1,1.4211E+12,-0.66940796,2.80352,9.60313,10.02636211
12:02.1,1.4211E+12,-0.69246,2.757416,9.489816,9.9065358
12:02.2,1.4211E+12,-0.6104306,2.6129663,9.426647,9.801116878
12:02.2,1.4211E+12,-0.7250922,2.757865,9.541159,9.958177199
