time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421714721259,18:45:21.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.381,-1.449,-1.503,,
1421714721274,18:45:21.274,4.6,0.0,0.0,0.0,1.7,1.9,6.1,2.0,-1.386,-1.449,-1.503,,
1421714721281,18:45:21.280,4.6,0.0,0.0,0.0,1.7,3.8,0.0,0.0,-1.386,-1.449,-1.503,,
1421714721286,18:45:21.285,6.1,3.4,1.7,0.0,0.0,0.0,0.0,0.0,-1.381,-1.444,-1.498,,
1421714721290,18:45:21.289,4.6,5.1,1.7,0.0,1.7,3.7,6.0,1.9,-1.386,-1.449,-1.503,,
1421714721306,18:45:21.299,4.6,5.1,1.7,0.0,0.0,0.0,0.0,0.0,-1.386,-1.449,-1.503,,
1421714721319,18:45:21.316,4.6,5.1,1.7,0.0,0.0,0.0,0.0,0.0,-1.386,-1.449,-1.503,,
1421714721323,18:45:21.323,4.6,5.1,1.7,0.0,0.0,0.0,0.0,1.9,-1.381,-1.454,-1.503,,
1421714721334,18:45:21.334,4.6,5.1,1.7,0.0,0.0,7.4,19.5,9.4,-1.386,-1.449,-1.503,,
1421714721344,18:45:21.344,4.6,5.1,1.7,0.0,0.0,5.5,19.5,7.5,-1.386,-1.449,-1.503,,
1421714721348,18:45:21.347,4.6,5.1,1.7,0.0,0.0,1.8,13.6,5.6,-1.386,-1.449,-1.503,,
1421714721355,18:45:21.351,4.6,5.1,1.7,0.0,0.0,0.0,13.6,3.7,-1.386,-1.449,-1.493,,
1421714721358,18:45:21.358,4.6,5.1,1.7,0.0,0.0,12.7,15.6,3.7,-1.386,-1.449,-1.503,,
1421714721363,18:45:21.363,4.6,5.1,1.7,0.0,0.0,14.6,15.6,3.7,-1.386,-1.449,-1.503,,
1421714721367,18:45:21.367,3.1,5.1,1.7,0.0,3.4,1.8,1.9,0.0,-1.381,-1.449,-1.503,,
1421714721370,18:45:21.370,4.6,6.8,1.7,1.6,3.4,0.0,3.9,0.0,-1.381,-1.449,-1.503,,
1421714721375,18:45:21.374,4.6,5.1,1.7,0.0,0.0,0.0,1.9,0.0,-1.381,-1.449,-1.518,,
1421714721389,18:45:21.389,6.1,5.1,5.1,0.0,0.0,1.8,3.9,1.8,-1.381,-1.449,-1.503,,
1421714721403,18:45:21.403,3.1,5.1,1.7,0.0,1.7,7.2,7.7,7.4,-1.366,-1.444,-1.503,,
1421714721413,18:45:21.412,6.1,5.1,1.7,0.0,0.0,3.6,7.7,5.5,-1.381,-1.449,-1.503,,
1421714721424,18:45:21.424,4.6,5.1,1.7,0.0,0.0,10.9,11.6,11.1,-1.376,-1.435,-1.503,,
1421714721437,18:45:21.437,4.6,5.1,1.7,0.0,0.0,31.3,33.5,20.5,-1.386,-1.449,-1.503,,
1421714721443,18:45:21.443,4.6,3.4,1.7,3.1,0.0,14.6,15.6,16.7,-1.386,-1.449,-1.503,,
1421714721453,18:45:21.453,4.6,5.1,1.7,3.1,0.0,20.1,21.5,20.5,-1.381,-1.449,-1.503,,
1421714721467,18:45:21.467,4.6,5.1,1.7,3.1,0.0,12.7,15.6,14.8,-1.381,-1.449,-1.503,,
1421714721471,18:45:21.470,6.1,3.4,3.4,3.1,0.0,12.7,15.6,14.8,-1.381,-1.449,-1.503,,
1421714721475,18:45:21.473,6.1,5.1,3.4,0.0,0.0,12.7,15.6,14.8,-1.386,-1.464,-1.508,,
1421714721494,18:45:21.493,4.6,3.4,1.7,7.8,0.0,20.1,21.5,20.5,-1.386,-1.449,-1.503,,
1421714721508,18:45:21.508,4.6,3.4,1.7,7.8,0.0,12.7,15.6,14.8,-1.386,-1.449,-1.503,,
1421714721514,18:45:21.513,4.6,3.4,1.7,7.8,0.0,14.6,13.6,13.0,-1.386,-1.449,-1.503,,
1421714721517,18:45:21.517,6.1,6.8,0.0,7.8,0.0,10.9,11.6,14.8,-1.391,-1.444,-1.503,,
1421714721521,18:45:21.521,4.6,3.4,10.2,7.8,0.0,12.7,15.6,14.8,-1.386,-1.449,-1.503,,
1421714721525,18:45:21.525,4.6,3.4,10.2,7.8,0.0,12.7,13.6,11.1,-1.386,-1.449,-1.503,,
1421714721538,18:45:21.538,4.6,3.4,10.2,7.8,1.7,14.6,13.6,13.0,-1.386,-1.449,-1.503,,
1421714721541,18:45:21.541,4.6,3.4,10.2,7.8,0.0,12.7,15.6,14.8,-1.386,-1.449,-1.503,,
1421714721548,18:45:21.548,4.6,5.1,10.2,7.8,0.0,10.9,13.6,9.2,-1.386,-1.449,-1.503,,
1421714721553,18:45:21.553,4.6,5.1,10.2,7.8,0.0,9.1,13.6,11.1,-1.386,-1.449,-1.503,,
1421714721557,18:45:21.557,4.6,5.1,10.2,7.8,0.0,9.1,13.6,11.1,-1.386,-1.449,-1.503,,
1421714721560,18:45:21.559,4.6,5.1,6.8,7.8,5.1,14.6,17.5,14.8,-1.381,-1.449,-1.503,,
1421714721565,18:45:21.565,4.6,5.1,10.2,7.8,5.1,12.7,15.6,13.0,-1.386,-1.449,-1.503,,
1421714721571,18:45:21.570,6.1,3.4,10.2,7.8,5.1,12.7,15.6,13.0,-1.381,-1.449,-1.508,,
1421714721589,18:45:21.588,4.6,5.1,10.2,7.8,3.4,14.6,17.5,14.8,-1.376,-1.449,-1.503,,
1421714721591,18:45:21.591,3.1,6.8,10.2,7.8,5.1,14.6,15.6,14.8,-1.386,-1.449,-1.503,,
1421714721594,18:45:21.594,4.6,3.4,10.2,7.8,5.1,10.9,11.6,11.1,-1.381,-1.449,-1.503,,
1421714721599,18:45:21.599,4.6,6.8,10.2,7.8,8.5,12.7,15.6,13.0,-1.381,-1.449,-1.503,,
1421714721603,18:45:21.603,4.6,3.4,10.2,7.8,5.1,12.7,13.6,13.0,-1.381,-1.449,-1.503,,
1421714721609,18:45:21.609,3.1,5.1,10.2,7.8,3.4,14.6,17.5,14.8,-1.381,-1.449,-1.503,,
1421714721612,18:45:21.612,3.1,3.4,11.9,7.8,3.4,14.6,17.5,16.7,-1.381,-1.449,-1.503,,
1421714721618,18:45:21.617,4.6,5.1,10.2,9.3,3.4,16.4,19.5,16.7,-1.381,-1.444,-1.503,,
1421714721620,18:45:21.620,4.6,3.4,10.2,7.8,3.4,16.4,21.5,16.7,-1.381,-1.449,-1.503,,
1421714721630,18:45:21.625,4.6,3.4,10.2,7.8,5.1,18.3,17.5,18.6,-1.381,-1.449,-1.503,,
1421714721640,18:45:21.640,3.1,3.4,10.2,7.8,3.4,18.3,21.5,20.5,-1.386,-1.449,-1.503,,
1421714721643,18:45:21.643,15.5,8.5,10.2,7.8,3.4,20.1,21.5,26.2,-1.386,-1.449,-1.503,,
1421714721646,18:45:21.646,4.6,3.4,10.2,7.8,3.4,23.8,27.4,24.3,-1.381,-1.449,-1.503,,
1421714721653,18:45:21.653,4.6,3.4,10.2,7.8,3.4,25.7,27.4,26.2,-1.381,-1.449,-1.503,,
1421714721656,18:45:21.656,3.1,3.4,10.2,7.8,3.4,25.7,27.4,24.3,-1.386,-1.449,-1.503,,
1421714721658,18:45:21.658,3.1,3.4,10.2,4.7,3.4,23.8,29.4,28.1,-1.425,-1.459,-1.508,,
1421714721661,18:45:21.661,3.1,3.4,10.2,7.8,0.0,25.7,27.4,26.2,-1.381,-1.449,-1.503,,
