time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421716066977,19:07:46.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.804,0.105,,
1421716066990,19:07:46.990,0.0,0.0,0.0,1.6,0.0,1.7,0.0,0.0,0.511,0.799,0.100,,
1421716066994,19:07:46.994,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.511,0.868,0.164,,
1421716067001,19:07:47.001,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.320,-0.007,,
1421716067005,19:07:47.004,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.320,-0.012,,
1421716067011,19:07:47.008,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.320,-0.017,,
1421716067019,19:07:47.018,0.0,10.7,4.8,0.0,0.0,0.0,0.0,0.0,0.359,0.330,-0.076,,
1421716067026,19:07:47.026,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.325,-0.007,,
1421716067029,19:07:47.029,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.325,-0.012,,
1421716067038,19:07:47.037,0.0,8.9,0.0,0.0,1.4,10.1,3.1,0.0,0.418,0.345,-0.017,,
1421716067053,19:07:47.053,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.325,-0.007,,
1421716067057,19:07:47.057,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.428,0.325,-0.007,,
1421716067062,19:07:47.062,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.330,-0.017,,
1421716067067,19:07:47.065,0.0,8.9,0.0,31.9,2.9,0.0,0.0,0.0,0.428,0.349,-0.012,,
1421716067071,19:07:47.071,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.330,-0.007,,
1421716067077,19:07:47.077,12.2,8.9,0.0,0.0,1.4,0.0,0.0,0.0,0.569,0.882,0.139,,
1421716067080,19:07:47.080,1.7,8.9,0.0,1.6,1.4,0.0,0.0,0.0,0.574,0.882,0.154,,
1421716067088,19:07:47.088,0.0,8.9,0.0,1.6,0.0,0.0,0.0,11.1,0.506,0.809,0.105,,
1421716067093,19:07:47.092,0.0,8.9,0.0,1.6,11.5,1.7,3.1,6.3,0.511,0.809,0.110,,
1421716067105,19:07:47.105,0.0,8.9,1.6,1.6,11.5,0.0,0.0,6.3,0.511,0.804,0.110,,
1421716067112,19:07:47.112,0.0,8.9,1.6,6.3,11.5,0.0,0.0,6.3,0.525,0.877,0.159,,
1421716067122,19:07:47.122,1.7,8.9,0.0,1.6,11.5,0.0,0.0,6.3,0.574,0.877,0.164,,
1421716067126,19:07:47.126,0.0,8.9,0.0,1.6,4.3,0.0,0.0,11.1,0.511,0.804,0.105,,
