time,time_milisec,ax,ay,az,resultant
55:09.0,1.42136E+12,-1.0488689,2.689607,9.452543,9.883556088
55:09.0,1.42136E+12,-1.1243119,2.8916867,9.57918,10.06909225
55:09.0,1.42136E+12,-1.2476555,3.0048513,9.860894,10.38378573
55:09.1,1.42136E+12,-1.2045451,3.0085936,9.667497,10.19622786
55:09.1,1.42136E+12,-1.1201206,3.138673,9.472602,10.04171933
55:09.1,1.42136E+12,-1.10605,3.206033,9.433084,10.02422406
55:09.1,1.42136E+12,-1.1103909,3.2102244,9.29552,9.896726768
55:09.1,1.42136E+12,-1.2346326,3.3432975,9.274863,9.936047479
55:09.2,1.42136E+12,-1.3219011,3.429668,9.249266,9.952837115
55:09.2,1.42136E+12,-1.1587404,3.1808853,9.118887,9.727014482
55:09.2,1.42136E+12,-1.1300001,3.1918125,9.024284,9.638582311
55:09.2,1.42136E+12,-1.201252,3.1573842,9.034014,9.644972281
55:09.2,1.42136E+12,-1.1668236,3.3302746,9.169183,9.824770894
55:09.3,1.42136E+12,-1.1091934,3.3775764,9.298663,9.955072372
55:09.3,1.42136E+12,-1.1746074,3.1124775,9.304651,9.88148516
55:09.3,1.42136E+12,-1.0006691,3.1388228,9.566756,10.11812075
55:09.3,1.42136E+12,-1.0361453,3.1997461,9.571845,10.1455502
55:09.3,1.42136E+12,-1.1002121,3.2260914,9.626482,10.21211477
55:09.4,1.42136E+12,-1.1428734,3.3852105,9.701775,10.338774
55:09.4,1.42136E+12,-1.176703,3.20274,9.670939,10.25520524
55:09.4,1.42136E+12,-1.248853,3.0404773,9.453442,10.0085814
55:09.4,1.42136E+12,-1.2319381,3.0310469,9.4860735,10.03446597
55:09.4,1.42136E+12,-1.1596385,3.1579828,9.441167,10.02263694
55:09.5,1.42136E+12,-1.1831397,3.206931,9.327404,9.93401688
55:09.5,1.42136E+12,-0.9898915,3.2133677,9.464369,10.04389853
55:09.5,1.42136E+12,-1.0961705,3.1922617,9.314381,9.907058995
55:09.5,1.42136E+12,-1.0488689,3.242108,9.165291,9.778238562
55:09.5,1.42136E+12,-0.9837543,3.1494508,9.124725,9.702959301
55:09.6,1.42136E+12,-1.1288027,3.2895594,9.161249,9.799177507
55:09.6,1.42136E+12,-1.1859838,3.306025,9.3630295,10.00013401
55:09.6,1.42136E+12,-1.1557466,3.325784,9.4012,10.03888195
55:09.6,1.42136E+12,-1.108894,3.235821,9.557026,10.15071078
55:09.6,1.42136E+12,-1.1253598,3.219505,9.506282,10.09955665
55:09.7,1.42136E+12,-1.1490107,3.3718882,9.439072,10.08890162
55:09.7,1.42136E+12,-1.1138338,3.2760873,9.427995,10.04293102
55:09.7,1.42136E+12,-0.99468154,3.19301,9.395961,9.973404
55:09.7,1.42136E+12,-1.065185,3.131488,9.375304,9.941688049
55:09.7,1.42136E+12,-0.88196594,3.094964,9.419163,9.953757969
55:09.8,1.42136E+12,-0.9744736,3.0832882,9.349708,9.893093783
55:09.8,1.42136E+12,-1.0265652,3.118615,9.323662,9.884850465
55:09.8,1.42136E+12,-0.81789917,3.1596296,9.3928175,9.943703478
55:09.8,1.42136E+12,-0.94303894,3.194058,9.445658,10.01557707
55:09.8,1.42136E+12,-0.8640033,3.1244526,9.428294,9.970026755
55:09.9,1.42136E+12,-0.8322693,3.0307474,9.288934,9.806242749
55:09.9,1.42136E+12,-0.8490344,3.069517,9.197923,9.733682835
55:09.9,1.42136E+12,-0.9485774,3.1187644,9.226214,9.785168125
55:09.9,1.42136E+12,-0.92941725,3.2287858,9.342223,9.928041335
55:09.9,1.42136E+12,-0.84768724,3.170407,9.480236,10.03219462
55:10.0,1.42136E+12,-0.9261241,3.0741572,9.473499,10.0027662
55:10.0,1.42136E+12,-0.9976753,3.0879285,9.392518,9.937306114
55:10.0,1.42136E+12,-0.86355424,3.27489,9.427096,10.01702398
55:10.0,1.42136E+12,-0.9349558,3.2123199,9.494756,10.06695252
55:10.0,1.42136E+12,-0.98255676,3.1009514,9.428294,9.973667586
55:10.1,1.42136E+12,-0.94932586,3.1043944,9.45419,9.99600884
55:10.1,1.42136E+12,-1.074765,3.2142658,9.470057,10.05826049
55:10.1,1.42136E+12,-0.9940828,3.0463152,9.537566,10.06148111
55:10.1,1.42136E+12,-0.7911049,3.0768516,9.397907,9.9203588
55:10.1,1.42136E+12,-0.8602611,3.0620325,9.3928175,9.916708768
55:10.2,1.42136E+12,-0.8919951,3.016078,9.452244,9.961791927
55:10.2,1.42136E+12,-0.91863966,3.1082864,9.360635,9.905898787
55:10.2,1.42136E+12,-0.9333092,3.056494,9.5175085,10.03973056
55:10.2,1.42136E+12,-0.8240364,3.210823,9.413475,9.980076748
55:10.2,1.42136E+12,-0.8605605,3.1620245,9.472901,10.02371272
55:10.3,1.42136E+12,-0.7658075,3.0650263,9.368419,9.886764987
55:10.3,1.42136E+12,-0.99183744,3.1109807,9.364527,9.917474898
55:10.3,1.42136E+12,-0.95621157,3.2244446,9.354946,9.941146725
55:10.3,1.42136E+12,-1.0157876,3.2078292,9.488917,10.06784676
55:10.3,1.42136E+12,-0.93600357,3.2006443,9.447903,10.01913658
55:10.4,1.42136E+12,-1.0006691,2.9847932,9.51167,10.01909154
55:10.4,1.42136E+12,-0.9738748,3.0999038,9.441766,9.985228134
55:10.4,1.42136E+12,-0.95636123,3.2799792,9.520502,10.1149814
55:10.4,1.42136E+12,-0.96160036,3.065176,9.411079,9.94426403
55:10.4,1.42136E+12,-0.93450665,3.1347811,9.4494,9.99956577
55:10.5,1.42136E+12,-0.8716374,3.1298416,9.616452,10.15045857
55:10.5,1.42136E+12,-0.79963714,3.1952555,9.539962,10.09256916
55:10.5,1.42136E+12,-0.84080154,2.9521608,9.4612255,9.946707424
55:10.5,1.42136E+12,-0.88855225,2.9353957,9.336235,9.827072656
55:10.5,1.42136E+12,-0.8893007,3.0145812,9.320518,9.836188862
55:10.6,1.42136E+12,-0.9659413,2.9668305,9.279353,9.789868125
55:10.6,1.42136E+12,-0.8930429,2.9797037,9.422905,9.923069001
55:10.6,1.42136E+12,-0.7994875,3.1142738,9.426348,9.959614359
55:10.6,1.42136E+12,-0.92043597,3.201243,9.612411,10.17318064
55:10.6,1.42136E+12,-0.90022796,3.19301,9.461824,10.02655657
55:10.7,1.42136E+12,-0.8547226,3.201243,9.397758,9.964756038
55:10.7,1.42136E+12,-0.9443861,2.911296,9.469159,9.951506503
55:10.7,1.42136E+12,-0.92118436,2.9936247,9.412427,9.919886668
55:10.7,1.42136E+12,-0.90756273,3.0451176,9.381591,9.905082584
55:10.7,1.42136E+12,-0.9187894,3.0067973,9.3911705,9.903488644
55:10.8,1.42136E+12,-0.94079363,3.090174,9.414672,9.9534073
55:10.8,1.42136E+12,-0.9672885,3.1109807,9.4491005,9.994966144
55:10.8,1.42136E+12,-0.9395961,3.1269975,9.528436,10.07234068
55:10.8,1.42136E+12,-0.9207353,3.1380744,9.445358,9.995501597
55:10.8,1.42136E+12,-0.92807007,3.1609766,9.354796,9.917927975
55:10.9,1.42136E+12,-0.97731763,3.1624737,9.350156,9.91876035
55:10.9,1.42136E+12,-1.0353969,3.1657667,9.4976,10.06471715
55:10.9,1.42136E+12,-0.9602531,3.1737003,9.558823,10.11758651
55:10.9,1.42136E+12,-0.920885,3.1298416,9.442964,9.990670985
55:10.9,1.42136E+12,-0.9789642,3.0047016,9.31992,9.841113322
55:11.0,1.42136E+12,-0.9446855,3.2003448,9.293425,9.874329636
55:11.0,1.42136E+12,-1.0062076,3.1114297,9.42515,9.976317008
55:11.0,1.42136E+12,-0.9020242,3.01024,9.333241,9.848074943
55:11.0,1.42136E+12,-0.90561676,3.2157629,9.475595,10.04729682
55:11.0,1.42136E+12,-0.9131012,3.2591724,9.519005,10.10284191
55:11.1,1.42136E+12,-1.0044113,3.1213093,9.466165,10.01796854
55:11.1,1.42136E+12,-0.9671388,2.9957204,9.517209,10.0243187
55:11.1,1.42136E+12,-0.98570025,3.1837294,9.446556,10.01724304
55:11.1,1.42136E+12,-1.060844,3.1115794,9.436377,9.992623642
55:11.1,1.42136E+12,-0.89962924,3.1513968,9.405991,9.960587395
55:11.2,1.42136E+12,-0.97118044,3.1096334,9.382489,9.931974183
55:11.2,1.42136E+12,-0.8659493,3.0786479,9.49715,10.02116756
55:11.2,1.42136E+12,-1.0243199,3.1708562,9.528585,10.09442878
55:11.2,1.42136E+12,-0.9897418,3.2618668,9.514664,10.10683902
55:11.2,1.42136E+12,-0.9277707,3.095413,9.46392,10.00040609
55:11.3,1.42136E+12,-0.9036708,3.0549972,9.395512,9.920951293
55:11.3,1.42136E+12,-0.92821974,3.214715,9.378148,9.957190584
55:11.3,1.42136E+12,-0.89962924,3.1015503,9.445658,9.982454712
55:11.3,1.42136E+12,-0.93256074,3.1753469,9.518107,10.07704611
55:11.3,1.42136E+12,-1.0344987,3.0931678,9.460776,10.00720526
55:11.4,1.42136E+12,-0.94812834,3.134482,9.368568,9.924413893
55:11.4,1.42136E+12,-0.92148376,3.1633718,9.482182,10.03831803
55:11.4,1.42136E+12,-0.9357042,3.0978081,9.330248,9.875499234
55:11.4,1.42136E+12,-0.91010743,3.0904734,9.304502,9.846475453
55:11.4,1.42136E+12,-0.9428893,3.2597713,9.328152,9.926206168
55:11.5,1.42136E+12,-0.93615323,3.1120286,9.363928,9.911823872
55:11.5,1.42136E+12,-0.8479866,3.1066396,9.41078,9.946510498
55:11.5,1.42136E+12,-0.93450665,3.1653178,9.425599,9.986713972
55:11.5,1.42136E+12,-1.0645862,3.0707145,9.411678,9.957023355
55:11.5,1.42136E+12,-0.8704399,3.1337333,9.295071,9.847654285
55:11.6,1.42136E+12,-0.902623,3.0774505,9.55538,10.07922203
55:11.6,1.42136E+12,-0.89618635,3.1521451,9.586814,10.13144468
55:11.6,1.42136E+12,-0.98794556,3.1281948,9.416019,9.971110918
55:11.6,1.42136E+12,-1.0529104,3.1240036,9.323512,9.889180695
55:11.6,1.42136E+12,-1.047821,3.1579828,9.342073,9.916910414
55:11.7,1.42136E+12,-1.0967692,3.050656,9.48787,10.02641919
55:11.7,1.42136E+12,-1.0226734,3.0654752,9.56481,10.09596897
55:11.7,1.42136E+12,-1.008902,3.1165192,9.516311,10.06433059
55:11.7,1.42136E+12,-0.963696,3.1485527,9.47799,10.03366277
55:11.7,1.42136E+12,-0.90337145,3.1597793,9.423354,9.979974239
55:11.8,1.42136E+12,-0.9425899,3.0798454,9.331146,9.871383342
55:11.8,1.42136E+12,-0.9821077,3.104993,9.341175,9.892576381
55:11.8,1.42136E+12,-0.96040285,3.2403116,9.499994,10.08324744
55:11.8,1.42136E+12,-1.0047107,3.2084281,9.583671,10.1562889
55:11.8,1.42136E+12,-0.9318123,3.077151,9.347462,9.884947055
55:11.9,1.42136E+12,-0.9753717,3.0205686,9.327254,9.852555597
55:11.9,1.42136E+12,-1.0876383,3.1659164,9.451196,10.02651931
55:11.9,1.42136E+12,-0.89334226,3.2208521,9.394764,9.971636739
55:11.9,1.42136E+12,-0.9520203,3.0892758,9.4176655,9.957027222
55:11.9,1.42136E+12,-0.93286014,3.066523,9.49221,10.01877448
55:12.0,1.42136E+12,-0.864602,2.9892838,9.404793,9.906234685
55:12.0,1.42136E+12,-0.87433183,3.1585817,9.439671,9.992421283
55:12.0,1.42136E+12,-0.86220706,3.129093,9.291029,9.841638273
55:12.0,1.42136E+12,-0.89229447,3.1507978,9.289533,9.849829418
55:12.0,1.42136E+12,-0.98420334,3.0355375,9.473649,9.996657917
55:12.1,1.42136E+12,-1.0309062,3.0621822,9.345666,9.888437713
55:12.1,1.42136E+12,-1.0258168,3.1780412,9.447903,10.02073436
55:12.1,1.42136E+12,-1.0184821,3.1653178,9.447304,10.01539292
55:12.1,1.42136E+12,-0.9952803,3.2606695,9.465267,10.06050833
55:12.1,1.42136E+12,-1.0115963,3.1660662,9.398954,9.96933491
55:12.2,1.42136E+12,-1.0014175,3.077151,9.375604,9.918348938
55:12.2,1.42136E+12,-0.9812096,3.128045,9.519005,10.06771543
55:12.2,1.42136E+12,-0.9181906,3.0778995,9.260642,9.801838071
55:12.2,1.42136E+12,-0.90471864,3.1220577,9.342671,9.891979656
55:12.2,1.42136E+12,-0.95725936,3.2181578,9.245823,9.83657095
55:12.3,1.42136E+12,-0.9505234,3.1708562,9.465866,10.02798299
55:12.3,1.42136E+12,-0.9554631,3.100203,9.395811,9.940092189
55:12.3,1.42136E+12,-0.8577164,3.1488519,9.506132,10.05074581
55:12.3,1.42136E+12,-0.8095166,3.2112722,9.437125,10.00134564
55:12.3,1.42136E+12,-0.97477293,3.133883,9.479038,10.03112986
