time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421362513450,16:55:13.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320,0.530,0.115,,
1421362513457,16:55:13.457,15.7,0.0,0.0,0.0,2.8,1.0,0.0,0.0,0.345,0.403,0.095,,
1421362513464,16:55:13.464,9.4,28.6,0.0,0.0,5.6,2.0,0.0,0.0,0.276,0.477,0.154,,
1421362513468,16:55:13.468,14.1,0.0,0.0,3.0,0.0,2.0,0.0,9.3,0.154,0.222,-0.076,,
1421362513505,16:55:13.505,20.5,3.3,12.5,0.0,7.1,29.3,6.1,0.0,0.154,0.217,-0.086,,
1421362513508,16:55:13.508,22.1,0.0,15.6,12.1,2.8,0.0,0.0,15.5,0.408,0.286,-0.086,,
1421362513530,16:55:13.530,46.6,11.5,0.0,13.7,4.2,0.0,9.2,21.8,0.134,0.193,0.032,,
1421362513570,16:55:13.570,18.9,70.4,12.5,7.5,7.1,0.0,3.0,15.5,0.208,0.428,0.130,,
1421362513579,16:55:13.578,23.7,3.3,14.1,41.9,1.4,0.0,1.5,15.5,0.193,0.320,-0.056,,
1421362513626,16:55:13.626,26.9,3.3,36.5,13.7,9.9,0.0,4.6,17.1,0.139,0.345,0.139,,
1421362513641,16:55:13.641,0.0,0.0,14.1,41.9,7.1,1.0,0.0,6.1,0.369,0.447,-0.042,,
1421362513675,16:55:13.675,23.6,3.3,20.4,6.0,0.0,1.0,31.0,20.2,0.159,0.252,-0.090,,
1421362513706,16:55:13.706,18.8,0.0,0.0,9.1,14.1,0.0,3.0,9.2,0.266,0.462,-0.046,,
1421362513725,16:55:13.725,17.2,50.0,18.8,0.0,8.4,0.0,9.2,18.6,0.149,0.188,-0.071,,
1421362513762,16:55:13.762,51.4,17.9,17.2,16.6,12.7,0.0,1.5,13.9,0.188,0.369,0.110,,
1421362513779,16:55:13.779,22.0,14.6,49.7,12.0,5.6,0.0,7.6,12.4,0.257,0.330,-0.027,,
1421362513784,16:55:13.783,23.6,6.5,39.8,21.2,9.8,0.0,10.7,18.6,0.159,0.330,0.154,,
1421362513812,16:55:13.812,23.6,9.7,15.6,46.3,11.2,2.0,0.0,6.1,0.374,0.574,0.115,,
1421362513861,16:55:13.861,23.6,13.0,0.0,16.6,0.0,0.0,38.5,7.7,0.183,0.345,0.046,,
1421362513879,16:55:13.878,26.8,13.0,12.5,13.6,32.2,29.3,19.7,15.5,0.305,0.457,-0.002,,
1421362513912,16:55:13.912,23.6,44.8,25.2,0.0,22.2,0.0,13.6,13.9,0.032,0.061,-0.213,,
1421362513929,16:55:13.928,51.4,11.3,18.8,15.0,22.2,0.0,16.6,12.4,0.193,0.413,0.120,,
1421362513974,16:55:13.974,14.1,17.9,36.5,16.6,27.9,0.0,12.1,15.5,0.188,0.232,0.022,,
1421362514011,16:55:14.011,25.2,16.3,10.9,7.5,6.9,0.0,1.5,25.0,0.061,0.340,0.066,,
1421362514051,16:55:14.051,1.5,9.7,12.5,47.8,22.2,3.1,3.0,6.1,0.447,0.540,0.178,,
1421362514071,16:55:14.070,18.8,14.6,15.6,12.0,6.9,0.0,43.3,23.4,0.139,0.266,-0.090,,
