31:30.4,1.42163E+12,AAA, ax,-0.50265473, ay,4.8368917, az,8.740923
31:30.4,1.42163E+12,AAA, ax,-0.54501665, ay,4.949308, az,8.715326
31:30.5,1.42163E+12,AAA, ax,-0.49861312, ay,5.0078363, az,8.748407
31:30.5,1.42163E+12,AAA, ax,-0.47436357, ay,4.9442186, az,8.737929
31:30.5,1.42163E+12,AAA, ax,-0.33500335, ay,4.839885, az,8.565488
31:30.5,1.42163E+12,AAA, ax,-0.5107379, ay,4.995861, az,8.674461
31:30.5,1.42163E+12,AAA, ax,-0.52885026, ay,5.0635204, az,8.617879
31:30.6,1.42163E+12,AAA, ax,-0.515977, ay,5.107828, az,8.641979
31:30.6,1.42163E+12,AAA, ax,-0.398172, ay,5.0998945, az,8.875343
31:30.6,1.42163E+12,AAA, ax,-0.3983217, ay,4.938979, az,8.724308
31:30.6,1.42163E+12,AAA, ax,-0.38305342, ay,4.849615, az,8.844956
31:30.6,1.42163E+12,AAA, ax,-0.43304947, ay,5.049749, az,8.796158
31:30.7,1.42163E+12,AAA, ax,-0.5287006, ay,5.1096244, az,8.784931
31:30.7,1.42163E+12,AAA, ax,-0.5261558, ay,4.995412, az,8.7576885
31:30.7,1.42163E+12,AAA, ax,-0.40296203, ay,4.905, az,8.754246
31:30.7,1.42163E+12,AAA, ax,-0.42317, ay,4.9262557, az,8.744665
31:30.7,1.42163E+12,AAA, ax,-0.5071454, ay,4.970863, az,8.691825
31:30.8,1.42163E+12,AAA, ax,-0.6011499, ay,5.040169, az,8.760532
31:30.8,1.42163E+12,AAA, ax,-0.5348378, ay,4.9988546, az,8.818761
31:30.8,1.42163E+12,AAA, ax,-0.42317, ay,4.850663, az,8.657547
31:30.8,1.42163E+12,AAA, ax,-0.4312532, ay,5.023104, az,8.460107
31:30.8,1.42163E+12,AAA, ax,-0.37452117, ay,5.0621734, az,8.590037
31:30.9,1.42163E+12,AAA, ax,-0.4565506, ay,4.9105387, az,8.69452
31:30.9,1.42163E+12,AAA, ax,-0.40161484, ay,4.7794113, az,8.72326
31:30.9,1.42163E+12,AAA, ax,-0.44487488, ay,4.7940807, az,8.653356
31:30.9,1.42163E+12,AAA, ax,-0.42137375, ay,4.786147, az,8.683144
31:30.9,1.42163E+12,AAA, ax,-0.42646316, ay,4.784201, az,8.904084
31:31.0,1.42163E+12,AAA, ax,-0.46403503, ay,4.9225135, az,9.04554
31:31.0,1.42163E+12,AAA, ax,-0.38724473, ay,5.0033455, az,8.817115
31:31.0,1.42163E+12,AAA, ax,-0.4128415, ay,5.1174083, az,8.6315
31:31.0,1.42163E+12,AAA, ax,-0.5243596, ay,5.0124764, az,8.622669
31:31.0,1.42163E+12,AAA, ax,-0.57480466, ay,5.225783, az,8.779243
31:31.1,1.42163E+12,AAA, ax,-0.407303, ay,4.988826, az,8.78089
31:31.1,1.42163E+12,AAA, ax,-0.36449203, ay,5.032385, az,8.676706
31:31.1,1.42163E+12,AAA, ax,-0.39472917, ay,4.9096403, az,8.589588
31:31.1,1.42163E+12,AAA, ax,-0.43724075, ay,4.9075446, az,8.567285
31:31.1,1.42163E+12,AAA, ax,-0.4670288, ay,4.968468, az,8.656649
31:31.2,1.42163E+12,AAA, ax,-0.6941066, ay,4.8946714, az,8.860075
31:31.2,1.42163E+12,AAA, ax,-0.4391867, ay,4.8111453, az,8.753647
31:31.2,1.42163E+12,AAA, ax,-0.38978943, ay,4.7892904, az,8.815019
31:31.2,1.42163E+12,AAA, ax,-0.50220567, ay,4.8946714, az,8.622819
31:31.2,1.42163E+12,AAA, ax,-0.46403503, ay,4.9124846, az,8.727451
31:31.3,1.42163E+12,AAA, ax,-0.48094985, ay,4.868925, az,8.786728
31:31.3,1.42163E+12,AAA, ax,-0.6581813, ay,4.9918194, az,8.760682
31:31.3,1.42163E+12,AAA, ax,-0.5519023, ay,5.1774335, az,8.760982
31:31.3,1.42163E+12,AAA, ax,-0.5081932, ay,5.080585, az,8.706644
31:31.3,1.42163E+12,AAA, ax,-0.5224136, ay,4.934489, az,8.655451
31:31.4,1.42163E+12,AAA, ax,-0.48873368, ay,4.9166756, az,8.735535
31:31.4,1.42163E+12,AAA, ax,-0.53843033, ay,4.8609915, az,8.765922
31:31.4,1.42163E+12,AAA, ax,-0.5081932, ay,4.968767, az,8.721912
31:31.4,1.42163E+12,AAA, ax,-0.52735335, ay,4.8972163, az,8.571027
31:31.4,1.42163E+12,AAA, ax,-0.35251695, ay,4.9490085, az,8.597222
31:31.5,1.42163E+12,AAA, ax,-0.35595977, ay,4.776567, az,8.685089
31:31.5,1.42163E+12,AAA, ax,-0.37721556, ay,4.8175817, az,8.697963
31:31.5,1.42163E+12,AAA, ax,-0.45969406, ay,4.805607, az,8.711135
31:31.5,1.42163E+12,AAA, ax,-0.5492079, ay,4.8512616, az,8.854088
31:31.5,1.42163E+12,AAA, ax,-0.33679962, ay,4.9817905, az,8.780741
