time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421631475353,19:37:55.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.784,0.095,,
1421631475364,19:37:55.364,0.0,0.0,0.0,0.0,21.7,1.7,1.6,0.0,0.589,0.853,0.159,,
1421631475373,19:37:55.373,0.0,3.6,1.6,1.6,12.9,1.7,0.0,0.0,0.584,0.853,0.134,,
1421631475377,19:37:55.376,5.2,3.6,0.0,1.6,12.9,1.7,0.0,0.0,0.555,0.853,0.144,,
1421631475384,19:37:55.384,0.0,3.6,0.0,1.6,14.4,3.3,1.6,0.0,0.589,0.780,0.086,,
1421631475399,19:37:55.391,0.0,1.8,0.0,1.6,5.7,1.7,0.0,9.7,0.574,0.848,0.149,,
1421631475404,19:37:55.403,0.0,1.8,0.0,1.6,11.5,3.3,1.6,0.0,0.506,0.780,0.076,,
1421631475411,19:37:55.411,0.0,0.0,0.0,1.6,12.9,3.3,4.7,0.0,0.609,0.848,0.154,,
1421631475418,19:37:55.417,0.0,8.9,0.0,1.6,12.9,3.3,0.0,6.4,0.535,0.848,0.139,,
1421631475425,19:37:55.424,0.0,0.0,0.0,1.6,12.9,0.0,0.0,6.4,0.565,0.780,0.095,,
1421631475439,19:37:55.439,0.0,0.0,1.6,4.7,15.8,1.7,0.0,4.8,0.247,0.330,-0.139,,
1421631475448,19:37:55.448,0.0,0.0,0.0,0.0,11.5,1.7,0.0,4.8,0.433,0.310,-0.042,,
1421631475457,19:37:55.456,0.0,0.0,0.0,1.6,11.5,1.7,0.0,19.4,0.437,0.335,-0.051,,
1421631475463,19:37:55.462,0.0,0.0,22.0,0.0,12.9,1.7,0.0,4.8,0.354,0.315,-0.090,,
1421631475473,19:37:55.473,0.0,0.0,22.0,1.6,11.5,0.0,0.0,4.8,0.433,0.315,-0.042,,
1421631475477,19:37:55.477,0.0,0.0,22.0,1.6,11.5,0.0,0.0,4.8,0.428,0.315,-0.046,,
1421631475487,19:37:55.487,0.0,0.0,12.5,1.6,12.9,1.7,1.5,9.6,0.437,0.340,-0.046,,
1421631475491,19:37:55.491,0.0,0.0,22.0,1.6,11.5,0.0,0.0,3.2,0.428,0.320,-0.042,,
1421631475495,19:37:55.494,0.0,0.0,22.0,1.6,11.5,0.0,0.0,3.2,0.437,0.320,-0.042,,
1421631475499,19:37:55.498,0.0,0.0,22.0,1.6,11.5,0.0,0.0,3.2,0.423,0.320,-0.051,,
1421631475505,19:37:55.503,0.0,0.0,20.4,3.1,12.9,0.0,4.7,3.2,0.428,0.340,-0.037,,
1421631475517,19:37:55.516,0.0,22.5,20.4,1.6,11.5,0.0,0.0,3.2,0.433,0.320,-0.037,,
1421631475521,19:37:55.520,0.0,22.5,22.0,1.6,11.5,1.7,0.0,3.2,0.599,0.858,0.130,,
1421631475527,19:37:55.527,1.7,24.3,22.0,1.6,12.9,1.7,0.0,3.2,0.535,0.789,0.100,,
1421631475530,19:37:55.530,0.0,22.5,20.4,11.0,11.5,1.7,0.0,3.2,0.521,0.784,0.095,,
1421631475543,19:37:55.542,6.8,22.5,22.0,1.6,11.5,0.0,0.0,1.6,0.589,0.853,0.154,,
1421631475557,19:37:55.555,5.1,22.5,22.0,1.6,11.5,0.0,0.0,0.0,0.594,0.848,0.154,,
1421631475576,19:37:55.575,5.1,22.5,22.0,1.6,11.5,0.0,0.0,4.8,0.594,0.853,0.144,,
1421631475600,19:37:55.593,5.1,22.5,22.0,1.6,11.5,0.0,0.0,4.8,0.530,0.550,0.130,,
1421631475608,19:37:55.607,0.0,22.5,20.4,12.6,11.5,0.0,0.0,4.8,0.530,0.780,0.095,,
1421631475611,19:37:55.611,13.5,22.5,22.0,1.6,11.5,0.0,0.0,4.8,0.604,0.848,0.144,,
1421631475614,19:37:55.614,8.4,22.5,22.0,1.6,11.5,0.0,1.5,4.8,0.594,0.848,0.144,,
1421631475622,19:37:55.622,8.4,22.5,22.0,1.6,10.0,0.0,0.0,9.6,0.530,0.780,0.095,,
1421631475626,19:37:55.626,8.4,22.5,22.0,1.6,11.5,0.0,0.0,6.4,0.565,0.848,0.134,,
1421631475630,19:37:55.629,6.7,22.5,22.0,0.0,5.7,0.0,0.0,4.8,0.853,0.853,0.286,,
1421631475634,19:37:55.634,6.7,20.8,22.0,0.0,11.5,16.4,0.0,4.8,0.442,0.521,0.159,,
1421631475638,19:37:55.638,6.7,20.8,22.0,1.6,11.5,16.4,0.0,4.8,0.437,0.315,-0.037,,
1421631475643,19:37:55.643,6.7,20.8,22.0,1.6,11.5,16.4,0.0,4.8,0.428,0.315,-0.042,,
1421631475652,19:37:55.652,8.4,20.8,22.0,1.6,11.5,16.4,0.0,4.8,0.423,0.315,-0.051,,
1421631475662,19:37:55.662,8.4,20.8,22.0,1.6,11.5,16.4,0.0,4.8,0.437,0.315,-0.032,,
1421631475667,19:37:55.667,8.4,22.5,22.0,1.6,11.5,16.4,0.0,4.8,0.555,0.545,0.051,,
1421631475672,19:37:55.672,10.1,22.5,22.0,1.6,11.5,14.8,0.0,4.8,0.433,0.320,-0.042,,
1421631475679,19:37:55.679,10.1,22.5,22.0,1.6,36.5,18.1,1.5,4.8,0.437,0.340,-0.042,,
1421631475683,19:37:55.683,10.1,22.5,22.0,1.6,11.5,14.8,0.0,4.8,0.442,0.320,-0.037,,
1421631475687,19:37:55.687,10.1,22.5,22.0,1.6,11.5,14.8,0.0,4.8,0.423,0.320,-0.042,,
1421631475692,19:37:55.691,11.8,22.5,22.0,1.6,11.5,14.8,0.0,4.8,0.428,0.320,-0.046,,
1421631475696,19:37:55.696,11.8,22.5,22.0,3.1,21.7,14.8,0.0,4.8,0.535,0.794,0.154,,
1421631475699,19:37:55.699,10.1,33.2,22.0,1.6,11.5,14.8,0.0,4.8,0.540,0.848,0.159,,
1421631475707,19:37:55.706,11.8,22.5,22.0,1.6,11.5,14.8,0.0,4.8,0.594,0.789,0.100,,
1421631475711,19:37:55.710,11.8,22.5,22.0,1.6,11.5,14.8,0.0,3.2,0.525,0.784,0.110,,
1421631475714,19:37:55.713,11.8,22.5,20.4,1.6,11.5,18.1,0.0,3.2,0.516,0.784,0.100,,
1421631475719,19:37:55.719,11.8,22.5,22.0,1.6,11.5,14.8,0.0,3.2,0.511,0.784,0.154,,
1421631475723,19:37:55.723,10.1,33.2,22.0,1.6,11.5,16.4,0.0,3.2,0.540,0.824,0.149,,
1421631475726,19:37:55.726,11.8,22.5,22.0,1.6,11.5,16.4,0.0,4.8,0.613,0.794,0.086,,
1421631475728,19:37:55.728,10.1,20.8,22.0,1.6,11.5,6.5,0.0,3.2,0.589,0.780,0.100,,
1421631475730,19:37:55.730,10.1,20.8,18.8,0.0,11.5,23.1,0.0,3.2,0.525,0.780,0.095,,
1421631475733,19:37:55.733,10.1,20.8,20.4,4.7,11.5,16.4,0.0,3.2,0.535,0.780,0.154,,
1421631475738,19:37:55.738,10.1,20.8,20.4,18.9,11.5,16.4,0.0,24.3,0.164,0.335,-0.242,,
1421631475744,19:37:55.743,8.4,20.8,20.4,0.0,11.5,16.4,0.0,1.6,0.433,0.310,-0.042,,
1421631475746,19:37:55.746,8.4,20.8,20.4,0.0,11.5,14.8,0.0,1.6,0.428,0.315,-0.051,,
1421631475748,19:37:55.748,8.4,20.8,20.4,0.0,11.5,16.4,0.0,3.2,0.584,0.540,0.081,,
1421631475751,19:37:55.750,8.4,19.0,20.4,1.6,11.5,14.8,0.0,1.6,0.413,0.315,-0.051,,
1421631475754,19:37:55.754,8.4,19.0,20.4,0.0,10.0,14.8,0.0,1.6,0.428,0.315,-0.037,,
1421631475759,19:37:55.759,8.4,19.0,20.4,0.0,10.0,16.4,0.0,1.6,0.433,0.320,-0.037,,
1421631475765,19:37:55.764,8.4,20.8,20.4,0.0,10.0,16.4,0.0,1.6,0.423,0.320,-0.042,,
1421631475769,19:37:55.768,6.7,20.8,20.4,0.0,10.0,16.4,0.0,1.6,0.437,0.418,0.149,,
1421631475773,19:37:55.772,6.7,20.8,20.4,1.6,11.5,18.1,0.0,1.6,0.433,0.320,-0.037,,
1421631475775,19:37:55.775,6.7,20.8,20.4,1.6,11.5,18.1,0.0,3.2,0.550,0.545,0.051,,
1421631475778,19:37:55.778,8.4,20.8,26.8,1.6,11.5,18.1,0.0,1.6,0.437,0.325,-0.056,,
1421631475781,19:37:55.781,8.4,20.8,20.4,1.6,11.5,19.7,1.5,0.0,0.628,0.858,0.154,,
1421631475784,19:37:55.783,11.8,20.8,20.4,1.6,11.5,19.7,1.5,11.1,0.530,0.789,0.105,,
1421631475786,19:37:55.786,6.7,20.8,20.4,1.6,11.5,19.7,1.5,11.1,0.521,0.789,0.090,,
1421631475789,19:37:55.789,6.7,13.8,20.4,1.6,15.8,19.7,1.5,11.1,0.525,0.784,0.100,,
1421631475792,19:37:55.791,5.0,19.0,22.0,1.6,14.4,19.7,1.5,11.1,0.530,0.784,0.100,,
1421631475799,19:37:55.799,5.0,19.0,20.4,1.6,11.5,19.7,1.5,11.1,0.535,0.853,0.159,,
1421631475801,19:37:55.801,16.9,19.0,20.4,1.6,11.5,19.7,1.5,11.1,0.589,0.853,0.144,,
1421631475804,19:37:55.804,5.0,19.0,20.4,1.6,15.8,19.7,1.5,9.5,0.525,0.784,0.090,,
1421631475807,19:37:55.807,3.3,20.8,22.0,1.6,12.9,19.7,1.5,9.5,0.530,0.784,0.100,,
1421631475810,19:37:55.809,5.0,17.3,20.4,1.6,15.8,19.7,0.0,9.5,0.516,0.780,0.090,,
1421631475812,19:37:55.812,5.0,19.0,20.4,1.6,11.5,19.7,0.0,9.5,0.535,0.848,0.154,,
1421631475815,19:37:55.815,15.2,19.0,20.4,1.6,11.5,19.7,0.0,9.5,0.589,0.848,0.149,,
1421631475820,19:37:55.820,3.3,17.3,20.4,0.0,11.5,18.1,0.0,7.9,0.652,0.521,0.144,,
1421631475823,19:37:55.823,25.5,19.0,20.4,0.0,10.0,19.7,12.0,9.5,0.535,0.784,0.188,,
1421631475826,19:37:55.826,0.0,1.7,20.4,63.6,39.5,0.0,16.6,11.1,0.530,0.711,0.051,,
1421631475829,19:37:55.829,14.9,19.0,6.2,12.2,11.5,12.8,35.1,1.6,0.525,0.926,0.227,,
1421631475836,19:37:55.836,14.9,33.2,12.5,18.4,20.2,25.9,24.2,27.3,0.511,0.535,0.042,,
1421631475849,19:37:55.848,18.3,6.9,18.8,29.5,0.0,30.9,25.8,7.9,0.740,0.941,0.017,,
1421631475855,19:37:55.855,25.0,8.6,22.0,0.0,18.4,30.9,36.7,9.5,0.496,0.667,0.081,,
1421631475858,19:37:55.858,0.0,0.0,20.4,6.0,30.0,6.4,6.0,9.5,0.628,0.701,0.042,,
1421631475860,19:37:55.860,25.0,16.9,22.0,30.5,22.7,44.4,24.2,9.5,0.574,0.858,0.305,,
1421631475863,19:37:55.862,13.2,29.0,20.4,30.5,46.3,29.3,24.2,9.5,0.794,0.633,-0.071,,
1421631475865,19:37:55.865,16.6,53.9,12.5,27.3,22.7,9.6,24.2,9.5,0.618,1.034,0.310,,
1421631475867,19:37:55.867,18.3,30.8,20.4,28.9,0.0,22.6,25.8,0.0,0.379,0.706,-0.056,,
1421631475870,19:37:55.870,16.6,30.8,20.4,30.5,42.3,30.9,24.2,9.5,0.501,0.775,0.081,,
1421631475874,19:37:55.874,13.2,30.8,20.4,74.0,30.7,6.4,24.2,0.0,0.354,0.530,0.042,,
1421631475877,19:37:55.877,16.6,30.8,20.4,28.9,36.5,27.6,24.2,20.4,0.604,0.809,0.134,,
1421631475879,19:37:55.879,16.6,30.8,20.4,28.9,36.5,30.9,24.2,7.8,0.589,0.848,0.149,,
1421631475881,19:37:55.881,16.6,30.8,20.4,28.9,36.5,30.9,24.2,20.4,0.545,0.780,0.144,,
1421631475883,19:37:55.883,16.6,30.8,20.4,30.5,36.5,30.9,24.2,20.4,0.521,0.775,0.090,,
1421631475886,19:37:55.886,16.6,30.8,20.4,27.3,36.5,30.9,24.2,23.6,0.560,0.775,0.095,,
1421631475889,19:37:55.889,16.6,30.8,20.4,28.9,36.5,21.0,24.2,20.4,0.589,0.824,0.090,,
1421631475891,19:37:55.891,16.6,30.8,20.4,28.9,36.5,30.9,24.2,18.8,0.618,0.843,0.139,,
1421631475893,19:37:55.893,16.6,30.8,20.4,28.9,36.5,30.9,24.2,20.4,0.530,0.775,0.144,,
1421631475896,19:37:55.896,23.3,16.9,22.0,28.9,36.5,30.9,22.7,18.8,0.643,0.926,0.310,,
1421631475898,19:37:55.898,14.9,30.8,18.8,28.9,36.5,30.9,24.2,22.0,0.569,0.843,0.130,,
1421631475900,19:37:55.900,16.6,6.7,18.8,28.9,30.7,47.8,24.2,17.2,0.345,0.525,-0.081,,
1421631475902,19:37:55.902,18.3,15.2,23.6,0.0,26.4,30.9,4.5,20.4,0.550,0.530,-0.056,,
1421631475905,19:37:55.904,13.2,0.0,18.8,7.5,46.7,19.4,0.0,18.8,0.721,0.926,0.169,,
1421631475907,19:37:55.907,31.9,6.7,23.6,28.9,36.5,30.9,31.7,18.8,0.623,0.921,0.310,,
1421631475909,19:37:55.909,14.9,53.9,46.4,0.0,51.1,30.9,30.2,18.8,0.428,0.530,-0.037,,
1421631475912,19:37:55.911,14.9,29.0,0.0,27.3,40.8,30.9,30.2,49.7,0.413,0.530,-0.017,,
1421631475915,19:37:55.915,14.9,30.8,28.0,28.9,19.4,12.8,30.2,0.0,0.423,0.696,-0.022,,
1421631475921,19:37:55.920,18.3,25.5,31.2,28.9,36.5,30.9,30.2,12.5,0.648,0.921,0.261,,
1421631475926,19:37:55.926,13.2,53.9,39.2,12.0,37.9,30.9,30.2,43.1,0.271,0.330,-0.183,,
