time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421632152401,19:49:12.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.405,-1.444,-1.430,,
1421632152408,19:49:12.407,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.405,-1.444,-1.430,,
1421632152412,19:49:12.412,0.0,3.5,1.7,0.0,0.0,0.0,0.0,0.0,-1.405,-1.459,-1.430,,
1421632152421,19:49:12.421,0.0,1.8,1.7,1.6,0.0,0.0,0.0,0.0,-1.400,-1.444,-1.430,,
1421632152425,19:49:12.425,0.0,0.0,3.3,0.0,4.9,0.0,0.0,0.0,-1.405,-1.444,-1.459,,
1421632152439,19:49:12.431,0.0,10.4,0.0,0.0,3.3,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152449,19:49:12.449,1.6,10.4,0.0,1.6,3.3,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152457,19:49:12.456,3.2,8.7,0.0,1.6,3.3,0.0,0.0,0.0,-1.405,-1.444,-1.430,,
1421632152462,19:49:12.462,0.0,10.4,1.7,0.0,0.0,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152468,19:49:12.468,0.0,10.4,0.0,0.0,3.3,0.0,0.0,0.0,-1.405,-1.444,-1.430,,
1421632152474,19:49:12.473,0.0,10.4,0.0,0.0,3.3,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152480,19:49:12.479,0.0,10.4,0.0,0.0,3.3,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152502,19:49:12.499,0.0,10.4,0.0,0.0,3.3,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152517,19:49:12.517,0.0,10.4,0.0,3.1,3.3,0.0,0.0,0.0,-1.405,-1.449,-1.430,,
1421632152530,19:49:12.530,0.0,10.4,0.0,3.1,3.3,0.0,0.0,0.0,-1.405,-1.444,-1.430,,
1421632152545,19:49:12.545,0.0,10.4,0.0,3.1,3.3,0.0,0.0,0.0,-1.405,-1.444,-1.430,,
1421632152556,19:49:12.556,0.0,10.4,0.0,4.7,3.3,0.0,0.0,0.0,-1.410,-1.444,-1.430,,
1421632152560,19:49:12.560,0.0,10.4,1.7,3.1,3.3,0.0,1.7,1.7,-1.405,-1.444,-1.435,,
1421632152567,19:49:12.567,0.0,10.4,1.7,3.1,4.9,0.0,1.7,0.0,-1.405,-1.444,-1.430,,
1421632152581,19:49:12.581,1.6,8.7,1.7,4.7,3.3,1.6,1.7,0.0,-1.405,-1.444,-1.430,,
1421632152597,19:49:12.594,0.0,10.4,3.3,3.1,3.3,1.6,1.7,1.7,-1.410,-1.439,-1.430,,
1421632152607,19:49:12.607,0.0,8.7,1.7,3.1,3.3,0.0,1.7,0.0,-1.405,-1.444,-1.430,,
1421632152611,19:49:12.611,0.0,10.4,0.0,4.7,3.3,0.0,1.7,0.0,-1.405,-1.444,-1.430,,
1421632152614,19:49:12.614,1.6,10.4,0.0,3.1,3.3,0.0,1.7,0.0,-1.410,-1.444,-1.430,,
1421632152627,19:49:12.627,0.0,10.4,0.0,4.7,3.3,0.0,1.7,1.7,-1.400,-1.444,-1.430,,
1421632152630,19:49:12.630,0.0,8.7,0.0,3.1,3.3,0.0,1.7,3.4,-1.405,-1.444,-1.430,,
1421632152633,19:49:12.633,0.0,10.4,1.7,3.1,3.3,0.0,0.0,1.7,-1.405,-1.449,-1.430,,
1421632152641,19:49:12.641,1.6,8.7,1.7,6.3,3.3,3.1,0.0,1.7,-1.400,-1.449,-1.430,,
1421632152644,19:49:12.643,3.2,15.7,0.0,4.7,3.3,3.1,1.7,0.0,-1.425,-1.444,-1.435,,
1421632152646,19:49:12.646,0.0,10.4,0.0,7.9,6.5,6.3,0.0,10.0,-1.400,-1.444,-1.469,,
1421632152654,19:49:12.649,7.9,0.0,1.7,3.1,1.6,3.1,13.6,6.7,-1.366,-1.454,-1.430,,
1421632152659,19:49:12.658,9.4,13.9,5.0,4.7,8.2,1.6,13.6,5.0,-1.410,-1.444,-1.410,,
1421632152662,19:49:12.662,6.3,12.1,8.3,7.9,0.0,0.0,13.6,6.7,-1.386,-1.444,-1.420,,
1421632152664,19:49:12.664,9.4,12.1,10.0,3.1,4.9,10.9,13.6,5.0,-1.351,-1.439,-1.425,,
1421632152673,19:49:12.672,1.6,13.9,5.0,9.4,4.9,10.9,11.9,5.0,-1.381,-1.425,-1.449,,
1421632152677,19:49:12.677,6.3,5.2,6.7,20.6,6.5,12.5,0.0,8.3,-1.410,-1.469,-1.435,,
1421632152681,19:49:12.681,6.3,12.1,0.0,7.9,1.6,9.4,11.9,10.0,-1.400,-1.425,-1.405,,
1421632152695,19:49:12.694,6.3,17.4,5.0,3.1,6.5,12.5,15.3,10.0,-1.449,-1.454,-1.435,,
1421632152698,19:49:12.698,6.3,10.4,3.3,3.1,14.7,10.9,13.6,1.7,-1.405,-1.439,-1.371,,
1421632152702,19:49:12.702,6.3,12.1,15.1,1.6,3.2,9.4,13.6,6.7,-1.386,-1.444,-1.430,,
1421632152705,19:49:12.705,6.3,13.9,1.7,4.7,4.9,12.5,15.3,6.7,-1.405,-1.444,-1.430,,
1421632152708,19:49:12.707,1.6,12.1,1.7,14.2,4.9,9.4,13.6,5.0,-1.405,-1.425,-1.420,,
1421632152711,19:49:12.711,3.1,12.1,1.7,3.1,4.9,10.9,13.6,1.7,-1.405,-1.444,-1.430,,
1421632152713,19:49:12.713,3.1,10.4,0.0,4.7,4.9,12.5,5.1,6.7,-1.400,-1.449,-1.410,,
1421632152716,19:49:12.716,7.9,19.2,0.0,3.1,4.9,12.5,13.6,6.7,-1.410,-1.483,-1.405,,
1421632152722,19:49:12.721,4.7,12.1,5.0,3.1,4.9,10.9,15.3,6.7,-1.410,-1.444,-1.430,,
1421632152731,19:49:12.731,7.9,10.4,3.3,4.7,0.0,9.4,13.6,16.8,-1.386,-1.444,-1.435,,
1421632152735,19:49:12.734,3.1,12.1,3.3,4.7,14.5,10.9,15.3,6.7,-1.405,-1.449,-1.435,,
1421632152739,19:49:12.739,1.6,10.4,11.6,6.3,14.5,10.9,13.6,5.0,-1.351,-1.444,-1.425,,
1421632152743,19:49:12.743,4.7,10.4,3.3,3.1,14.5,20.5,13.6,0.0,-1.405,-1.449,-1.430,,
1421632152746,19:49:12.746,4.7,12.1,5.0,3.1,14.5,12.5,13.6,6.7,-1.405,-1.444,-1.430,,
1421632152749,19:49:12.749,4.7,6.9,3.3,4.7,21.1,20.5,15.3,11.7,-1.410,-1.454,-1.444,,
1421632152757,19:49:12.757,4.7,17.4,3.3,6.3,8.0,3.1,6.8,5.0,-1.410,-1.449,-1.435,,
1421632152760,19:49:12.760,4.7,10.4,3.3,3.1,8.0,10.9,13.6,15.1,-1.395,-1.444,-1.430,,
1421632152763,19:49:12.763,4.7,10.4,0.0,0.0,16.2,0.0,13.6,5.0,-1.405,-1.439,-1.425,,
1421632152767,19:49:12.767,3.1,10.4,1.6,7.8,21.1,23.3,13.6,6.7,-1.405,-1.449,-1.430,,
1421632152781,19:49:12.781,4.7,10.4,4.9,7.8,14.5,26.5,17.0,0.0,-1.405,-1.449,-1.435,,
1421632152784,19:49:12.783,7.9,10.4,4.9,7.8,14.5,18.6,20.5,6.7,-1.400,-1.415,-1.425,,
1421632152790,19:49:12.790,11.0,12.1,0.0,3.1,12.9,20.2,13.6,6.7,-1.405,-1.454,-1.444,,
1421632152793,19:49:12.793,4.7,15.6,4.9,9.4,16.2,18.6,11.9,6.7,-1.405,-1.444,-1.430,,
1421632152798,19:49:12.798,4.7,10.4,15.0,10.9,8.0,21.8,13.6,11.7,-1.376,-1.454,-1.420,,
1421632152801,19:49:12.801,3.1,10.4,4.9,7.8,14.5,21.8,13.6,6.7,-1.415,-1.435,-1.425,,
1421632152806,19:49:12.806,3.1,10.4,15.0,7.8,12.9,20.2,13.6,8.3,-1.400,-1.547,-1.410,,
1421632152813,19:49:12.813,0.0,15.6,4.9,14.1,14.5,28.1,13.6,0.0,-1.405,-1.449,-1.430,,
1421632152816,19:49:12.816,3.1,10.4,4.9,10.9,14.5,20.2,13.6,6.7,-1.405,-1.444,-1.430,,
1421632152821,19:49:12.821,4.7,8.6,6.6,7.8,14.5,26.5,15.3,8.3,-1.395,-1.454,-1.444,,
1421632152824,19:49:12.824,4.7,8.6,4.9,7.8,14.5,20.2,13.6,5.0,-1.405,-1.444,-1.430,,
1421632152827,19:49:12.827,4.7,10.4,8.3,6.2,9.6,23.3,13.6,0.0,-1.410,-1.425,-1.474,,
1421632152829,19:49:12.829,3.1,10.4,4.9,7.8,14.5,23.3,13.6,11.6,-1.405,-1.444,-1.430,,
1421632152838,19:49:12.837,7.9,10.4,15.0,12.5,14.5,15.5,5.1,10.0,-1.405,-1.449,-1.454,,
1421632152852,19:49:12.851,3.1,10.4,4.9,1.6,14.5,21.8,8.5,11.6,-1.381,-1.464,-1.435,,
1421632152857,19:49:12.856,4.7,10.4,4.9,9.4,14.5,20.2,13.6,11.6,-1.405,-1.444,-1.430,,
1421632152859,19:49:12.859,14.2,8.6,0.0,0.0,12.9,20.2,13.6,10.0,-1.405,-1.464,-1.449,,
1421632152875,19:49:12.874,6.3,10.4,4.9,7.8,14.5,20.2,13.6,11.6,-1.405,-1.444,-1.430,,
1421632152882,19:49:12.882,4.7,10.4,6.6,7.8,14.5,20.2,13.6,11.6,-1.405,-1.444,-1.425,,
1421632152888,19:49:12.887,1.6,6.9,0.0,9.4,14.5,20.2,11.9,10.0,-1.405,-1.444,-1.425,,
1421632152891,19:49:12.890,3.1,8.6,8.2,7.8,12.9,20.2,13.6,11.6,-1.400,-1.444,-1.430,,
1421632152893,19:49:12.893,0.0,0.0,6.6,3.1,14.5,21.8,17.0,11.6,-1.405,-1.415,-1.425,,
1421632152896,19:49:12.896,9.4,13.8,9.9,7.8,12.9,20.2,15.3,10.0,-1.400,-1.449,-1.430,,
1421632152898,19:49:12.898,9.4,19.1,6.6,6.2,12.9,20.2,13.6,11.6,-1.410,-1.469,-1.449,,
1421632152900,19:49:12.900,7.8,15.6,11.5,9.4,1.6,20.2,13.6,11.6,-1.410,-1.444,-1.425,,
1421632152910,19:49:12.909,7.8,12.1,8.2,9.4,12.9,24.9,13.6,20.1,-1.405,-1.444,-1.439,,
1421632152912,19:49:12.912,9.4,13.8,3.3,9.4,12.9,21.8,17.0,6.6,-1.430,-1.444,-1.425,,
