41:13.1,1.42111E+12,AAA, ax,-1.0461745, ay,3.267555, az,9.151968
41:13.2,1.42111E+12,AAA, ax,-1.1558963, ay,3.231031, az,9.255703
41:13.2,1.42111E+12,AAA, ax,-1.0092014, ay,3.1907647, az,9.387428
41:13.2,1.42111E+12,AAA, ax,-0.75368273, ay,3.2024405, az,9.285192
41:13.2,1.42111E+12,AAA, ax,-0.8596623, ay,3.1591804, az,9.24268
41:13.2,1.42111E+12,AAA, ax,-0.79290116, ay,3.339256, az,9.161399
41:13.3,1.42111E+12,AAA, ax,-0.83975375, ay,3.099754, az,9.5699
41:13.3,1.42111E+12,AAA, ax,-0.89169574, ay,3.139721, az,9.512419
41:13.3,1.42111E+12,AAA, ax,-0.8267308, ay,3.075654, az,9.402248
41:13.3,1.42111E+12,AAA, ax,-0.9533675, ay,3.0753548, az,9.493258
41:13.3,1.42111E+12,AAA, ax,-0.93286014, ay,3.328628, az,9.392219
41:13.4,1.42111E+12,AAA, ax,-0.8909473, ay,3.231031, az,9.433084
41:13.4,1.42111E+12,AAA, ax,-0.9104068, ay,3.2106733, az,9.438922
41:13.4,1.42111E+12,AAA, ax,-0.90052736, ay,3.3895514, az,9.611813
41:13.4,1.42111E+12,AAA, ax,-0.97207856, ay,3.4393978, az,9.439521
41:13.4,1.42111E+12,AAA, ax,-0.8659493, ay,3.2070808, az,9.314231
41:13.5,1.42111E+12,AAA, ax,-0.9096584, ay,3.3208442, az,9.376202
41:13.5,1.42111E+12,AAA, ax,-0.84858537, ay,3.3992813, az,9.421557
41:13.5,1.42111E+12,AAA, ax,-0.9313632, ay,3.3973353, az,9.233549
41:13.5,1.42111E+12,AAA, ax,-0.9880952, ay,3.5378928, az,9.324709
41:13.5,1.42111E+12,AAA, ax,-0.94902647, ay,3.3756304, az,9.253457
41:13.6,1.42111E+12,AAA, ax,-0.748743, ay,3.2169602, az,9.356294
41:13.6,1.42111E+12,AAA, ax,-0.7668553, ay,3.114723, az,9.257798
41:13.6,1.42111E+12,AAA, ax,-0.558788, ay,3.1680121, az,9.252858
41:13.6,1.42111E+12,AAA, ax,-0.54860914, ay,3.2871642, az,9.183403
41:13.6,1.42111E+12,AAA, ax,-0.8069719, ay,3.288212, az,9.227411
41:13.7,1.42111E+12,AAA, ax,-0.7402107, ay,3.3443453, az,9.301806
41:13.7,1.42111E+12,AAA, ax,-0.7788304, ay,3.1501992, az,9.1765175
41:13.7,1.42111E+12,AAA, ax,-0.84065187, ay,3.514691, az,9.234896
41:13.7,1.42111E+12,AAA, ax,-0.9610016, ay,3.5810032, az,9.204359
41:13.7,1.42111E+12,AAA, ax,-1.0008187, ay,3.306624, az,9.208101
41:13.8,1.42111E+12,AAA, ax,-0.8571176, ay,3.310815, az,9.213041
41:13.8,1.42111E+12,AAA, ax,-0.8532257, ay,3.3816178, az,9.268576
41:13.8,1.42111E+12,AAA, ax,-0.8652008, ay,3.50571, az,9.28624
41:13.8,1.42111E+12,AAA, ax,-0.9054671, ay,3.2823744, az,9.458082
41:13.8,1.42111E+12,AAA, ax,-0.8262817, ay,3.263214, az,9.506881
41:13.9,1.42111E+12,AAA, ax,-0.83511335, ay,3.3919463, az,9.454041
41:13.9,1.42111E+12,AAA, ax,-0.7924521, ay,3.2747402, az,9.109906
41:13.9,1.42111E+12,AAA, ax,-0.7614665, ay,3.3274305, az,9.289982
41:13.9,1.42111E+12,AAA, ax,-1.0770104, ay,3.2991395, az,9.4491005
41:13.9,1.42111E+12,AAA, ax,-0.91504717, ay,3.2431557, az,9.267229
41:14.0,1.42111E+12,AAA, ax,-0.7547305, ay,3.1522949, az,9.351503
41:14.0,1.42111E+12,AAA, ax,-0.77972853, ay,3.25558, az,9.319171
41:14.0,1.42111E+12,AAA, ax,-0.79828995, ay,3.3983831, az,9.363329
41:14.0,1.42111E+12,AAA, ax,-0.84364563, ay,3.2268398, az,9.31498
41:14.0,1.42111E+12,AAA, ax,-0.8452922, ay,3.1644197, az,9.37695
41:14.1,1.42111E+12,AAA, ax,-0.8446934, ay,3.1886692, az,9.357192
41:14.1,1.42111E+12,AAA, ax,-0.7171587, ay,3.195405, az,9.528436
41:14.1,1.42111E+12,AAA, ax,-0.99812436, ay,3.3905993, az,9.518556
41:14.1,1.42111E+12,AAA, ax,-0.9647438, ay,3.2157629, az,9.331445
41:14.1,1.42111E+12,AAA, ax,-0.79933774, ay,3.153193, az,9.257948
41:14.2,1.42111E+12,AAA, ax,-0.78631485, ay,3.1647189, az,9.392967
41:14.2,1.42111E+12,AAA, ax,-0.9291179, ay,3.3069232, az,9.411229
41:14.2,1.42111E+12,AAA, ax,-0.86579955, ay,3.268154, az,9.472602
41:14.2,1.42111E+12,AAA, ax,-0.6012996, ay,3.2165112, az,9.370963
41:14.2,1.42111E+12,AAA, ax,-0.49187714, ay,3.1234047, az,9.43009
41:14.3,1.42111E+12,AAA, ax,-0.5718109, ay,2.9653335, az,9.672735
41:14.3,1.42111E+12,AAA, ax,-0.80218184, ay,3.0575418, az,9.599538
41:14.3,1.42111E+12,AAA, ax,-0.7623646, ay,3.3160543, az,9.499097
41:14.3,1.42111E+12,AAA, ax,-0.6170169, ay,3.291206, az,9.477541
41:14.3,1.42111E+12,AAA, ax,-0.68497556, ay,2.9906309, az,9.37695
41:14.4,1.42111E+12,AAA, ax,-0.7197034, ay,3.2284863, az,9.398655
41:14.4,1.42111E+12,AAA, ax,-0.8467891, ay,3.401826, az,9.423953
41:14.4,1.42111E+12,AAA, ax,-0.88705534, ay,3.284021, az,9.426797
41:14.4,1.42111E+12,AAA, ax,-0.780477, ay,3.2269895, az,9.39147
41:14.4,1.42111E+12,AAA, ax,-0.7066805, ay,3.2793806, az,9.368568
41:14.5,1.42111E+12,AAA, ax,-0.8000862, ay,3.1927106, az,9.4176655
41:14.5,1.42111E+12,AAA, ax,-0.8418494, ay,3.1717544, az,9.505234
41:14.5,1.42111E+12,AAA, ax,-0.66162413, ay,3.1066396, az,9.474997
41:14.5,1.42111E+12,AAA, ax,-0.6234535, ay,3.0936167, az,9.327553
41:14.5,1.42111E+12,AAA, ax,-0.83915496, ay,3.201692, az,9.48802
41:14.6,1.42111E+12,AAA, ax,-0.84065187, ay,3.080145, az,9.404044
41:14.6,1.42111E+12,AAA, ax,-0.56208116, ay,3.1633718, az,9.382789
41:14.6,1.42111E+12,AAA, ax,-0.7020401, ay,3.0789473, az,9.348061
41:14.7,1.42111E+12,AAA, ax,-0.8044272, ay,3.2588732, az,9.202264
41:14.7,1.42111E+12,AAA, ax,-0.757874, ay,3.2198043, az,9.447903
41:14.7,1.42111E+12,AAA, ax,-0.8457413, ay,3.1997461, az,9.547895
41:14.7,1.42111E+12,AAA, ax,-0.7298822, ay,3.1500494, az,9.402248
41:14.7,1.42111E+12,AAA, ax,-0.6328839, ay,3.1615756, az,9.433383
41:14.7,1.42111E+12,AAA, ax,-0.6601273, ay,3.3114138, az,9.484278
41:14.8,1.42111E+12,AAA, ax,-0.8216414, ay,3.2259417, az,9.45883
41:14.8,1.42111E+12,AAA, ax,-0.7734416, ay,3.2635136, az,9.503139
41:14.8,1.42111E+12,AAA, ax,-0.760269, ay,3.2311807, az,9.496252
41:14.8,1.42111E+12,AAA, ax,-0.7390132, ay,3.179089, az,9.484427
41:14.8,1.42111E+12,AAA, ax,-0.916544, ay,3.2126193, az,9.456136
41:14.8,1.42111E+12,AAA, ax,-0.80502594, ay,3.1621742, az,9.417366
41:14.9,1.42111E+12,AAA, ax,-0.7258406, ay,3.1844778, az,9.364227
41:14.9,1.42111E+12,AAA, ax,-0.64006895, ay,3.2437546, az,9.360186
41:14.9,1.42111E+12,AAA, ax,-0.6676117, ay,3.1260993, az,9.388776
41:14.9,1.42111E+12,AAA, ax,-0.7958949, ay,3.1311886, az,9.408385
41:14.9,1.42111E+12,AAA, ax,-0.558788, ay,3.0774505, az,9.48308
41:15.0,1.42111E+12,AAA, ax,-0.6514453, ay,3.1168184, az,9.461824
41:15.0,1.42111E+12,AAA, ax,-0.54980665, ay,3.0380824, az,9.36782
41:15.0,1.42111E+12,AAA, ax,-0.54606444, ay,2.9177325, az,9.307944
41:15.0,1.42111E+12,AAA, ax,-0.5786966, ay,2.9120443, az,9.581276
41:15.0,1.42111E+12,AAA, ax,-0.52061737, ay,2.9813502, az,9.485175
41:15.1,1.42111E+12,AAA, ax,-0.552052, ay,2.9268637, az,9.508527
41:15.1,1.42111E+12,AAA, ax,-0.64066774, ay,3.0008097, az,9.70432
41:15.1,1.42111E+12,AAA, ax,-0.8569679, ay,3.2064822, az,9.835148
41:15.1,1.42111E+12,AAA, ax,-0.9092093, ay,3.30857, az,9.587862
41:15.2,1.42111E+12,AAA, ax,-1.1472144, ay,3.4986744, az,9.422456
41:15.2,1.42111E+12,AAA, ax,-1.2346326, ay,3.5241215, az,9.209599
41:15.2,1.42111E+12,AAA, ax,-1.096919, ay,3.650309, az,9.144633
41:15.2,1.42111E+12,AAA, ax,-1.3675561, ay,3.771557, az,9.169782
41:15.2,1.42111E+12,AAA, ax,-1.6202307, ay,3.757187, az,9.371712
41:15.2,1.42111E+12,AAA, ax,-1.5099101, ay,3.6663258, az,9.218131
41:15.3,1.42111E+12,AAA, ax,-1.1925701, ay,3.540288, az,9.143436
41:15.3,1.42111E+12,AAA, ax,-1.3057348, ay,3.5708244, az,9.332044
41:15.3,1.42111E+12,AAA, ax,-1.1916718, ay,3.4037719, az,9.364826
41:15.3,1.42111E+12,AAA, ax,-1.0888357, ay,3.5024166, az,9.28594
41:15.4,1.42111E+12,AAA, ax,-1.1846366, ay,3.6545005, az,9.406439
41:15.4,1.42111E+12,AAA, ax,-1.2180171, ay,3.7749999, az,9.19448
41:15.4,1.42111E+12,AAA, ax,-1.2180171, ay,3.608995, az,9.2625885
41:15.4,1.42111E+12,AAA, ax,-1.2172687, ay,3.9276824, az,8.124954
41:15.4,1.42111E+12,AAA, ax,-1.3262421, ay,3.720513, az,9.580228
41:15.4,1.42111E+12,AAA, ax,-1.2674145, ay,3.2528856, az,9.430988
41:15.5,1.42111E+12,AAA, ax,-1.5769707, ay,3.7589831, az,9.32905
