41:13.1,1.42111E+12,GGG,gx,0.06821394, gy,0.03410684, gz,0.071411334
41:13.2,1.42111E+12,GGG,gx,0.024514131, gy,0.015987223, gz,0.06714814
41:13.2,1.42111E+12,GGG,gx,-0.008526909, gy,0.007460579, gz,0.06821394
41:13.2,1.42111E+12,GGG,gx,0.03304104, gy,0.007460579, gz,0.046897203
41:13.2,1.42111E+12,GGG,gx,0.046897203, gy,0.002131594, gz,0.050094593
41:13.2,1.42111E+12,GGG,gx,-0.007461112, gy,0.005328985, gz,0.07247766
41:13.3,1.42111E+12,GGG,gx,-0.029844182, gy,-0.013856427, gz,0.09272861
41:13.3,1.42111E+12,GGG,gx,-0.002132127, gy,-0.04263428, gz,0.07993824
41:13.3,1.42111E+12,GGG,gx,0.030909447, gy,-0.014922224, gz,0.03304104
41:13.3,1.42111E+12,GGG,gx,0.038370293, gy,-0.011724833, gz,0.030909447
41:13.3,1.42111E+12,GGG,gx,0.011724034, gy,-0.033041574, gz,0.050094593
41:13.4,1.42111E+12,GGG,gx,0.001065797, gy,-0.025580462, gz,0.047962997
41:13.4,1.42111E+12,GGG,gx,0.038370293, gy,-0.013856427, gz,0.019185146
41:13.4,1.42111E+12,GGG,gx,0.045831405, gy,-0.03837109, gz,0.029843649
41:13.4,1.42111E+12,GGG,gx,0.052226186, gy,-0.049029328, gz,0.040501885
41:13.4,1.42111E+12,GGG,gx,0.09166281, gy,0.007460579, gz,0.026645726
41:13.5,1.42111E+12,GGG,gx,0.088465154, gy,-0.00106633, gz,0.038370293
41:13.5,1.42111E+12,GGG,gx,0.049028795, gy,-0.04476614, gz,0.050094593
41:13.5,1.42111E+12,GGG,gx,0.050094593, gy,-0.029844182, gz,0.03943609
41:13.5,1.42111E+12,GGG,gx,0.056489907, gy,-0.023448868, gz,0.058621503
41:13.5,1.42111E+12,GGG,gx,0.022382537, gy,-0.041568484, gz,0.0948602
41:13.6,1.42111E+12,GGG,gx,0.019185146, gy,-0.033041574, gz,0.09272861
41:13.6,1.42111E+12,GGG,gx,0.046897203, gy,-0.017053818, gz,0.059687298
41:13.6,1.42111E+12,GGG,gx,0.054358315, gy,-0.024514664, gz,0.02131674
41:13.6,1.42111E+12,GGG,gx,0.022382537, gy,-0.03090998, gz,0.014921425
41:13.6,1.42111E+12,GGG,gx,0.015987223, gy,-0.006395315, gz,-0.006395315
41:13.7,1.42111E+12,GGG,gx,0.028777853, gy,-0.019185679, gz,-0.014922224
41:13.7,1.42111E+12,GGG,gx,0.023448335, gy,-0.024514664, gz,-0.033041574
41:13.7,1.42111E+12,GGG,gx,0.00959244, gy,-0.01811988, gz,-0.021317273
41:13.7,1.42111E+12,GGG,gx,-0.019185679, gy,-0.034107372, gz,0.020250943
41:13.7,1.42111E+12,GGG,gx,-0.01279063, gy,-0.02238307, gz,0.019185146
41:13.8,1.42111E+12,GGG,gx,-0.011724833, gy,-0.009593239, gz,-0.005329518
41:13.8,1.42111E+12,GGG,gx,0, gy,0.011724034, gz,-0.020251475
41:13.8,1.42111E+12,GGG,gx,-0.017053818, gy,0.01705302, gz,-0.006395315
41:13.8,1.42111E+12,GGG,gx,-0.040502686, gy,-0.004263721, gz,0.002131594
41:13.8,1.42111E+12,GGG,gx,-0.04263428, gy,-0.029844182, gz,0.012789832
41:13.9,1.42111E+12,GGG,gx,-0.037305295, gy,-0.06608315, gz,0.044765607
41:13.9,1.42111E+12,GGG,gx,-0.00106633, gy,-0.004263721, gz,0.024514131
41:13.9,1.42111E+12,GGG,gx,0.044765607, gy,0.04369928, gz,0.007460579
41:13.9,1.42111E+12,GGG,gx,-0.009593239, gy,-0.017053818, gz,0.03410684
