time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421106074489,17:41:14.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345,0.310,0.007,,
1421106074501,17:41:14.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.310,0.002,,
1421106074507,17:41:14.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345,0.501,0.198,,
1421106074511,17:41:14.511,0.0,1.7,9.8,0.0,0.0,0.0,1.5,0.0,0.521,0.853,0.227,,
1421106074524,17:41:14.522,1.6,33.5,0.0,0.0,0.0,1.6,1.5,0.0,0.516,0.789,0.134,,
1421106074537,17:41:14.532,1.6,1.7,33.3,1.5,1.4,1.6,1.5,1.5,0.442,0.789,0.130,,
1421106074544,17:41:14.543,0.0,1.7,34.9,1.5,1.4,0.0,1.5,0.0,0.511,0.863,0.188,,
1421106074560,17:41:14.556,3.3,1.7,33.3,1.5,1.4,0.0,1.5,0.0,0.491,0.853,0.115,,
1421106074591,17:41:14.591,4.9,1.7,33.3,1.5,1.4,0.0,1.5,0.0,0.516,0.858,0.193,,
1421106074601,17:41:14.601,3.3,13.9,33.3,1.5,1.4,0.0,0.0,0.0,0.447,0.784,0.134,,
1421106074607,17:41:14.607,3.3,1.7,33.3,1.5,1.4,0.0,0.0,1.5,0.447,0.784,0.130,,
1421106074612,17:41:14.612,3.3,1.7,34.9,1.5,1.4,0.0,0.0,0.0,0.452,0.784,0.139,,
1421106074618,17:41:14.618,0.0,1.7,31.6,10.6,1.4,0.0,0.0,0.0,0.447,0.780,0.134,,
1421106074624,17:41:14.624,6.6,1.7,33.3,0.0,0.0,0.0,7.6,0.0,0.511,0.853,0.178,,
1421106074628,17:41:14.628,4.9,1.7,33.3,1.5,1.4,0.0,1.5,0.0,0.491,0.853,0.169,,
1421106074631,17:41:14.631,4.9,3.5,33.3,1.5,1.4,0.0,0.0,0.0,0.638,0.853,0.261,,
1421106074637,17:41:14.637,3.3,1.7,31.6,0.0,0.0,0.0,6.0,1.5,0.335,0.301,0.002,,
1421106074641,17:41:14.640,3.3,1.7,25.2,1.5,1.4,1.6,6.0,6.2,0.345,0.330,0.002,,
1421106074644,17:41:14.644,3.3,1.7,31.6,0.0,0.0,0.0,6.0,1.5,0.325,0.305,-0.002,,
1421106074653,17:41:14.652,3.3,1.7,31.6,0.0,0.0,0.0,6.0,1.5,0.340,0.305,0.002,,
1421106074657,17:41:14.656,3.3,1.7,33.3,0.0,0.0,0.0,6.0,1.5,0.330,0.305,-0.007,,
