time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421106746447,17:52:26.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.503,-1.430,-1.347,,
1421106746458,17:52:26.457,0.0,0.0,0.0,0.0,0.0,1.6,1.7,0.0,-1.503,-1.425,-1.347,,
1421106746467,17:52:26.467,0.0,0.0,5.1,0.0,0.0,0.0,0.0,1.6,-1.503,-1.425,-1.347,,
1421106746472,17:52:26.472,0.0,1.7,1.7,4.6,0.0,3.3,0.0,0.0,-1.503,-1.425,-1.347,,
1421106746478,17:52:26.478,1.6,1.7,3.4,4.6,3.4,0.0,3.4,1.6,-1.503,-1.430,-1.351,,
1421106746484,17:52:26.483,1.6,0.0,3.4,4.6,1.7,0.0,1.7,1.6,-1.503,-1.430,-1.351,,
1421106746492,17:52:26.492,1.6,1.7,1.7,3.1,0.0,1.6,1.7,3.2,-1.503,-1.430,-1.351,,
1421106746507,17:52:26.507,1.6,3.5,1.7,4.6,0.0,1.6,1.7,0.0,-1.508,-1.430,-1.351,,
1421106746519,17:52:26.519,3.2,6.9,3.4,3.1,5.1,0.0,1.7,1.6,-1.508,-1.430,-1.351,,
1421106746525,17:52:26.525,3.2,5.2,1.7,4.6,1.7,0.0,1.7,3.2,-1.503,-1.430,-1.351,,
1421106746533,17:52:26.531,3.2,5.2,1.7,3.1,6.8,1.6,5.1,1.6,-1.503,-1.430,-1.351,,
1421106746551,17:52:26.550,4.8,5.2,1.7,3.1,10.2,3.2,3.4,3.2,-1.503,-1.430,-1.351,,
1421106746555,17:52:26.555,3.2,5.2,1.7,4.6,0.0,0.0,1.7,1.6,-1.503,-1.430,-1.351,,
1421106746558,17:52:26.557,6.4,6.9,3.4,3.1,1.7,1.6,1.7,3.2,-1.503,-1.425,-1.347,,
1421106746560,17:52:26.560,3.2,5.2,1.7,6.1,1.7,0.0,1.7,3.2,-1.503,-1.430,-1.351,,
1421106746564,17:52:26.563,4.8,5.2,1.7,3.1,0.0,0.0,0.0,3.2,-1.503,-1.425,-1.347,,
1421106746572,17:52:26.569,3.2,10.4,1.7,4.6,3.4,0.0,1.7,3.2,-1.513,-1.420,-1.347,,
1421106746580,17:52:26.579,3.2,3.5,3.4,4.6,1.7,0.0,0.0,3.2,-1.503,-1.430,-1.347,,
1421106746584,17:52:26.583,8.0,1.7,1.7,4.6,5.0,0.0,0.0,0.0,-1.503,-1.459,-1.351,,
1421106746590,17:52:26.590,3.2,6.9,1.7,6.1,3.4,0.0,0.0,3.2,-1.503,-1.425,-1.347,,
1421106746597,17:52:26.596,3.2,5.2,1.7,3.1,1.7,0.0,1.7,1.6,-1.503,-1.425,-1.347,,
1421106746601,17:52:26.601,3.2,3.5,3.4,4.6,3.4,0.0,0.0,6.4,-1.503,-1.425,-1.347,,
1421106746605,17:52:26.605,3.2,3.5,5.1,4.6,3.4,0.0,0.0,3.2,-1.508,-1.425,-1.351,,
1421106746610,17:52:26.610,3.2,3.5,1.7,3.1,1.7,0.0,0.0,1.6,-1.508,-1.430,-1.347,,
1421106746622,17:52:26.622,3.2,5.2,1.7,4.6,3.4,0.0,1.7,3.2,-1.498,-1.425,-1.347,,
1421106746636,17:52:26.635,12.9,0.0,1.7,6.1,3.4,0.0,0.0,3.2,-1.508,-1.425,-1.347,,
1421106746642,17:52:26.641,1.6,8.6,1.7,0.0,3.4,0.0,0.0,0.0,-1.503,-1.430,-1.351,,
1421106746651,17:52:26.651,1.6,5.2,1.7,4.6,5.0,1.6,0.0,1.6,-1.508,-1.430,-1.351,,
1421106746671,17:52:26.664,3.2,5.2,1.7,4.6,1.7,1.6,1.7,1.6,-1.508,-1.430,-1.351,,
1421106746676,17:52:26.675,1.6,5.2,1.7,6.1,0.0,0.0,1.7,1.6,-1.508,-1.430,-1.351,,
1421106746678,17:52:26.678,1.6,5.2,1.7,1.5,1.7,0.0,0.0,0.0,-1.503,-1.430,-1.351,,
1421106746683,17:52:26.681,4.8,3.4,1.7,3.1,1.7,0.0,5.0,3.2,-1.503,-1.430,-1.351,,
1421106746690,17:52:26.690,1.6,5.2,1.7,4.6,1.7,3.2,3.4,1.6,-1.508,-1.430,-1.351,,
1421106746693,17:52:26.693,1.6,5.2,1.7,4.6,1.7,1.6,3.4,3.2,-1.503,-1.430,-1.351,,
1421106746695,17:52:26.695,1.6,3.4,1.7,4.6,1.7,3.2,5.0,1.6,-1.508,-1.366,-1.347,,
1421106746698,17:52:26.698,1.6,5.2,1.7,3.1,1.7,1.6,5.0,3.2,-1.503,-1.430,-1.351,,
1421106746702,17:52:26.701,1.6,5.2,1.7,4.6,1.7,3.2,5.0,0.0,-1.508,-1.430,-1.351,,
1421106746705,17:52:26.705,1.6,5.2,0.0,3.1,1.7,1.6,5.0,3.2,-1.498,-1.425,-1.351,,
1421106746712,17:52:26.711,1.6,3.4,10.1,4.6,1.7,1.6,5.0,1.6,-1.503,-1.425,-1.347,,
1421106746715,17:52:26.714,1.6,5.2,10.1,4.6,1.7,3.2,6.7,3.2,-1.503,-1.420,-1.351,,
1421106746721,17:52:26.721,3.2,5.2,10.1,4.6,1.7,1.6,3.4,3.2,-1.503,-1.425,-1.366,,
1421106746731,17:52:26.729,1.6,3.4,10.1,4.6,3.4,1.6,5.0,4.8,-1.503,-1.425,-1.347,,
1421106746739,17:52:26.738,1.6,3.4,10.1,4.6,1.7,3.2,5.0,0.0,-1.503,-1.425,-1.347,,
1421106746744,17:52:26.743,1.6,3.4,11.8,4.6,0.0,3.2,5.0,4.8,-1.503,-1.425,-1.347,,
1421106746748,17:52:26.747,1.6,5.2,10.1,3.1,1.7,1.6,5.0,1.6,-1.503,-1.425,-1.347,,
1421106746756,17:52:26.756,3.2,5.2,10.1,4.6,1.7,3.2,3.4,0.0,-1.493,-1.425,-1.347,,
1421106746761,17:52:26.761,3.2,3.4,10.1,4.6,1.7,3.2,6.7,0.0,-1.503,-1.405,-1.347,,
1421106746767,17:52:26.767,0.0,5.2,8.4,4.6,1.7,3.2,5.0,0.0,-1.503,-1.439,-1.347,,
1421106746773,17:52:26.772,1.6,3.4,10.1,4.6,0.0,3.2,3.4,3.2,-1.503,-1.425,-1.337,,
1421106746780,17:52:26.780,1.6,3.4,10.1,3.1,0.0,1.6,5.0,3.2,-1.503,-1.425,-1.347,,
1421106746789,17:52:26.789,3.2,3.4,10.1,3.1,1.7,3.2,5.0,3.2,-1.503,-1.425,-1.347,,
1421106746793,17:52:26.792,1.6,3.4,8.4,4.6,1.7,1.6,6.7,1.6,-1.503,-1.430,-1.347,,
1421106746795,17:52:26.795,1.6,6.9,10.1,4.6,0.0,3.2,5.0,3.2,-1.503,-1.430,-1.351,,
1421106746798,17:52:26.798,0.0,15.6,8.4,6.1,1.7,3.2,0.0,1.6,-1.503,-1.430,-1.351,,
1421106746803,17:52:26.803,1.6,3.4,10.1,1.5,0.0,1.6,5.0,3.2,-1.503,-1.430,-1.366,,
1421106746806,17:52:26.806,1.6,3.4,10.1,4.6,1.7,1.6,6.7,3.2,-1.503,-1.430,-1.351,,
1421106746809,17:52:26.809,1.6,3.4,10.1,4.6,0.0,1.6,5.0,4.8,-1.503,-1.430,-1.351,,
1421106746812,17:52:26.812,1.6,3.4,8.4,4.6,1.7,4.9,6.7,1.6,-1.503,-1.430,-1.351,,
1421106746814,17:52:26.814,1.6,3.4,10.1,4.6,1.7,1.6,6.7,1.6,-1.508,-1.425,-1.351,,
1421106746817,17:52:26.817,1.6,5.2,8.4,4.6,1.7,1.6,8.4,3.2,-1.503,-1.430,-1.351,,
1421106746821,17:52:26.820,1.6,3.4,10.1,4.6,0.0,1.6,0.0,3.2,-1.503,-1.430,-1.347,,
1421106746825,17:52:26.825,1.6,1.7,10.1,6.1,3.4,1.6,10.0,3.2,-1.503,-1.430,-1.351,,
1421106746828,17:52:26.828,1.6,3.4,10.1,4.6,3.4,3.2,10.0,1.6,-1.503,-1.425,-1.347,,
1421106746832,17:52:26.832,1.6,3.4,8.4,4.6,0.0,1.6,10.0,3.2,-1.503,-1.430,-1.347,,
1421106746835,17:52:26.834,1.6,5.2,8.4,4.6,5.0,1.6,10.0,3.2,-1.503,-1.439,-1.347,,
1421106746838,17:52:26.837,1.6,1.7,10.1,3.1,3.3,1.6,10.0,3.2,-1.498,-1.410,-1.347,,
1421106746843,17:52:26.843,1.6,3.4,10.1,4.6,3.3,1.6,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746846,17:52:26.846,1.6,5.2,10.1,3.1,5.0,1.6,10.0,3.2,-1.503,-1.435,-1.347,,
1421106746848,17:52:26.848,1.6,6.9,8.4,1.5,3.3,1.6,10.0,1.6,-1.503,-1.425,-1.347,,
1421106746853,17:52:26.851,1.6,5.2,10.1,3.1,5.0,4.9,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746856,17:52:26.856,1.6,0.0,10.1,3.1,3.3,1.6,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746859,17:52:26.859,1.6,3.4,10.1,4.6,5.0,1.6,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746861,17:52:26.861,0.0,3.4,6.7,3.1,6.7,1.6,10.0,1.6,-1.503,-1.425,-1.347,,
1421106746864,17:52:26.864,0.0,3.4,15.2,3.1,1.7,1.6,18.5,4.8,-1.508,-1.430,-1.356,,
1421106746870,17:52:26.869,0.0,3.4,10.1,4.6,3.3,3.2,8.3,1.6,-1.503,-1.430,-1.351,,
1421106746873,17:52:26.873,1.6,3.4,6.7,3.1,10.1,6.5,10.0,1.6,-1.503,-1.430,-1.351,,
1421106746880,17:52:26.876,3.2,3.4,8.4,3.1,3.3,1.6,10.0,3.2,-1.503,-1.430,-1.351,,
1421106746882,17:52:26.882,1.6,3.4,10.1,4.6,3.3,1.6,10.0,3.2,-1.503,-1.430,-1.351,,
1421106746889,17:52:26.889,0.0,3.4,10.1,4.6,5.0,1.6,8.3,1.6,-1.508,-1.430,-1.351,,
1421106746897,17:52:26.897,1.6,3.4,8.4,12.3,8.4,1.6,8.3,0.0,-1.508,-1.430,-1.347,,
1421106746902,17:52:26.901,1.6,3.4,8.4,4.6,5.0,0.0,10.0,3.2,-1.503,-1.430,-1.351,,
1421106746924,17:52:26.923,0.0,6.9,10.1,4.6,5.0,1.6,8.3,3.2,-1.503,-1.430,-1.351,,
1421106746928,17:52:26.928,1.6,3.4,8.4,4.6,3.3,1.6,10.0,3.2,-1.503,-1.430,-1.351,,
1421106746932,17:52:26.932,1.6,3.4,8.4,4.6,3.3,1.6,8.3,1.6,-1.508,-1.430,-1.351,,
1421106746936,17:52:26.936,1.6,3.4,10.1,3.1,3.3,1.6,10.0,1.6,-1.503,-1.430,-1.351,,
1421106746938,17:52:26.938,1.6,0.0,13.5,4.6,3.3,0.0,10.0,4.8,-1.503,-1.425,-1.347,,
1421106746941,17:52:26.941,0.0,3.4,8.4,7.7,1.7,1.6,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746943,17:52:26.943,3.2,3.4,11.8,1.5,3.3,1.6,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746945,17:52:26.945,1.6,3.4,8.4,3.1,5.0,1.6,10.0,1.6,-1.503,-1.425,-1.347,,
1421106746948,17:52:26.948,0.0,5.2,10.1,3.1,10.1,1.6,10.0,4.8,-1.503,-1.425,-1.347,,
1421106746951,17:52:26.951,1.6,3.4,8.4,6.1,5.0,1.6,10.0,0.0,-1.503,-1.425,-1.361,,
1421106746955,17:52:26.955,0.0,5.2,8.4,4.6,3.3,1.6,8.3,3.2,-1.503,-1.430,-1.347,,
1421106746958,17:52:26.958,1.6,1.7,6.7,4.6,1.7,1.6,8.3,8.0,-1.503,-1.425,-1.347,,
1421106746961,17:52:26.961,0.0,3.4,8.4,6.1,3.3,3.2,8.3,3.2,-1.503,-1.425,-1.342,,
1421106746966,17:52:26.966,0.0,3.4,3.4,4.6,3.3,1.6,8.3,3.2,-1.503,-1.425,-1.347,,
1421106746968,17:52:26.968,4.8,1.7,10.1,4.6,1.7,1.6,8.3,3.2,-1.503,-1.425,-1.347,,
1421106746972,17:52:26.971,0.0,1.7,10.1,4.6,5.0,1.6,10.0,3.2,-1.503,-1.425,-1.347,,
1421106746974,17:52:26.974,0.0,1.7,8.4,4.6,3.3,1.6,10.0,3.2,-1.503,-1.430,-1.347,,
1421106746979,17:52:26.977,9.6,1.7,10.1,1.5,0.0,1.6,0.0,0.0,-1.508,-1.435,-1.342,,
1421106746982,17:52:26.981,0.0,0.0,11.8,10.7,15.1,1.6,25.1,1.6,-1.503,-1.430,-1.351,,
1421106746984,17:52:26.984,4.8,0.0,16.9,3.1,1.7,0.0,15.0,3.2,-1.503,-1.425,-1.327,,
1421106746986,17:52:26.986,4.8,23.6,8.4,4.6,21.9,6.5,16.6,6.4,-1.498,-1.425,-1.327,,
1421106746988,17:52:26.988,4.8,27.1,1.7,4.6,5.0,3.2,20.0,11.2,-1.503,-1.420,-1.366,,
1421106746991,17:52:26.991,0.0,20.2,1.7,4.6,10.0,1.6,15.0,4.8,-1.493,-1.449,-1.342,,
1421106746993,17:52:26.993,6.4,35.8,8.4,9.2,8.3,0.0,21.7,4.8,-1.469,-1.425,-1.351,,
1421106746996,17:52:26.996,9.6,23.6,3.4,4.6,5.0,6.4,16.6,3.2,-1.493,-1.444,-1.342,,
