50:15.4,1.42172E+12,AAA, ax,-1.104104, ay,3.9788759, az,9.012609
50:15.4,1.42172E+12,AAA, ax,-1.0503658, ay,3.9465432, az,8.937315
50:15.4,1.42172E+12,AAA, ax,-1.0892848, ay,4.162095, az,8.738229
50:15.4,1.42172E+12,AAA, ax,-1.0991642, ay,4.2519083, az,8.847801
50:15.4,1.42172E+12,AAA, ax,-1.2201128, ay,4.1921825, az,9.008118
50:15.5,1.42172E+12,AAA, ax,-1.1418256, ay,4.3349853, az,9.068892
50:15.5,1.42172E+12,AAA, ax,-1.1505075, ay,4.3084903, az,9.180409
50:15.5,1.42172E+12,AAA, ax,-1.1572435, ay,4.3498044, az,9.31468
50:15.5,1.42172E+12,AAA, ax,-1.1630814, ay,4.214785, az,9.396111
50:15.5,1.42172E+12,AAA, ax,-1.069975, ay,4.2174797, az,9.257499
50:15.6,1.42172E+12,AAA, ax,-1.2304413, ay,4.086053, az,8.898096
50:15.6,1.42172E+12,AAA, ax,-1.1091934, ay,4.170178, az,8.664283
50:15.6,1.42172E+12,AAA, ax,-1.0840458, ay,4.0685396, az,8.62716
50:15.6,1.42172E+12,AAA, ax,-1.1440709, ay,4.061354, az,8.75679
50:15.6,1.42172E+12,AAA, ax,-0.99977094, ay,4.2513094, az,8.82415
50:15.7,1.42172E+12,AAA, ax,-1.041085, ay,4.1031175, az,8.957373
50:15.7,1.42172E+12,AAA, ax,-1.0912308, ay,4.19338, az,9.031918
50:15.7,1.42172E+12,AAA, ax,-1.0479708, ay,4.103417, az,9.089099
50:15.7,1.42172E+12,AAA, ax,-0.99303496, ay,4.0805144, az,9.2046585
50:15.7,1.42172E+12,AAA, ax,-1.0562036, ay,4.101471, az,8.910521
50:15.8,1.42172E+12,AAA, ax,-1.0407857, ay,4.17886, az,8.830586
50:15.8,1.42172E+12,AAA, ax,-1.1207194, ay,4.2602906, az,8.85783
50:15.8,1.42172E+12,AAA, ax,-1.2513977, ay,4.2790017, az,9.020243
50:15.8,1.42172E+12,AAA, ax,-1.0479708, ay,4.3372307, az,9.190887
50:15.8,1.42172E+12,AAA, ax,-1.2862751, ay,4.3084903, az,9.147179
50:15.9,1.42172E+12,AAA, ax,-1.2509487, ay,4.075575, az,9.075927
50:15.9,1.42172E+12,AAA, ax,-1.2323872, ay,4.2507105, az,8.67012
50:15.9,1.42172E+12,AAA, ax,-1.1770024, ay,4.1309595, az,9.008417
50:15.9,1.42172E+12,AAA, ax,-1.2711567, ay,4.040697, az,9.126072
50:15.9,1.42172E+12,AAA, ax,-1.2015513, ay,4.0863523, az,9.220975
50:16.0,1.42172E+12,AAA, ax,-1.0849439, ay,4.2104445, az,9.021889
50:16.0,1.42172E+12,AAA, ax,-1.1400293, ay,4.272266, az,8.995094
50:16.0,1.42172E+12,AAA, ax,-1.1166779, ay,4.2022114, az,8.871601
50:16.0,1.42172E+12,AAA, ax,-1.1470647, ay,4.2939706, az,8.94929
50:16.1,1.42172E+12,AAA, ax,-1.3141173, ay,4.3637257, az,8.915909
50:16.1,1.42172E+12,AAA, ax,-1.1768527, ay,4.312981, az,9.125025
50:16.1,1.42172E+12,AAA, ax,-1.1796968, ay,4.2656794, az,9.129215
50:16.1,1.42172E+12,AAA, ax,-1.1026071, ay,4.2008643, az,9.140442
50:16.1,1.42172E+12,AAA, ax,-1.0891352, ay,4.175417, az,9.085656
50:16.1,1.42172E+12,AAA, ax,-0.9951306, ay,4.0501275, az,9.166039
50:16.2,1.42172E+12,AAA, ax,-1.0330019, ay,4.045038, az,9.066196
50:16.2,1.42172E+12,AAA, ax,-1.1365864, ay,4.1959248, az,8.94435
50:16.2,1.42172E+12,AAA, ax,-0.9952803, ay,4.2782536, az,8.899144
50:16.2,1.42172E+12,AAA, ax,-1.1395802, ay,4.266428, az,8.933573
50:16.2,1.42172E+12,AAA, ax,-1.0891352, ay,4.0902443, az,9.070987
50:16.3,1.42172E+12,AAA, ax,-1.0303074, ay,4.15955, az,9.028027
50:16.3,1.42172E+12,AAA, ax,-1.052162, ay,4.142186, az,9.113349
50:16.3,1.42172E+12,AAA, ax,-1.1597883, ay,4.1833506, az,9.018596
50:16.3,1.42172E+12,AAA, ax,-1.2148737, ay,4.0926394, az,9.128168
50:16.3,1.42172E+12,AAA, ax,-1.2316388, ay,4.292324, az,9.200467
50:16.4,1.42172E+12,AAA, ax,-1.2419673, ay,4.233197, az,9.109457
50:16.4,1.42172E+12,AAA, ax,-1.2037967, ay,4.282744, az,8.8702545
50:16.4,1.42172E+12,AAA, ax,-1.2768447, ay,4.2459207, az,9.094189
50:16.4,1.42172E+12,AAA, ax,-1.3422588, ay,4.400399, az,9.350006
50:16.4,1.42172E+12,AAA, ax,-1.1542497, ay,4.221072, az,9.1869955
50:16.5,1.42172E+12,AAA, ax,-1.1780503, ay,4.1366477, az,9.034463
50:16.5,1.42172E+12,AAA, ax,-1.2237053, ay,4.109704, az,9.049881
50:16.5,1.42172E+12,AAA, ax,-1.1109897, ay,4.059109, az,9.080418
50:16.5,1.42172E+12,AAA, ax,-1.1940669, ay,4.1222777, az,9.102122
50:16.5,1.42172E+12,AAA, ax,-1.2546909, ay,4.036506, az,9.105865
50:16.6,1.42172E+12,AAA, ax,-1.2502002, ay,4.0679407, az,9.032217
50:16.6,1.42172E+12,AAA, ax,-1.1557466, ay,4.0218368, az,8.966504
50:16.6,1.42172E+12,AAA, ax,-1.1422746, ay,4.2915754, az,9.027278
50:16.6,1.42172E+12,AAA, ax,-1.2145743, ay,4.149371, az,9.132509
50:16.6,1.42172E+12,AAA, ax,-1.2033477, ay,4.2376876, az,9.077273
