time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421715021107,18:50:21.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.435,-1.469,-1.488,,
1421715021122,18:50:21.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.435,-1.469,-1.488,,
1421715021133,18:50:21.133,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430,-1.469,-1.488,,
1421715021153,18:50:21.153,0.0,6.9,0.0,0.0,0.0,0.0,0.0,4.9,-1.435,-1.469,-1.488,,
1421715021160,18:50:21.160,0.0,6.9,1.7,1.6,3.3,0.0,0.0,4.9,-1.430,-1.469,-1.488,,
1421715021168,18:50:21.168,0.0,6.9,0.0,0.0,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021173,18:50:21.172,3.1,6.9,1.7,3.1,0.0,10.9,1.7,6.5,-1.425,-1.469,-1.488,,
1421715021186,18:50:21.186,1.6,8.6,0.0,0.0,0.0,10.9,1.7,4.9,-1.430,-1.478,-1.488,,
1421715021196,18:50:21.196,1.6,8.6,0.0,0.0,0.0,10.9,1.7,4.9,-1.430,-1.469,-1.488,,
1421715021202,18:50:21.201,1.6,8.6,0.0,0.0,0.0,10.9,1.7,8.1,-1.430,-1.469,-1.488,,
1421715021208,18:50:21.208,1.6,6.9,0.0,0.0,0.0,10.9,3.4,3.2,-1.430,-1.469,-1.488,,
1421715021211,18:50:21.211,1.6,6.9,0.0,0.0,0.0,10.9,1.7,6.5,-1.425,-1.469,-1.488,,
1421715021229,18:50:21.229,1.6,6.9,0.0,0.0,0.0,10.9,0.0,4.9,-1.430,-1.469,-1.488,,
1421715021232,18:50:21.232,1.6,6.9,5.0,0.0,1.6,9.3,1.7,4.9,-1.430,-1.469,-1.483,,
1421715021236,18:50:21.236,0.0,6.9,5.0,1.6,0.0,9.3,1.7,6.5,-1.435,-1.469,-1.488,,
1421715021240,18:50:21.239,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.430,-1.469,-1.488,,
1421715021243,18:50:21.243,4.7,6.9,5.0,1.6,0.0,10.9,1.7,4.9,-1.430,-1.469,-1.483,,
1421715021246,18:50:21.246,4.7,6.9,5.0,1.6,3.3,4.6,1.7,4.9,-1.430,-1.469,-1.483,,
1421715021249,18:50:21.249,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021255,18:50:21.255,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021258,18:50:21.258,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021261,18:50:21.261,4.7,6.9,5.0,1.6,0.0,9.3,0.0,4.9,-1.425,-1.469,-1.483,,
1421715021268,18:50:21.266,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021275,18:50:21.275,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021281,18:50:21.281,4.7,6.9,6.6,0.0,1.6,10.9,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021287,18:50:21.286,4.7,6.9,5.0,1.6,0.0,6.2,3.4,4.9,-1.435,-1.464,-1.488,,
1421715021293,18:50:21.292,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021297,18:50:21.296,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021299,18:50:21.299,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021310,18:50:21.310,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021313,18:50:21.313,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.430,-1.469,-1.488,,
1421715021316,18:50:21.315,4.7,1.7,5.0,3.1,1.6,10.9,1.7,4.9,-1.435,-1.469,-1.488,,
1421715021318,18:50:21.318,4.7,6.9,5.0,1.6,0.0,9.3,1.7,4.9,-1.430,-1.469,-1.488,,
1421715021333,18:50:21.333,0.0,6.9,5.0,1.6,0.0,9.3,1.7,3.2,-1.430,-1.469,-1.488,,
1421715021338,18:50:21.338,4.7,6.9,5.0,1.6,0.0,10.9,0.0,4.9,-1.430,-1.469,-1.483,,
1421715021345,18:50:21.345,4.7,6.9,5.0,1.6,0.0,9.3,3.4,4.9,-1.430,-1.459,-1.488,,
1421715021347,18:50:21.347,4.7,6.9,5.0,1.6,1.6,9.3,3.4,9.8,-1.430,-1.469,-1.488,,
