45:15.1,1.42171E+12,AAA, ax,-0.9406439, ay,4.8572493, az,8.936866
45:15.1,1.42171E+12,AAA, ax,-0.9134006, ay,4.8267126, az,8.918903
45:15.1,1.42171E+12,AAA, ax,-0.9451346, ay,4.9527507, az,8.842861
45:15.2,1.42171E+12,AAA, ax,-0.9298663, ay,4.9320936, az,8.747659
45:15.2,1.42171E+12,AAA, ax,-0.80397815, ay,4.763694, az,8.687783
45:15.2,1.42171E+12,AAA, ax,-0.87268525, ay,4.7430367, az,8.618777
45:15.2,1.42171E+12,AAA, ax,-1.0900333, ay,4.9388294, az,8.772358
45:15.2,1.42171E+12,AAA, ax,-1.0023156, ay,4.8493156, az,8.917556
45:15.2,1.42171E+12,AAA, ax,-0.9032217, ay,4.858746, az,8.935219
45:15.3,1.42171E+12,AAA, ax,-0.9086105, ay,4.8062053, az,9.041947
45:15.3,1.42171E+12,AAA, ax,-0.75877213, ay,4.799619, az,8.801996
45:15.3,1.42171E+12,AAA, ax,-0.7072792, ay,4.862189, az,8.679701
45:15.3,1.42171E+12,AAA, ax,-0.6180647, ay,4.907994, az,8.47343
45:15.3,1.42171E+12,AAA, ax,-0.5936655, ay,4.7767167, az,8.448132
45:15.4,1.42171E+12,AAA, ax,-0.6264473, ay,4.929848, az,8.533455
45:15.4,1.42171E+12,AAA, ax,-0.64036834, ay,4.796476, az,8.780591
45:15.4,1.42171E+12,AAA, ax,-0.7949968, ay,4.862189, az,8.853788
45:15.4,1.42171E+12,AAA, ax,-0.8053253, ay,4.944817, az,8.678204
45:15.4,1.42171E+12,AAA, ax,-0.74634796, ay,4.955146, az,8.697663
45:15.5,1.42171E+12,AAA, ax,-0.7056326, ay,4.82821, az,8.556208
45:15.5,1.42171E+12,AAA, ax,-0.712668, ay,4.9003596, az,8.447384
45:15.5,1.42171E+12,AAA, ax,-0.7325766, ay,4.7892904, az,8.629854
45:15.5,1.42171E+12,AAA, ax,-0.7123686, ay,4.905449, az,8.592881
45:15.5,1.42171E+12,AAA, ax,-0.7421567, ay,4.7825546, az,8.6788025
45:15.6,1.42171E+12,AAA, ax,-0.7336244, ay,4.574038, az,8.865614
45:15.6,1.42171E+12,AAA, ax,-0.655936, ay,4.6815147, az,9.059311
45:15.6,1.42171E+12,AAA, ax,-0.72239774, ay,4.8470707, az,8.972342
45:15.6,1.42171E+12,AAA, ax,-0.6870712, ay,4.9127836, az,8.820707
45:15.6,1.42171E+12,AAA, ax,-0.7789801, ay,4.7354026, az,8.672067
45:15.7,1.42171E+12,AAA, ax,-0.68302965, ay,4.832401, az,8.68449
45:15.7,1.42171E+12,AAA, ax,-0.91205335, ay,4.8791037, az,8.726852
45:15.7,1.42171E+12,AAA, ax,-0.88436097, ay,4.894372, az,8.73284
45:15.7,1.42171E+12,AAA, ax,-0.7319778, ay,4.78959, az,8.634046
45:15.8,1.42171E+12,AAA, ax,-0.73601943, ay,4.898713, az,8.7769985
45:15.8,1.42171E+12,AAA, ax,-0.8611592, ay,5.0027466, az,8.94944
45:15.8,1.42171E+12,AAA, ax,-0.755479, ay,4.824168, az,8.996891
45:15.8,1.42171E+12,AAA, ax,-0.78781176, ay,4.8773074, az,8.737929
45:15.8,1.42171E+12,AAA, ax,-0.89229447, ay,4.9385304, az,8.647517
45:15.8,1.42171E+12,AAA, ax,-0.77972853, ay,4.8919773, az,8.605604
45:15.9,1.42171E+12,AAA, ax,-0.8089178, ay,4.8738647, az,8.729996
45:15.9,1.42171E+12,AAA, ax,-0.73601943, ay,4.8705716, az,8.696765
45:15.9,1.42171E+12,AAA, ax,-0.7048842, ay,4.815486, az,8.714877
45:15.9,1.42171E+12,AAA, ax,-0.62225604, ay,4.770879, az,8.748557
45:15.9,1.42171E+12,AAA, ax,-0.82493454, ay,4.711153, az,8.821007
45:16.0,1.42171E+12,AAA, ax,-0.71730834, ay,4.8556027, az,8.803942
45:16.0,1.42171E+12,AAA, ax,-0.75592804, ay,4.8433285, az,8.743767
45:16.0,1.42171E+12,AAA, ax,-0.45610154, ay,4.905, az,8.800948
45:16.0,1.42171E+12,AAA, ax,-0.6312373, ay,4.9374824, az,8.71817
45:16.0,1.42171E+12,AAA, ax,-0.7209009, ay,4.844975, az,8.676407
45:16.1,1.42171E+12,AAA, ax,-0.56342834, ay,4.821773, az,8.779693
45:16.1,1.42171E+12,AAA, ax,-0.45879593, ay,4.8460226, az,8.553962
45:16.1,1.42171E+12,AAA, ax,-0.5525011, ay,4.816983, az,8.648266
45:16.1,1.42171E+12,AAA, ax,-0.55774015, ay,4.5993357, az,8.625962
45:16.1,1.42171E+12,AAA, ax,-0.6225554, ay,4.8331494, az,8.7999
45:16.2,1.42171E+12,AAA, ax,-0.599653, ay,4.8608418, az,8.945996
45:16.2,1.42171E+12,AAA, ax,-0.6445596, ay,4.876709, az,8.922646
45:16.2,1.42171E+12,AAA, ax,-0.81011534, ay,5.0868716, az,8.753797
45:16.2,1.42171E+12,AAA, ax,-0.67225206, ay,5.146747, az,8.663384
45:16.2,1.42171E+12,AAA, ax,-0.655936, ay,5.1332755, az,8.731343
45:16.3,1.42171E+12,AAA, ax,-0.70967424, ay,4.8942223, az,8.680449
45:16.3,1.42171E+12,AAA, ax,-0.58618104, ay,4.8644342, az,8.6523075
45:16.3,1.42171E+12,AAA, ax,-0.6303392, ay,4.839287, az,8.715177
45:16.3,1.42171E+12,AAA, ax,-0.56028485, ay,4.9044013, az,8.672516
45:16.3,1.42171E+12,AAA, ax,-0.5517526, ay,4.9496074, az,8.835377
45:16.4,1.42171E+12,AAA, ax,-0.5761519, ay,4.7744713, az,8.844508
45:16.4,1.42171E+12,AAA, ax,-0.56881714, ay,4.8117437, az,8.766969
45:16.4,1.42171E+12,AAA, ax,-0.5616321, ay,4.746629, az,8.933872
45:16.4,1.42171E+12,AAA, ax,-0.60549086, ay,4.872967, az,8.673862
45:16.4,1.42171E+12,AAA, ax,-0.65488815, ay,4.8907795, az,8.576116
45:16.5,1.42171E+12,AAA, ax,-0.66342044, ay,4.926705, az,8.627758
45:16.5,1.42171E+12,AAA, ax,-0.61252624, ay,4.9523015, az,8.7543955
45:16.5,1.42171E+12,AAA, ax,-0.7113208, ay,5.116959, az,8.643026
45:16.5,1.42171E+12,AAA, ax,-0.5908214, ay,4.9937654, az,8.6699705
45:16.5,1.42171E+12,AAA, ax,-0.68467623, ay,4.9585886, az,8.827593
45:16.6,1.42171E+12,AAA, ax,-0.65608567, ay,4.9115863, az,8.89645
45:16.6,1.42171E+12,AAA, ax,-0.7086264, ay,4.9024553, az,8.750653
45:16.6,1.42171E+12,AAA, ax,-0.635728, ay,4.7157936, az,8.648565
45:16.6,1.42171E+12,AAA, ax,-0.62165725, ay,5.024302, az,8.591683
45:16.6,1.42171E+12,AAA, ax,-0.57420594, ay,4.841233, az,8.839718
45:16.7,1.42171E+12,AAA, ax,-0.52001864, ay,4.772675, az,8.630154
45:16.7,1.42171E+12,AAA, ax,-0.7830217, ay,4.830305, az,8.748707
45:16.7,1.42171E+12,AAA, ax,-0.7503896, ay,5.026697, az,8.713231
45:16.7,1.42171E+12,AAA, ax,-0.560734, ay,4.920867, az,8.6892805
45:16.7,1.42171E+12,AAA, ax,-0.79484713, ay,4.8822474, az,8.697364
45:16.8,1.42171E+12,AAA, ax,-0.79035646, ay,4.8460226, az,8.619226
45:16.8,1.42171E+12,AAA, ax,-0.7391629, ay,4.757706, az,8.705447
45:16.8,1.42171E+12,AAA, ax,-0.748743, ay,4.834197, az,8.86741
45:16.8,1.42171E+12,AAA, ax,-0.6601273, ay,4.8091993, az,8.759335
45:16.8,1.42171E+12,AAA, ax,-0.6369255, ay,4.881948, az,8.711734
45:16.9,1.42171E+12,AAA, ax,-0.63647646, ay,4.9139814, az,8.74736
45:16.9,1.42171E+12,AAA, ax,-0.6018984, ay,4.8898816, az,8.893157
45:16.9,1.42171E+12,AAA, ax,-0.73093003, ay,4.986131, az,8.929082
45:16.9,1.42171E+12,AAA, ax,-0.8162526, ay,5.0778904, az,8.809481
45:16.9,1.42171E+12,AAA, ax,-0.7084767, ay,4.8714695, az,8.690778
45:17.0,1.42171E+12,AAA, ax,-0.5825885, ay,4.911137, az,8.735684
45:17.0,1.42171E+12,AAA, ax,-0.6288423, ay,4.9481106, az,8.753497
45:17.0,1.42171E+12,AAA, ax,-0.5652246, ay,4.928651, az,8.792715
45:17.0,1.42171E+12,AAA, ax,-0.8020322, ay,4.90021, az,8.784931
45:17.0,1.42171E+12,AAA, ax,-0.6730005, ay,4.780459, az,8.8966
45:17.1,1.42171E+12,AAA, ax,-0.5037025, ay,4.6608577, az,8.750653
45:17.1,1.42171E+12,AAA, ax,-0.6655161, ay,4.8008165, az,8.813373
45:17.1,1.42171E+12,AAA, ax,-0.63018954, ay,4.7672863, az,8.960965
45:17.1,1.42171E+12,AAA, ax,-0.5866301, ay,4.7858477, az,8.873398
45:17.1,1.42171E+12,AAA, ax,-0.66686326, ay,5.0216074, az,8.993748
45:17.2,1.42171E+12,AAA, ax,-0.6294411, ay,5.046306, az,8.758736
45:17.2,1.42171E+12,AAA, ax,-0.59501266, ay,5.093009, az,8.847951
45:17.2,1.42171E+12,AAA, ax,-0.6854246, ay,4.903054, az,8.796906
45:17.2,1.42171E+12,AAA, ax,-0.5733078, ay,5.1159115, az,8.818013
45:17.2,1.42171E+12,AAA, ax,-0.66162413, ay,5.098248, az,8.813672
45:17.3,1.42171E+12,AAA, ax,-0.74290514, ay,5.072951, az,8.711584
45:17.3,1.42171E+12,AAA, ax,-0.79140425, ay,4.9003596, az,8.711584
45:17.3,1.42171E+12,AAA, ax,-0.57540345, ay,4.766538, az,8.722811
45:17.4,1.42171E+12,AAA, ax,-0.63632673, ay,4.666995, az,8.7632265
45:17.4,1.42171E+12,AAA, ax,-0.7984396, ay,4.8792534, az,8.884475
45:17.4,1.42171E+12,AAA, ax,-0.7614665, ay,4.9663725, az,8.800349
45:17.4,1.42171E+12,AAA, ax,-0.58737856, ay,4.934339, az,8.592432
