time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421715324983,18:55:24.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.745,0.178,,
1421715324991,18:55:24.991,0.0,12.5,0.0,27.3,4.3,1.7,0.0,6.2,0.726,0.657,-0.027,,
1421715325002,18:55:25.001,1.7,0.0,0.0,25.8,5.8,3.3,25.9,7.7,0.501,0.794,0.105,,
1421715325011,18:55:25.011,0.0,0.0,11.2,74.0,4.3,3.3,0.0,0.0,0.765,0.613,-0.022,,
1421715325014,18:55:25.014,22.1,15.8,9.6,27.3,4.3,3.3,21.2,31.9,0.565,0.863,0.159,,
1421715325025,18:55:25.020,18.6,17.6,63.0,60.8,4.3,0.0,18.1,38.1,0.393,0.726,0.066,,
1421715325038,18:55:25.038,18.6,15.8,11.2,27.3,5.8,13.2,22.7,31.9,0.525,0.853,0.120,,
1421715325051,18:55:25.051,20.4,52.2,9.6,27.3,0.0,0.0,19.6,31.9,0.731,0.613,0.100,,
1421715325064,18:55:25.064,20.4,15.8,9.6,27.3,19.9,18.1,21.2,33.4,0.565,0.863,0.134,,
1421715325072,18:55:25.072,20.4,57.9,0.0,24.2,15.6,59.5,32.0,31.9,0.320,0.594,-0.081,,
1421715325080,18:55:25.079,18.6,15.8,25.2,28.9,18.5,8.2,19.6,63.7,0.555,0.545,0.183,,
1421715325082,18:55:25.082,13.5,28.3,25.2,27.3,18.5,18.1,21.2,0.0,0.765,0.960,0.081,,
1421715325085,18:55:25.085,18.6,1.7,26.8,22.7,19.9,18.1,21.2,31.7,0.374,0.540,0.159,,
1421715325091,18:55:25.091,37.8,15.8,0.0,25.8,60.2,16.5,21.2,30.2,0.623,1.073,0.110,,
1421715325094,18:55:25.094,18.6,15.8,25.2,27.3,14.2,14.8,74.0,52.2,0.408,0.726,0.007,,
1421715325097,18:55:25.097,46.7,15.8,25.2,27.3,17.0,18.1,6.0,33.3,0.809,0.692,0.144,,
1421715325099,18:55:25.099,5.0,17.6,23.6,27.3,17.0,18.1,19.6,34.8,0.398,0.828,0.320,,
1421715325102,18:55:25.102,0.0,15.8,25.2,28.9,5.6,19.8,21.2,34.8,0.398,0.540,0.002,,
1421715325106,18:55:25.106,58.3,17.6,26.8,6.0,14.2,52.4,27.3,21.0,0.452,0.545,0.037,,
1421715325109,18:55:25.108,30.2,15.8,26.8,49.4,54.1,18.1,0.0,31.7,0.672,0.648,-0.042,,
1421715325125,18:55:25.125,13.3,17.6,25.2,25.8,17.0,18.1,87.4,31.7,0.628,0.946,0.340,,
1421715325128,18:55:25.128,25.1,15.8,38.2,27.3,18.5,11.5,10.5,53.8,0.442,0.560,-0.105,,
1421715325131,18:55:25.131,31.9,15.8,26.8,27.3,18.5,18.1,21.2,34.8,0.530,0.863,0.125,,
1421715325134,18:55:25.134,30.2,30.1,49.7,27.3,0.0,14.8,49.4,41.1,0.330,0.599,-0.071,,
1421715325139,18:55:25.139,31.9,15.8,25.2,28.9,26.8,18.1,21.2,34.8,0.486,0.794,0.076,,
1421715325145,18:55:25.145,31.9,28.3,17.2,24.2,23.9,72.0,22.7,34.8,0.379,0.926,0.232,,
1421715325149,18:55:25.148,33.7,15.8,25.2,27.3,26.8,18.1,19.6,34.8,0.540,0.863,0.120,,
1421715325154,18:55:25.154,30.2,15.8,25.2,27.3,26.8,18.1,21.2,34.8,0.521,0.863,0.125,,
1421715325166,18:55:25.166,30.2,15.8,25.2,27.3,26.8,18.1,21.2,34.8,0.535,0.858,0.120,,
1421715325180,18:55:25.179,31.9,15.8,25.2,27.3,44.4,18.1,18.1,33.3,0.589,0.692,-0.115,,
1421715325184,18:55:25.183,65.5,15.8,25.2,9.0,8.3,18.1,21.2,41.1,0.335,0.882,0.188,,
1421715325186,18:55:25.186,1.6,14.0,12.5,28.9,21.1,18.1,19.6,34.8,0.374,0.530,-0.002,,
1421715325199,18:55:25.198,65.5,12.3,0.0,24.2,26.8,18.1,0.0,30.2,0.584,1.063,0.208,,
