time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421716070793,19:07:50.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.444,-1.488,-1.508,,
1421716070802,19:07:50.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.444,-1.488,-1.508,,
1421716070811,19:07:50.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.444,-1.488,-1.508,,
1421716070819,19:07:50.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.439,-1.488,-1.493,,
1421716070823,19:07:50.823,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,-1.439,-1.483,-1.508,,
1421716070826,19:07:50.826,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,-1.444,-1.483,-1.503,,
1421716070829,19:07:50.829,1.6,0.0,3.4,0.0,0.0,8.0,0.0,0.0,-1.444,-1.488,-1.503,,
1421716070843,19:07:50.842,1.6,0.0,0.0,1.6,0.0,3.2,0.0,0.0,-1.444,-1.483,-1.503,,
1421716070845,19:07:50.845,1.6,0.0,0.0,0.0,0.0,3.2,0.0,1.6,-1.439,-1.503,-1.508,,
1421716070870,19:07:50.870,1.6,0.0,0.0,0.0,0.0,3.2,0.0,0.0,-1.444,-1.488,-1.508,,
1421716070877,19:07:50.877,1.6,0.0,0.0,1.6,0.0,3.2,1.7,0.0,-1.439,-1.483,-1.503,,
1421716070897,19:07:50.895,1.6,0.0,0.0,0.0,6.5,3.2,1.7,1.6,-1.449,-1.483,-1.508,,
1421716070904,19:07:50.903,1.6,0.0,0.0,0.0,3.3,3.2,1.7,0.0,-1.439,-1.488,-1.503,,
1421716070910,19:07:50.910,1.6,0.0,0.0,0.0,6.5,3.2,1.7,0.0,-1.444,-1.488,-1.503,,
1421716070924,19:07:50.924,0.0,0.0,0.0,1.6,6.5,4.8,3.4,0.0,-1.449,-1.454,-1.488,,
1421716070938,19:07:50.937,0.0,0.0,0.0,0.0,6.5,4.8,1.7,1.6,-1.444,-1.488,-1.503,,
1421716070942,19:07:50.942,0.0,0.0,1.7,0.0,6.5,3.2,1.7,1.6,-1.444,-1.488,-1.508,,
1421716070946,19:07:50.946,0.0,0.0,1.7,0.0,6.5,3.2,1.7,1.6,-1.444,-1.444,-1.503,,
1421716070950,19:07:50.950,0.0,0.0,1.7,0.0,6.5,3.2,1.7,1.6,-1.444,-1.488,-1.508,,
1421716070954,19:07:50.954,0.0,0.0,1.7,0.0,6.5,3.2,1.7,1.6,-1.444,-1.488,-1.508,,
1421716070957,19:07:50.957,3.1,1.7,0.0,0.0,4.9,3.2,1.7,1.6,-1.444,-1.488,-1.503,,
1421716070961,19:07:50.961,0.0,0.0,1.7,6.2,6.5,3.2,1.7,1.6,-1.386,-1.483,-1.503,,
1421716070974,19:07:50.974,0.0,0.0,1.7,6.2,6.5,4.8,1.7,1.6,-1.444,-1.488,-1.508,,
1421716070980,19:07:50.980,0.0,0.0,1.7,6.2,6.5,4.8,1.7,1.6,-1.444,-1.488,-1.508,,
1421716070990,19:07:50.990,0.0,0.0,0.0,6.2,6.5,4.8,1.7,0.0,-1.439,-1.488,-1.508,,
1421716070998,19:07:50.998,0.0,6.9,1.7,6.2,6.5,4.8,1.7,1.6,-1.444,-1.488,-1.508,,
1421716071013,19:07:51.013,3.1,8.6,1.7,10.9,6.5,4.8,1.7,1.6,-1.444,-1.483,-1.503,,
1421716071017,19:07:51.016,0.0,8.6,1.7,6.2,6.5,4.8,1.7,1.6,-1.444,-1.483,-1.503,,
1421716071020,19:07:51.020,0.0,10.4,1.7,6.2,6.5,3.2,1.7,1.6,-1.439,-1.483,-1.498,,
1421716071023,19:07:51.023,0.0,6.9,1.7,6.2,6.5,4.8,1.7,1.6,-1.439,-1.483,-1.503,,
1421716071028,19:07:51.028,1.5,6.9,1.7,6.2,6.5,4.8,1.7,1.6,-1.439,-1.483,-1.503,,
1421716071031,19:07:51.030,1.5,6.9,1.7,6.2,6.5,8.0,0.0,1.6,-1.430,-1.483,-1.503,,
1421716071039,19:07:51.038,1.5,6.9,1.7,9.3,6.5,4.8,0.0,3.2,-1.444,-1.483,-1.498,,
1421716071046,19:07:51.046,1.5,6.9,1.7,7.7,6.5,4.8,1.7,1.6,-1.444,-1.488,-1.503,,
1421716071049,19:07:51.049,1.5,6.9,1.7,6.2,6.5,3.2,1.7,1.6,-1.444,-1.483,-1.522,,
1421716071053,19:07:51.053,1.5,8.6,1.7,7.7,6.5,1.6,1.7,1.6,-1.444,-1.483,-1.503,,
1421716071061,19:07:51.060,1.5,6.9,1.7,6.2,6.5,6.4,1.7,1.6,-1.444,-1.488,-1.508,,
1421716071077,19:07:51.076,1.5,8.6,0.0,6.2,6.5,3.2,1.7,1.6,-1.444,-1.488,-1.503,,
1421716071080,19:07:51.080,1.5,6.9,3.3,6.2,6.5,3.2,0.0,1.6,-1.444,-1.488,-1.508,,
1421716071083,19:07:51.083,0.0,8.6,3.3,6.2,6.5,3.2,0.0,1.6,-1.444,-1.488,-1.508,,
1421716071093,19:07:51.093,3.1,6.9,3.3,6.2,6.5,3.2,0.0,1.6,-1.444,-1.488,-1.508,,
1421716071096,19:07:51.096,3.1,6.9,3.3,6.2,6.5,3.2,0.0,1.6,-1.444,-1.488,-1.508,,
1421716071099,19:07:51.099,3.1,6.9,3.3,6.2,6.5,3.2,0.0,1.6,-1.444,-1.488,-1.508,,
1421716071113,19:07:51.113,3.1,6.9,3.3,6.2,6.5,3.2,0.0,1.6,-1.444,-1.488,-1.498,,
1421716071126,19:07:51.125,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.508,,
1421716071134,19:07:51.134,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.508,,
1421716071165,19:07:51.164,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.508,,
1421716071175,19:07:51.174,3.1,6.9,3.3,6.2,6.5,0.0,13.6,1.6,-1.449,-1.483,-1.498,,
1421716071185,19:07:51.185,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.508,,
1421716071196,19:07:51.195,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.508,,
1421716071200,19:07:51.200,3.1,8.6,3.3,7.7,4.9,3.2,11.9,1.6,-1.444,-1.483,-1.503,,
1421716071204,19:07:51.204,4.6,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.478,-1.503,,
1421716071208,19:07:51.208,3.1,8.6,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.498,-1.508,,
1421716071211,19:07:51.211,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.483,-1.503,,
1421716071216,19:07:51.216,3.1,0.0,6.7,6.2,4.9,3.2,13.6,0.0,-1.444,-1.493,-1.508,,
1421716071219,19:07:51.218,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6,-1.439,-1.488,-1.503,,
1421716071228,19:07:51.228,3.1,6.9,6.7,4.6,4.9,6.4,11.9,1.6,-1.444,-1.488,-1.503,,
1421716071231,19:07:51.231,4.6,8.6,0.0,6.2,6.5,3.2,11.9,1.6,-1.444,-1.483,-1.503,,
1421716071233,19:07:51.233,4.6,8.6,3.3,6.2,6.5,1.6,10.2,1.6,-1.444,-1.488,-1.503,,
1421716071236,19:07:51.236,1.5,6.9,3.3,10.9,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.503,,
1421716071243,19:07:51.243,4.6,10.4,3.3,6.2,6.5,3.2,11.9,1.6,-1.444,-1.488,-1.503,,
1421716071245,19:07:51.245,3.1,8.6,0.0,6.2,6.5,3.2,11.9,1.6,-1.439,-1.483,-1.493,,
1421716071248,19:07:51.248,4.6,8.6,0.0,6.2,6.5,3.2,11.9,0.0,-1.454,-1.488,-1.508,,
1421716071257,19:07:51.257,4.6,8.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071261,19:07:51.260,4.6,8.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071263,19:07:51.263,4.6,8.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071266,19:07:51.266,4.6,8.6,5.0,6.2,6.5,3.2,11.9,8.0,-1.444,-1.488,-1.508,,
1421716071268,19:07:51.268,4.6,8.6,5.0,6.2,4.9,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071272,19:07:51.270,4.6,8.6,5.0,6.2,4.9,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071275,19:07:51.275,4.6,8.6,3.3,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071287,19:07:51.286,4.6,8.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071291,19:07:51.290,4.6,8.6,5.0,6.2,4.9,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071296,19:07:51.296,4.6,8.6,5.0,6.2,4.9,3.2,11.9,8.0,-1.444,-1.488,-1.508,,
1421716071303,19:07:51.302,6.2,8.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.503,,
1421716071306,19:07:51.306,6.2,8.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.503,,
1421716071309,19:07:51.309,6.2,10.4,5.0,6.2,6.5,3.2,11.9,8.0,-1.444,-1.483,-1.503,,
1421716071321,19:07:51.320,6.2,10.4,5.0,6.2,6.5,3.2,11.9,8.0,-1.449,-1.488,-1.503,,
1421716071324,19:07:51.324,6.2,12.1,5.0,6.2,6.5,3.2,11.9,9.6,-1.439,-1.488,-1.503,,
1421716071331,19:07:51.326,4.6,12.1,5.0,6.2,4.9,3.2,13.6,8.0,-1.444,-1.488,-1.503,,
1421716071340,19:07:51.337,7.7,13.8,5.0,7.7,6.5,3.2,8.5,9.6,-1.444,-1.488,-1.503,,
1421716071359,19:07:51.359,9.3,15.6,5.0,7.7,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.503,,
1421716071368,19:07:51.368,9.3,15.6,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.508,,
1421716071374,19:07:51.373,10.9,20.9,5.0,6.2,6.5,3.2,11.9,9.6,-1.444,-1.488,-1.493,,
