time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421715779013,19:02:59.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.555,0.002,,
1421715779023,19:02:59.022,36.0,0.0,0.0,9.2,12.2,0.0,0.0,0.0,0.609,1.039,0.291,,
1421715779032,19:02:59.032,5.0,15.5,17.3,9.2,0.0,0.0,9.2,18.3,0.359,0.555,0.125,,
1421715779037,19:02:59.036,6.7,17.3,17.3,10.7,18.4,1.6,1.5,24.5,0.521,0.809,0.090,,
1421715779045,19:02:59.044,27.3,17.3,17.3,4.6,15.5,67.1,0.0,24.5,0.433,0.882,0.217,,
1421715779057,19:02:59.050,6.7,17.3,17.3,9.2,18.4,1.6,3.0,29.2,0.516,0.809,0.095,,
1421715779068,19:02:59.067,29.0,13.8,0.0,7.6,50.8,0.0,4.6,18.3,0.604,1.078,0.032,,
1421715779082,19:02:59.081,6.7,19.0,18.8,9.2,18.4,1.6,4.6,24.5,0.560,0.877,0.120,,
1421715779100,19:02:59.099,6.7,15.5,17.2,10.7,19.8,67.1,0.0,21.4,0.648,0.613,0.037,,
1421715779120,19:02:59.119,6.7,17.3,18.8,9.2,18.4,1.6,9.1,22.9,0.555,0.877,0.115,,
1421715779133,19:02:59.133,8.4,17.3,18.8,9.2,18.4,1.6,9.1,24.5,0.521,0.662,-0.071,,
1421715779137,19:02:59.137,6.7,17.3,12.5,7.6,61.5,9.9,0.0,26.0,0.413,0.550,-0.002,,
1421715779148,19:02:59.148,6.7,40.4,18.8,10.7,0.0,0.0,22.7,48.3,0.467,0.745,0.032,,
1421715779153,19:02:59.153,0.0,40.4,17.2,9.2,45.6,1.6,13.5,0.0,0.755,0.912,0.042,,
1421715779165,19:02:59.165,1.7,19.0,10.9,0.0,78.0,1.6,13.5,30.5,0.428,0.550,0.002,,
