time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421715783007,19:03:03.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.454,-1.488,-1.488,,
1421715783022,19:03:03.022,0.0,5.2,0.0,0.0,3.2,0.0,0.0,0.0,-1.454,-1.483,-1.449,,
1421715783029,19:03:03.029,0.0,0.0,1.6,7.7,0.0,0.0,3.4,1.6,-1.454,-1.483,-1.483,,
1421715783034,19:03:03.034,0.0,1.7,0.0,3.1,13.0,10.9,0.0,1.6,-1.498,-1.498,-1.508,,
1421715783039,19:03:03.039,0.0,0.0,1.6,7.7,0.0,0.0,1.7,1.6,-1.454,-1.488,-1.488,,
1421715783045,19:03:03.043,1.6,1.7,13.3,12.3,0.0,1.6,0.0,1.6,-1.459,-1.488,-1.493,,
1421715783051,19:03:03.051,1.6,1.7,1.6,7.7,6.4,0.0,1.7,1.6,-1.449,-1.483,-1.483,,
1421715783061,19:03:03.054,1.6,8.7,10.0,9.2,12.9,1.6,0.0,0.0,-1.449,-1.483,-1.498,,
1421715783067,19:03:03.066,1.6,1.7,1.6,9.2,8.0,1.6,10.0,1.6,-1.459,-1.488,-1.488,,
1421715783075,19:03:03.075,11.1,1.7,3.3,9.2,12.9,6.2,10.0,4.8,-1.459,-1.488,-1.488,,
1421715783083,19:03:03.083,0.0,1.7,0.0,7.7,6.4,0.0,10.0,1.6,-1.488,-1.493,-1.508,,
1421715783087,19:03:03.086,9.5,1.7,6.6,7.7,4.8,3.1,10.0,1.6,-1.425,-1.454,-1.478,,
1421715783096,19:03:03.095,4.7,1.7,6.6,12.3,0.0,3.1,8.3,0.0,-1.454,-1.474,-1.483,,
1421715783100,19:03:03.100,1.6,0.0,1.6,0.0,6.4,1.5,8.3,0.0,-1.478,-1.464,-1.488,,
1421715783102,19:03:03.102,4.7,12.1,3.3,9.2,6.4,4.7,3.3,6.4,-1.449,-1.478,-1.493,,
1421715783105,19:03:03.105,1.6,8.6,4.9,9.2,9.6,0.0,8.3,6.4,-1.454,-1.493,-1.464,,
1421715783111,19:03:03.111,0.0,1.7,1.6,10.7,3.2,9.3,11.7,9.6,-1.469,-1.493,-1.483,,
1421715783114,19:03:03.113,0.0,1.7,1.6,9.2,6.4,3.1,10.0,12.8,-1.464,-1.483,-1.483,,
1421715783127,19:03:03.127,15.8,8.6,6.6,10.7,4.8,9.3,10.0,8.0,-1.425,-1.474,-1.478,,
1421715783130,19:03:03.130,4.7,8.6,9.9,13.8,1.6,1.5,8.3,8.0,-1.459,-1.483,-1.493,,
1421715783134,19:03:03.134,6.3,8.6,3.3,13.8,6.4,9.3,5.0,6.4,-1.459,-1.503,-1.483,,
1421715783137,19:03:03.136,6.3,10.4,8.3,9.2,1.6,9.3,10.0,8.0,-1.449,-1.488,-1.474,,
1421715783139,19:03:03.139,6.3,13.8,1.6,12.3,6.4,7.7,10.0,4.8,-1.444,-1.483,-1.459,,
1421715783143,19:03:03.143,1.6,8.6,6.6,10.7,12.9,15.5,10.0,11.2,-1.444,-1.488,-1.488,,
1421715783152,19:03:03.152,4.7,8.6,0.0,7.7,4.8,1.5,10.0,9.6,-1.464,-1.503,-1.454,,
1421715783154,19:03:03.154,6.3,8.6,3.3,9.2,6.4,7.7,10.0,8.0,-1.454,-1.488,-1.488,,
