time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421109341443,18:35:41.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.483,-1.425,-1.347,,
1421109341453,18:35:41.453,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,-1.483,-1.425,-1.366,,
1421109341457,18:35:41.457,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.2,-1.483,-1.430,-1.371,,
1421109341462,18:35:41.461,4.6,0.0,0.0,0.0,1.7,0.0,3.4,1.6,-1.483,-1.430,-1.371,,
1421109341482,18:35:41.481,4.6,0.0,1.7,0.0,0.0,0.0,1.7,1.6,-1.483,-1.430,-1.371,,
1421109341486,18:35:41.486,6.2,0.0,0.0,0.0,1.7,0.0,1.7,1.6,-1.483,-1.430,-1.371,,
1421109341501,18:35:41.500,4.6,1.7,1.7,0.0,0.0,0.0,5.1,4.8,-1.483,-1.430,-1.371,,
1421109341507,18:35:41.506,3.1,1.7,0.0,0.0,1.7,4.8,1.7,3.2,-1.483,-1.430,-1.371,,
1421109341523,18:35:41.523,3.1,1.7,0.0,0.0,1.7,0.0,1.7,3.2,-1.483,-1.430,-1.371,,
1421109341538,18:35:41.538,4.6,1.7,1.7,0.0,0.0,1.6,1.7,0.0,-1.483,-1.430,-1.371,,
1421109341547,18:35:41.546,4.6,1.7,1.7,0.0,11.7,4.8,1.7,8.0,-1.483,-1.430,-1.371,,
1421109341552,18:35:41.552,3.1,1.7,1.7,0.0,0.0,0.0,1.7,6.4,-1.483,-1.430,-1.371,,
1421109341555,18:35:41.555,3.1,1.7,1.7,1.5,1.7,1.6,1.7,6.4,-1.483,-1.430,-1.371,,
1421109341558,18:35:41.557,3.1,1.7,1.7,1.5,1.7,1.6,1.7,4.8,-1.483,-1.425,-1.381,,
1421109341563,18:35:41.563,4.6,1.7,0.0,3.1,1.7,1.6,1.7,6.4,-1.478,-1.425,-1.351,,
1421109341568,18:35:41.567,3.1,1.7,1.7,0.0,0.0,0.0,1.7,8.0,-1.483,-1.425,-1.366,,
1421109341571,18:35:41.570,4.6,1.7,0.0,1.5,8.3,0.0,1.7,4.8,-1.478,-1.425,-1.366,,
1421109341577,18:35:41.576,3.1,1.7,0.0,1.5,3.3,1.6,0.0,6.4,-1.483,-1.425,-1.366,,
1421109341582,18:35:41.582,3.1,1.7,3.3,1.5,6.6,0.0,1.7,4.8,-1.483,-1.425,-1.366,,
1421109341589,18:35:41.589,0.0,1.7,5.0,1.5,3.3,1.6,3.4,4.8,-1.483,-1.425,-1.366,,
1421109341594,18:35:41.594,3.1,3.4,5.0,1.5,5.0,1.6,1.7,6.4,-1.483,-1.439,-1.366,,
1421109341598,18:35:41.598,3.1,3.4,5.0,1.5,0.0,1.6,1.7,6.4,-1.483,-1.425,-1.366,,
1421109341602,18:35:41.601,6.2,1.7,6.7,1.5,3.3,0.0,1.7,8.0,-1.478,-1.430,-1.366,,
1421109341605,18:35:41.605,3.1,1.7,5.0,1.5,5.0,1.6,1.7,8.0,-1.483,-1.425,-1.366,,
1421109341608,18:35:41.608,3.1,1.7,5.0,1.5,6.6,1.6,0.0,6.4,-1.469,-1.430,-1.366,,
1421109341613,18:35:41.613,4.6,1.7,3.3,1.5,5.0,1.6,0.0,6.4,-1.478,-1.425,-1.366,,
1421109341620,18:35:41.619,4.6,3.4,3.3,3.1,5.0,0.0,0.0,8.0,-1.498,-1.449,-1.366,,
1421109341623,18:35:41.623,6.2,0.0,0.0,9.3,5.0,0.0,5.1,6.4,-1.488,-1.430,-1.366,,
1421109341636,18:35:41.635,4.6,5.0,10.0,1.5,3.3,12.6,0.0,6.4,-1.483,-1.435,-1.386,,
1421109341653,18:35:41.652,0.0,5.0,13.3,1.5,5.0,12.6,1.7,9.6,-1.498,-1.391,-1.361,,
1421109341656,18:35:41.656,4.6,3.4,10.0,9.3,1.6,6.3,0.0,8.0,-1.483,-1.435,-1.366,,
1421109341658,18:35:41.658,7.7,15.2,11.6,1.5,15.0,15.8,6.8,21.0,-1.483,-1.410,-1.371,,
1421109341667,18:35:41.666,6.2,10.1,11.6,4.7,11.6,11.1,5.1,6.4,-1.464,-1.420,-1.386,,
1421109341692,18:35:41.672,6.2,11.8,6.6,1.5,8.3,17.4,5.1,6.4,-1.464,-1.478,-1.371,,
1421109341698,18:35:41.698,12.4,11.8,5.0,7.8,6.6,23.9,5.1,6.4,-1.483,-1.425,-1.361,,
1421109341701,18:35:41.701,3.1,1.7,10.0,0.0,0.0,11.1,3.4,6.4,-1.454,-1.410,-1.366,,
1421109341705,18:35:41.705,14.0,16.9,10.0,14.0,8.2,14.2,5.1,8.0,-1.483,-1.415,-1.361,,
1421109341710,18:35:41.710,7.7,3.4,10.0,6.2,20.0,7.9,6.8,9.6,-1.478,-1.420,-1.405,,
1421109341719,18:35:41.719,7.7,8.4,8.3,6.2,6.6,14.2,6.8,6.4,-1.483,-1.425,-1.366,,
1421109341722,18:35:41.722,7.7,10.1,8.3,6.2,8.2,12.6,6.8,11.2,-1.474,-1.430,-1.342,,
1421109341725,18:35:41.725,6.2,10.1,0.0,4.6,9.9,15.8,8.5,6.4,-1.488,-1.425,-1.371,,
1421109341737,18:35:41.737,18.7,16.9,5.0,10.8,8.2,23.9,5.1,6.4,-1.498,-1.435,-1.361,,
1421109341741,18:35:41.741,4.6,8.4,10.0,6.2,8.2,0.0,5.1,8.0,-1.454,-1.391,-1.371,,
1421109341744,18:35:41.744,6.2,10.1,8.3,6.2,6.6,20.5,5.1,14.4,-1.508,-1.425,-1.361,,
1421109341757,18:35:41.757,9.3,1.7,10.0,7.7,0.0,20.5,3.4,6.4,-1.483,-1.425,-1.366,,
1421109341761,18:35:41.760,9.3,10.1,8.3,6.2,8.2,20.5,6.8,6.4,-1.488,-1.425,-1.366,,
1421109341765,18:35:41.765,7.7,10.1,10.0,4.6,8.2,20.5,5.1,4.8,-1.478,-1.425,-1.366,,
1421109341774,18:35:41.773,6.2,10.1,8.3,1.5,6.6,20.5,3.4,9.6,-1.478,-1.430,-1.366,,
1421109341778,18:35:41.778,6.2,8.4,8.3,7.7,8.2,14.1,5.1,6.4,-1.488,-1.444,-1.356,,
1421109341785,18:35:41.785,6.2,8.4,8.3,4.6,8.2,18.9,3.4,8.0,-1.483,-1.425,-1.371,,
1421109341788,18:35:41.788,7.7,10.1,10.0,17.1,6.6,18.9,8.5,9.6,-1.483,-1.430,-1.361,,
1421109341802,18:35:41.802,6.2,1.7,10.0,1.5,1.6,23.7,6.8,8.0,-1.483,-1.430,-1.366,,
1421109341808,18:35:41.808,6.2,10.1,10.0,6.2,6.6,20.5,13.7,6.4,-1.498,-1.405,-1.371,,
1421109341811,18:35:41.811,6.2,8.4,10.0,4.6,6.6,18.9,6.8,11.2,-1.478,-1.425,-1.337,,
1421109341816,18:35:41.815,6.2,15.2,16.7,0.0,9.9,18.9,5.1,6.4,-1.483,-1.430,-1.366,,
1421109341826,18:35:41.825,6.2,5.0,0.0,9.3,8.2,12.5,3.4,9.6,-1.488,-1.435,-1.366,,
1421109341831,18:35:41.831,6.2,6.7,29.4,15.5,9.9,17.3,3.4,8.0,-1.459,-1.391,-1.376,,
1421109341838,18:35:41.837,15.6,5.0,22.7,9.3,4.9,18.9,5.1,8.0,-1.483,-1.435,-1.361,,
1421109341841,18:35:41.841,3.1,1.7,31.0,18.7,9.9,18.9,3.4,8.0,-1.474,-1.366,-1.381,,
1421109341844,18:35:41.844,4.6,5.0,29.4,7.7,3.3,18.9,13.7,4.8,-1.498,-1.405,-1.371,,
1421109341852,18:35:41.852,4.6,5.0,29.4,7.7,11.6,17.3,0.0,9.6,-1.478,-1.425,-1.347,,
1421109341857,18:35:41.857,4.6,5.0,32.7,7.7,6.6,18.9,5.1,6.4,-1.478,-1.425,-1.366,,
1421109341866,18:35:41.866,4.6,5.0,29.4,7.7,4.9,18.9,5.1,8.0,-1.483,-1.425,-1.366,,
1421109341869,18:35:41.869,3.1,5.0,29.4,6.2,6.6,14.1,8.5,9.6,-1.449,-1.410,-1.371,,
1421109341873,18:35:41.873,4.6,5.0,31.0,7.7,6.6,18.9,8.5,4.8,-1.483,-1.425,-1.366,,
1421109341877,18:35:41.877,3.1,3.4,31.0,15.5,13.2,18.9,6.8,4.8,-1.483,-1.430,-1.400,,
1421109341879,18:35:41.879,4.6,3.4,29.4,9.3,6.6,18.9,5.1,4.8,-1.488,-1.425,-1.366,,
1421109341883,18:35:41.882,7.7,6.7,29.4,7.7,4.9,18.9,3.4,11.2,-1.474,-1.420,-1.381,,
1421109341885,18:35:41.885,4.6,3.4,29.4,6.2,6.6,18.9,5.1,6.4,-1.478,-1.425,-1.366,,
1421109341889,18:35:41.889,0.0,0.0,34.4,7.7,6.6,20.5,5.1,4.8,-1.474,-1.449,-1.361,,
1421109341895,18:35:41.894,16.8,10.0,29.4,9.3,6.6,14.1,12.0,11.2,-1.537,-1.435,-1.347,,
1421109341900,18:35:41.900,19.9,6.7,29.4,12.4,8.2,18.9,5.1,9.6,-1.474,-1.405,-1.371,,
1421109341903,18:35:41.902,15.3,6.7,27.7,17.1,4.9,20.5,1.7,4.8,-1.474,-1.405,-1.371,,
1421109341906,18:35:41.905,16.8,10.0,29.4,7.7,4.9,18.9,5.1,8.0,-1.478,-1.425,-1.366,,
1421109341908,18:35:41.908,18.3,15.1,29.4,7.7,8.2,18.9,3.4,9.6,-1.474,-1.425,-1.400,,
1421109341913,18:35:41.911,18.3,20.2,27.7,1.5,0.0,18.9,5.1,8.0,-1.483,-1.430,-1.391,,
1421109341918,18:35:41.917,18.3,11.7,34.4,7.7,9.9,14.1,1.7,6.4,-1.513,-1.430,-1.366,,
1421109341922,18:35:41.921,16.8,10.0,29.4,4.6,9.9,12.5,10.2,9.6,-1.527,-1.425,-1.347,,
1421109341927,18:35:41.926,13.7,3.3,26.0,0.0,11.5,18.9,3.4,0.0,-1.483,-1.435,-1.366,,
1421109341930,18:35:41.930,16.8,8.3,31.0,18.5,8.2,18.9,1.7,8.0,-1.469,-1.420,-1.361,,
1421109341933,18:35:41.933,16.8,8.3,27.7,12.3,4.9,18.9,6.8,19.2,-1.493,-1.415,-1.356,,
1421109341956,18:35:41.956,18.3,10.0,29.4,12.3,11.5,31.8,0.0,6.4,-1.478,-1.425,-1.395,,
1421109341961,18:35:41.961,16.8,10.0,29.4,10.7,8.2,17.3,3.4,9.6,-1.474,-1.435,-1.391,,
1421109341965,18:35:41.964,18.3,11.7,36.1,12.3,9.9,4.7,5.1,12.8,-1.493,-1.425,-1.371,,
1421109341971,18:35:41.970,19.9,10.0,31.0,15.4,6.6,0.0,6.8,8.0,-1.474,-1.425,-1.371,,
1421109341976,18:35:41.975,13.7,5.0,26.0,3.1,11.5,18.9,6.8,14.4,-1.483,-1.449,-1.361,,
1421109341983,18:35:41.983,7.6,15.1,31.0,21.7,8.2,17.3,0.0,1.6,-1.478,-1.420,-1.371,,
1421109341986,18:35:41.986,18.3,8.3,34.4,13.8,4.9,18.9,8.5,17.6,-1.483,-1.425,-1.366,,
1421109341994,18:35:41.993,16.8,8.3,29.4,13.8,9.9,18.9,22.3,6.4,-1.474,-1.425,-1.386,,
1421109341996,18:35:41.996,19.9,8.3,27.7,12.3,8.2,17.3,5.1,8.0,-1.444,-1.405,-1.361,,
1421109341999,18:35:41.998,16.8,10.0,31.0,3.1,8.2,18.9,5.1,11.2,-1.478,-1.425,-1.288,,
1421109342005,18:35:42.004,19.9,10.0,29.4,0.0,13.2,18.9,17.1,4.8,-1.488,-1.425,-1.371,,
