46:16.2,1.42111E+12,GGG,gx,-0.040502686, gy,-0.054358847, gz,0.018119348
46:16.3,1.42111E+12,GGG,gx,-0.004263721, gy,-0.061819427, gz,-0.004263721
46:16.3,1.42111E+12,GGG,gx,0.03943609, gy,-0.019185679, gz,0.007460579
46:16.3,1.42111E+12,GGG,gx,0.014921425, gy,-0.015988022, gz,0.040501885
46:16.3,1.42111E+12,GGG,gx,0.029843649, gy,-0.015988022, gz,0.053291984
46:16.3,1.42111E+12,GGG,gx,0.070345536, gy,-0.015988022, gz,0.045831405
46:16.4,1.42111E+12,GGG,gx,0.045831405, gy,-0.035173167, gz,0.031975243
46:16.4,1.42111E+12,GGG,gx,0.013855628, gy,-0.045831937, gz,0.022382537
46:16.4,1.42111E+12,GGG,gx,0.020250943, gy,-0.046897735, gz,-0.002132127
46:16.4,1.42111E+12,GGG,gx,0.063950755, gy,-0.003197924, gz,0.005328985
46:16.4,1.42111E+12,GGG,gx,0.05116039, gy,0.00959244, gz,0.03410684
46:16.5,1.42111E+12,GGG,gx,0.020250943, gy,0.008526376, gz,0.01705302
46:16.5,1.42111E+12,GGG,gx,0.00959244, gy,0.002131594, gz,-0.007461112
46:16.5,1.42111E+12,GGG,gx,-0.003197924, gy,-0.007461112, gz,-0.008526909
46:16.5,1.42111E+12,GGG,gx,-0.049029328, gy,-0.039436888, gz,0.005328985
46:16.5,1.42111E+12,GGG,gx,-0.013856427, gy,-0.02238307, gz,0.02557993
46:16.6,1.42111E+12,GGG,gx,0.036238696, gy,0.003197391, gz,0.00959244
46:16.6,1.42111E+12,GGG,gx,0.09272861, gy,0.008526376, gz,-0.021317273
46:16.6,1.42111E+12,GGG,gx,0.07674085, gy,-0.026646258, gz,-0.005329518
46:16.6,1.42111E+12,GGG,gx,0.018119348, gy,-0.04476614, gz,0.024514131
46:16.6,1.42111E+12,GGG,gx,0.01705302, gy,-0.005329518, gz,0.030909447
46:16.7,1.42111E+12,GGG,gx,0.07780665, gy,0.007460579, gz,0.03304104
46:16.7,1.42111E+12,GGG,gx,0.10338711, gy,-0.003197924, gz,0.020250943
46:16.7,1.42111E+12,GGG,gx,0.045831405, gy,0.00959244, gz,0.00959244
46:16.7,1.42111E+12,GGG,gx,-0.003197924, gy,0.002131594, gz,0.036238696
46:16.7,1.42111E+12,GGG,gx,0.014921425, gy,-0.006395315, gz,0.03304104
46:16.8,1.42111E+12,GGG,gx,0.056489907, gy,0.006394783, gz,-0.021317273
46:16.8,1.42111E+12,GGG,gx,0.023448335, gy,0.004263188, gz,-0.054358847
46:16.8,1.42111E+12,GGG,gx,0.029843649, gy,0.012789832, gz,-0.033041574
46:16.8,1.42111E+12,GGG,gx,0.063950755, gy,0.035172634, gz,0.003197391
46:16.8,1.42111E+12,GGG,gx,0.05116039, gy,0.05116039, gz,-0.011724833
46:16.9,1.42111E+12,GGG,gx,-0.002132127, gy,0.024514131, gz,-0.03090998
46:16.9,1.42111E+12,GGG,gx,-0.013856427, gy,-0.011724833, gz,-0.008526909
46:16.9,1.42111E+12,GGG,gx,0.03410684, gy,0.006394783, gz,-0.002132127
46:16.9,1.42111E+12,GGG,gx,0.07887244, gy,0.03410684, gz,-0.034107372
46:16.9,1.42111E+12,GGG,gx,0.019185146, gy,0.002131594, gz,-0.029844182
46:17.0,1.42111E+12,GGG,gx,-0.049029328, gy,-0.007461112, gz,-0.003197924
46:17.0,1.42111E+12,GGG,gx,-0.024514664, gy,-0.005329518, gz,-0.008526909
46:17.0,1.42111E+12,GGG,gx,0.014921425, gy,-0.025580462, gz,-0.020251475
46:17.0,1.42111E+12,GGG,gx,0.020250943, gy,-0.041568484, gz,-0.008526909
46:17.0,1.42111E+12,GGG,gx,0.014921425, gy,-0.023448868, gz,-0.015988022
46:17.1,1.42111E+12,GGG,gx,-0.02238307, gy,-0.005329518, gz,-0.008526909
46:17.1,1.42111E+12,GGG,gx,-0.06501735, gy,-0.004263721, gz,0.02131674
46:17.1,1.42111E+12,GGG,gx,-0.006395315, gy,0.052226186, gz,0.041567683
46:17.1,1.42111E+12,GGG,gx,0.052226186, gy,0.040501885, gz,0.071411334
46:17.1,1.42111E+12,GGG,gx,0.045831405, gy,-0.031975776, gz,0.09272861
46:17.2,1.42111E+12,GGG,gx,0.003197391, gy,-0.028778385, gz,0.08526776
46:17.2,1.42111E+12,GGG,gx,-0.020251475, gy,0.01705302, gz,0.07460926
46:17.2,1.42111E+12,GGG,gx,-0.019185679, gy,0.03943609, gz,0.075675055
46:17.2,1.42111E+12,GGG,gx,-0.031975776, gy,0.014921425, gz,0.06714814
46:17.2,1.42111E+12,GGG,gx,-0.04796353, gy,-0.036239497, gz,0.040501885
46:17.3,1.42111E+12,GGG,gx,-0.049029328, gy,-0.0724782, gz,0.018119348
46:17.3,1.42111E+12,GGG,gx,-0.021317273, gy,-0.04263428, gz,0.006394783
46:17.3,1.42111E+12,GGG,gx,0.019185146, gy,0.020250943, gz,-0.010659036
46:17.3,1.42111E+12,GGG,gx,0.027712055, gy,0.012789832, gz,-0.003197924
46:17.3,1.42111E+12,GGG,gx,-0.01811988, gy,-0.03837109, gz,0.007460579
46:17.4,1.42111E+12,GGG,gx,-0.05542464, gy,-0.069280535, gz,0.015987223
46:17.4,1.42111E+12,GGG,gx,-0.029844182, gy,0.005328985, gz,0.038370293
46:17.4,1.42111E+12,GGG,gx,0.036238696, gy,0.07887244, gz,0.06288496
46:17.4,1.42111E+12,GGG,gx,0.054358315, gy,0.06821394, gz,0.058621503
46:17.4,1.42111E+12,GGG,gx,-0.005329518, gy,-0.00106633, gz,0.04369928
46:17.5,1.42111E+12,GGG,gx,-0.075675584, gy,-0.020251475, gz,0.03304104
46:17.5,1.42111E+12,GGG,gx,-0.067148946, gy,0.003197391, gz,0.029843649
46:17.5,1.42111E+12,GGG,gx,-0.025580462, gy,0.061818894, gz,0.024514131
