52:48.7,1.42111E+12,AAA, ax,-0.5493576, ay,3.5655854, az,9.390722
52:48.7,1.42111E+12,AAA, ax,-0.6518944, ay,3.8657112, az,9.372909
52:48.7,1.42111E+12,AAA, ax,-0.53678375, ay,3.8957987, az,9.240734
52:48.7,1.42111E+12,AAA, ax,-0.6391708, ay,4.052373, az,9.130114
52:48.7,1.42111E+12,AAA, ax,-0.6692583, ay,3.9419029, az,9.059311
52:48.8,1.42111E+12,AAA, ax,-0.46643007, ay,3.9016366, az,9.130263
52:48.8,1.42111E+12,AAA, ax,-0.6399193, ay,3.971092, az,9.270822
52:48.8,1.42111E+12,AAA, ax,-0.5505551, ay,3.913462, az,9.246422
52:48.8,1.42111E+12,AAA, ax,-0.5480104, ay,3.8470001, az,9.298064
52:48.8,1.42111E+12,AAA, ax,-0.5426216, ay,3.8193078, az,9.301059
52:48.9,1.42111E+12,AAA, ax,-0.53828067, ay,3.7741017, az,9.165291
52:48.9,1.42111E+12,AAA, ax,-0.5888754, ay,3.907175, az,9.258247
52:48.9,1.42111E+12,AAA, ax,-0.5300478, ay,3.840264, az,9.209599
52:48.9,1.42111E+12,AAA, ax,-0.5349875, ay,3.9178028, az,9.100475
52:48.9,1.42111E+12,AAA, ax,-0.62854296, ay,3.8101766, az,9.069639
52:49.0,1.42111E+12,AAA, ax,-0.53828067, ay,3.7986507, az,9.0551195
52:49.0,1.42111E+12,AAA, ax,-0.55010605, ay,3.882626, az,9.131461
52:49.0,1.42111E+12,AAA, ax,-0.49861312, ay,3.8877153, az,9.204509
52:49.0,1.42111E+12,AAA, ax,-0.5195696, ay,3.8609211, az,9.091345
52:49.0,1.42111E+12,AAA, ax,-0.8352631, ay,3.7365298, az,9.142538
52:49.1,1.42111E+12,AAA, ax,-0.4631369, ay,3.8874161, az,9.114845
52:49.1,1.42111E+12,AAA, ax,-0.5412744, ay,3.7847297, az,8.967852
52:49.1,1.42111E+12,AAA, ax,-0.7086264, ay,3.8688548, az,9.092542
52:49.1,1.42111E+12,AAA, ax,-0.5037025, ay,3.7300932, az,9.020093
52:49.1,1.42111E+12,AAA, ax,-0.6521938, ay,3.8914576, az,9.470356
52:49.2,1.42111E+12,AAA, ax,-0.6637198, ay,3.7110827, az,9.271869
52:49.2,1.42111E+12,AAA, ax,-0.73871386, ay,3.7770956, az,9.392668
52:49.2,1.42111E+12,AAA, ax,-0.81385756, ay,3.7724552, az,9.415271
52:49.2,1.42111E+12,AAA, ax,-0.74515045, ay,3.7733533, az,9.226214
52:49.2,1.42111E+12,AAA, ax,-0.023800507, ay,3.3870068, az,9.205707
52:49.3,1.42111E+12,AAA, ax,-0.9511221, ay,3.583548, az,9.765244
52:49.3,1.42111E+12,AAA, ax,-1.0584489, ay,3.9119651, az,9.306597
52:49.3,1.42111E+12,AAA, ax,-0.9241782, ay,3.9194496, az,9.583072
52:49.3,1.42111E+12,AAA, ax,-0.73048097, ay,3.7824843, az,9.194929
52:49.3,1.42111E+12,AAA, ax,-0.73601943, ay,3.8565803, az,9.191037
52:49.4,1.42111E+12,AAA, ax,-0.79035646, ay,3.7742515, az,9.129365
52:49.4,1.42111E+12,AAA, ax,-0.7432045, ay,3.6848872, az,9.152267
52:49.4,1.42111E+12,AAA, ax,-0.55639297, ay,3.695665, az,9.044492
52:49.4,1.42111E+12,AAA, ax,-0.49576905, ay,3.555107, az,9.068442
52:49.4,1.42111E+12,AAA, ax,-0.51043856, ay,3.5905833, az,9.118138
52:49.5,1.42111E+12,AAA, ax,-0.8403525, ay,3.8866677, az,9.209299
52:49.5,1.42111E+12,AAA, ax,-0.6493497, ay,3.9683976, az,9.461824
52:49.5,1.42111E+12,AAA, ax,-0.5185217, ay,3.760031, az,9.613159
52:49.5,1.42111E+12,AAA, ax,-0.38185593, ay,3.4389486, az,9.205407
52:49.5,1.42111E+12,AAA, ax,-0.21285737, ay,3.401227, az,8.7038
52:49.6,1.42111E+12,AAA, ax,-0.28620484, ay,3.7351828, az,8.932375
52:49.6,1.42111E+12,AAA, ax,-0.30416748, ay,3.8760397, az,8.993149
52:49.6,1.42111E+12,AAA, ax,-0.44786865, ay,3.8815782, az,9.03132
52:49.6,1.42111E+12,AAA, ax,-0.4429289, ay,3.9306762, az,9.169782
52:49.6,1.42111E+12,AAA, ax,-0.26764342, ay,3.8127215, az,9.029523
52:49.7,1.42111E+12,AAA, ax,-0.4369414, ay,3.6036062, az,9.174421
52:49.7,1.42111E+12,AAA, ax,-0.43319917, ay,3.5851946, az,9.325008
52:49.7,1.42111E+12,AAA, ax,-0.4763095, ay,3.7107835, az,9.335187
52:49.7,1.42111E+12,AAA, ax,-0.42541534, ay,3.7010536, az,9.418414
52:49.7,1.42111E+12,AAA, ax,-0.56342834, ay,3.457061, az,9.306597
52:49.8,1.42111E+12,AAA, ax,-0.45011398, ay,3.6534526, az,9.554332
52:49.8,1.42111E+12,AAA, ax,-0.43484575, ay,3.5896852, az,9.455387
52:49.8,1.42111E+12,AAA, ax,-0.23650818, ay,3.546425, az,9.379944
52:49.8,1.42111E+12,AAA, ax,-0.4790039, ay,3.4495766, az,9.313931
52:49.8,1.42111E+12,AAA, ax,-0.4736151, ay,3.4667907, az,9.389375
52:49.9,1.42111E+12,AAA, ax,-0.31135255, ay,3.5943255, az,9.293873
52:49.9,1.42111E+12,AAA, ax,-0.40640488, ay,3.4468822, az,9.05033
52:49.9,1.42111E+12,AAA, ax,-0.39083725, ay,3.6386335, az,9.225915
52:49.9,1.42111E+12,AAA, ax,-0.57390654, ay,3.6786003, az,9.31962
52:49.9,1.42111E+12,AAA, ax,-0.57540345, ay,3.471431, az,9.380543
52:50.0,1.42111E+12,AAA, ax,-0.4670288, ay,3.5507662, az,9.497899
52:50.0,1.42111E+12,AAA, ax,-0.47735733, ay,3.5519636, az,9.385932
52:50.0,1.42111E+12,AAA, ax,-0.4857399, ay,3.5610948, az,9.306148
52:50.0,1.42111E+12,AAA, ax,-0.47466293, ay,3.5226247, az,9.289233
52:50.0,1.42111E+12,AAA, ax,-0.6366261, ay,3.595074, az,9.41587
52:50.1,1.42111E+12,AAA, ax,-0.6728508, ay,3.4540672, az,9.520502
52:50.1,1.42111E+12,AAA, ax,-0.676593, ay,3.6092944, az,9.307196
52:50.1,1.42111E+12,AAA, ax,-0.60040146, ay,3.7028499, az,9.223819
52:50.1,1.42111E+12,AAA, ax,-0.6518944, ay,3.8007462, az,9.284892
52:50.1,1.42111E+12,AAA, ax,-0.66416883, ay,3.674409, az,9.280401
52:50.2,1.42111E+12,AAA, ax,-0.44951522, ay,3.456163, az,9.31498
52:50.2,1.42111E+12,AAA, ax,-0.6456075, ay,3.4117053, az,9.511221
52:50.2,1.42111E+12,AAA, ax,-0.671803, ay,3.50571, az,9.341025
52:50.2,1.42111E+12,AAA, ax,-0.658331, ay,3.4712815, az,9.416319
52:50.2,1.42111E+12,AAA, ax,-0.66536635, ay,3.4543667, az,9.325907
52:50.3,1.42111E+12,AAA, ax,-0.5530998, ay,3.300187, az,9.145382
52:50.3,1.42111E+12,AAA, ax,-0.6572832, ay,3.6612365, az,9.28609
52:50.3,1.42111E+12,AAA, ax,-0.71341646, ay,3.588787, az,9.233399
52:50.3,1.42111E+12,AAA, ax,-0.67210233, ay,3.6417768, az,9.184152
52:50.3,1.42111E+12,AAA, ax,-0.5640271, ay,3.5762131, az,9.082812
52:50.4,1.42111E+12,AAA, ax,-0.549657, ay,3.6486626, az,9.29522
52:50.4,1.42111E+12,AAA, ax,-0.5508545, ay,3.5456767, az,9.444011
52:50.4,1.42111E+12,AAA, ax,-0.62390256, ay,3.3724868, az,9.465716
52:50.4,1.42111E+12,AAA, ax,-0.51747394, ay,3.50571, az,9.595346
52:50.4,1.42111E+12,AAA, ax,-0.53289187, ay,3.560047, az,9.352851
52:50.5,1.42111E+12,AAA, ax,-0.62929136, ay,3.6332445, az,9.412726
