time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421375128138,20:25:28.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,-0.090,0.198,,
1421375128157,20:25:28.156,0.0,0.0,0.0,3.1,0.0,0.0,3.1,0.0,0.139,-0.125,0.203,,
1421375128162,20:25:28.162,3.3,7.1,13.0,4.6,0.0,6.9,0.0,11.3,0.164,-0.100,0.134,,
1421375128172,20:25:28.172,11.6,0.0,1.6,3.1,0.0,6.9,0.0,4.8,0.134,-0.178,0.188,,
1421375128177,20:25:28.177,8.3,1.8,0.0,0.0,1.4,0.0,0.0,0.0,0.130,-0.149,0.159,,
1421375128182,20:25:28.182,4.9,0.0,1.6,0.0,0.0,6.9,7.8,3.2,0.110,-0.159,0.139,,
1421375128229,20:25:28.228,1.6,19.5,11.3,1.5,5.8,6.9,0.0,6.4,0.120,-0.149,0.139,,
1421375128243,20:25:28.243,0.0,8.8,6.4,0.0,16.0,1.7,0.0,0.0,0.159,-0.100,0.164,,
1421375128249,20:25:28.248,0.0,7.0,9.7,0.0,7.2,0.0,1.5,0.0,0.149,-0.105,0.232,,
1421375128253,20:25:28.253,4.9,12.3,11.3,3.1,10.1,1.7,4.6,11.1,0.042,-0.413,0.081,,
1421375128259,20:25:28.258,6.5,19.5,11.3,7.7,7.2,3.5,6.2,9.5,0.061,-0.408,0.061,,
1421375128264,20:25:28.264,11.5,7.0,11.3,6.1,4.3,5.2,1.5,12.7,0.037,-0.398,0.056,,
1421375128271,20:25:28.271,4.9,12.3,11.3,1.5,11.6,0.0,9.3,7.9,0.066,-0.418,0.105,,
1421375128275,20:25:28.275,6.5,14.1,6.4,7.7,8.7,0.0,9.3,3.2,0.071,-0.428,0.086,,
1421375128281,20:25:28.281,8.2,7.0,12.9,3.1,10.1,0.0,4.6,6.3,0.208,-0.271,0.247,,
1421375128289,20:25:28.289,6.5,15.9,6.4,7.7,8.7,1.7,9.3,4.7,0.066,-0.428,0.100,,
1421375128295,20:25:28.295,8.2,7.0,11.3,3.1,10.1,6.9,3.1,11.1,0.051,-0.408,0.086,,
1421375128299,20:25:28.299,8.2,8.8,11.3,1.5,10.1,3.4,6.2,11.1,0.046,-0.413,0.090,,
1421375128307,20:25:28.307,13.2,10.5,8.1,0.0,7.2,6.9,6.2,0.0,0.169,-0.393,0.076,,
1421375128311,20:25:28.311,11.5,8.8,12.9,3.1,8.7,3.4,6.2,12.7,0.061,-0.413,0.090,,
1421375128320,20:25:28.320,4.9,17.7,8.1,9.2,5.8,12.1,1.5,7.9,0.169,-0.100,0.159,,
1421375128333,20:25:28.332,16.5,10.5,9.7,7.7,10.1,13.8,7.8,7.9,0.115,-0.139,0.164,,
1421375128336,20:25:28.336,6.5,8.8,0.0,9.2,8.7,0.0,12.5,14.3,0.105,-0.134,0.149,,
1421375128340,20:25:28.340,11.5,5.3,11.3,9.2,16.0,13.7,0.0,7.9,0.130,-0.139,0.115,,
1421375128344,20:25:28.344,14.8,21.3,0.0,9.2,8.7,13.7,10.9,11.1,0.139,-0.174,0.120,,
1421375128348,20:25:28.347,14.8,19.5,11.3,6.1,7.2,5.1,7.8,6.3,0.149,-0.130,0.130,,
1421375128351,20:25:28.350,19.8,15.9,14.6,1.5,13.1,1.7,4.6,9.5,0.139,-0.115,0.169,,
1421375128358,20:25:28.358,16.5,12.3,6.4,4.6,8.7,6.8,0.0,9.5,0.174,-0.095,0.164,,
1421375128362,20:25:28.362,19.8,12.3,9.7,9.2,13.1,8.6,0.0,7.9,0.149,-0.120,0.164,,
1421375128365,20:25:28.364,8.2,19.5,1.6,6.1,4.3,0.0,0.0,9.5,0.154,-0.086,0.193,,
