time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421375152864,20:25:52.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430,-1.474,-1.542,,
1421375152877,20:25:52.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,-1.449,-1.474,-1.547,,
1421375152881,20:25:52.881,0.0,0.0,1.7,0.0,0.0,0.0,1.8,0.0,-1.405,-1.488,-1.522,,
1421375152885,20:25:52.884,0.0,3.4,1.7,0.0,0.0,9.8,5.3,1.7,-1.435,-1.483,-1.522,,
1421375152894,20:25:52.892,0.0,8.6,0.0,0.0,0.0,13.1,3.6,0.0,-1.444,-1.488,-1.522,,
1421375152900,20:25:52.898,0.0,3.4,1.7,1.6,0.0,14.7,0.0,1.6,-1.435,-1.483,-1.488,,
1421375152912,20:25:52.903,4.7,13.8,0.0,0.0,10.2,14.7,0.0,3.3,-1.449,-1.474,-1.527,,
1421375152917,20:25:52.917,0.0,0.0,3.5,4.7,11.9,23.1,1.8,6.6,-1.430,-1.449,-1.498,,
1421375152923,20:25:52.922,9.3,0.0,3.5,3.1,6.8,13.1,3.5,25.1,-1.449,-1.483,-1.537,,
1421375152928,20:25:52.927,12.4,0.0,3.5,4.7,11.9,0.0,3.5,8.3,-1.405,-1.464,-1.522,,
1421375152939,20:25:52.939,7.7,0.0,6.9,6.2,15.3,0.0,5.3,8.3,-1.449,-1.474,-1.513,,
1421375152945,20:25:52.945,18.7,0.0,0.0,3.1,11.9,16.3,3.5,13.3,-1.430,-1.474,-1.522,,
1421375152950,20:25:52.950,9.3,3.4,5.2,3.1,11.9,18.0,3.5,8.3,-1.435,-1.464,-1.527,,
1421375152954,20:25:52.954,9.3,1.7,0.0,3.1,10.2,18.0,5.3,8.3,-1.439,-1.478,-1.522,,
1421375152959,20:25:52.959,7.7,5.1,10.3,4.7,11.9,16.3,3.5,6.6,-1.439,-1.474,-1.522,,
1421375152962,20:25:52.962,7.7,3.4,10.3,6.2,11.9,16.3,3.5,6.6,-1.439,-1.478,-1.522,,
1421375152969,20:25:52.969,18.7,5.1,10.3,4.7,11.9,9.7,0.0,6.6,-1.444,-1.478,-1.522,,
1421375152976,20:25:52.975,7.7,1.7,27.9,1.5,10.2,21.3,7.1,8.3,-1.444,-1.474,-1.488,,
1421375152979,20:25:52.979,7.7,0.0,10.3,3.1,10.2,16.3,7.1,6.6,-1.439,-1.478,-1.522,,
1421375152985,20:25:52.984,6.2,8.5,10.3,9.3,10.2,16.3,8.8,4.9,-1.435,-1.478,-1.527,,
1421375152994,20:25:52.993,7.7,1.7,8.6,3.1,11.9,16.3,7.1,6.6,-1.425,-1.474,-1.518,,
1421375152998,20:25:52.997,17.1,0.0,1.7,4.7,0.0,14.7,7.1,1.6,-1.435,-1.474,-1.522,,
1421375153004,20:25:53.003,9.3,6.8,0.0,7.8,21.9,16.3,7.1,6.6,-1.439,-1.478,-1.527,,
1421375153015,20:25:53.014,7.7,6.8,8.6,4.7,28.8,21.3,0.0,4.9,-1.444,-1.478,-1.527,,
1421375153018,20:25:53.018,7.7,8.5,8.6,3.1,20.2,22.9,7.1,6.6,-1.420,-1.483,-1.532,,
1421375153021,20:25:53.021,18.7,6.8,15.6,3.1,20.2,14.7,7.1,6.6,-1.454,-1.488,-1.522,,
1421375153035,20:25:53.034,6.2,13.6,10.3,1.5,20.2,13.0,7.1,6.6,-1.439,-1.478,-1.527,,
1421375153039,20:25:53.038,9.3,0.0,3.4,6.2,20.2,16.3,3.5,6.6,-1.415,-1.474,-1.527,,
1421375153044,20:25:53.044,9.3,6.8,1.7,4.7,0.0,14.7,5.3,1.6,-1.435,-1.474,-1.562,,
1421375153291,20:25:53.290,9.3,13.6,3.4,9.3,25.2,14.7,7.1,15.0,-1.444,-1.493,-1.557,,
1421375153296,20:25:53.295,15.5,11.9,8.6,4.7,23.5,13.0,5.3,6.6,-1.420,-1.439,-1.522,,
1421375153303,20:25:53.303,9.3,8.5,8.6,4.7,21.8,21.3,5.3,6.6,-1.410,-1.483,-1.532,,
1421375153314,20:25:53.314,0.0,8.5,8.6,9.3,30.4,16.3,10.6,8.3,-1.449,-1.488,-1.518,,
1421375153319,20:25:53.318,12.3,8.5,8.6,4.7,23.5,14.7,5.3,6.6,-1.435,-1.474,-1.522,,
1421375153323,20:25:53.322,12.3,8.5,8.6,3.1,23.5,14.7,5.3,6.6,-1.435,-1.483,-1.522,,
1421375153326,20:25:53.326,10.8,6.8,6.9,3.1,23.5,13.0,5.3,1.6,-1.435,-1.459,-1.503,,
1421375153333,20:25:53.333,12.3,8.5,8.6,3.1,21.8,14.7,5.3,6.6,-1.435,-1.474,-1.522,,
1421375153338,20:25:53.338,18.6,8.5,8.6,3.1,23.5,13.0,5.3,4.9,-1.435,-1.439,-1.518,,
1421375153341,20:25:53.341,12.3,6.8,8.6,3.1,23.5,16.3,5.3,4.9,-1.435,-1.474,-1.518,,
1421375153347,20:25:53.347,1.5,6.8,8.6,9.3,28.7,14.7,5.3,6.6,-1.469,-1.483,-1.522,,
1421375153352,20:25:53.351,21.7,6.8,10.3,0.0,23.5,14.7,5.3,0.0,-1.430,-1.474,-1.522,,
1421375153357,20:25:53.356,12.3,6.8,0.0,7.7,21.8,14.7,16.0,4.9,-1.435,-1.478,-1.527,,
1421375153363,20:25:53.362,12.3,1.7,17.0,7.7,23.5,14.7,10.6,3.3,-1.435,-1.474,-1.547,,
1421375153369,20:25:53.368,12.3,11.9,22.1,6.2,23.5,14.7,7.1,6.6,-1.430,-1.449,-1.513,,
1421375153373,20:25:53.373,12.3,13.6,22.1,6.2,23.5,16.3,7.1,6.6,-1.439,-1.444,-1.518,,
1421375153378,20:25:53.377,12.3,6.8,22.1,6.2,37.3,11.4,7.1,6.6,-1.483,-1.478,-1.527,,
1421375153384,20:25:53.383,4.6,6.8,22.1,10.9,26.9,14.7,8.8,1.6,-1.439,-1.459,-1.522,,
1421375153388,20:25:53.388,18.6,5.1,22.1,0.0,23.5,14.7,7.1,6.6,-1.435,-1.513,-1.522,,
1421375153393,20:25:53.393,10.8,8.5,29.1,0.0,30.4,16.3,0.0,6.6,-1.439,-1.478,-1.522,,
1421375153397,20:25:53.397,12.3,0.0,18.7,12.3,23.5,16.3,0.0,0.0,-1.435,-1.474,-1.547,,
1421375153405,20:25:53.405,12.3,15.3,20.4,13.9,21.8,14.7,24.5,1.6,-1.405,-1.478,-1.493,,
1421375153408,20:25:53.408,15.4,6.7,17.0,12.3,33.9,14.7,22.8,0.0,-1.435,-1.478,-1.527,,
1421375153411,20:25:53.411,12.3,6.7,22.1,24.9,25.2,14.7,24.5,6.6,-1.488,-1.478,-1.522,,
1421375153414,20:25:53.414,7.7,6.7,22.1,12.3,23.5,26.3,21.0,4.9,-1.439,-1.444,-1.518,,
1421375153417,20:25:53.417,12.3,6.7,22.1,3.1,23.5,16.3,24.5,8.3,-1.430,-1.488,-1.547,,
1421375153419,20:25:53.419,10.8,10.1,25.6,0.0,30.4,16.3,15.7,6.6,-1.444,-1.478,-1.527,,
1421375153422,20:25:53.422,10.8,5.0,13.5,12.3,25.2,13.0,1.7,0.0,-1.435,-1.474,-1.532,,
1421375153435,20:25:53.435,12.3,17.0,20.4,13.9,18.4,14.7,22.8,6.6,-1.547,-1.474,-1.522,,
1421375153438,20:25:53.438,0.0,6.7,17.0,13.9,23.5,14.7,24.5,4.9,-1.439,-1.474,-1.522,,
1421375153445,20:25:53.444,19.9,6.7,15.3,21.7,23.5,14.7,22.8,6.6,-1.469,-1.478,-1.527,,
1421375153485,20:25:53.485,16.8,0.0,13.5,13.9,23.5,24.6,22.8,1.6,-1.488,-1.459,-1.518,,
1421375153513,20:25:53.513,24.6,6.7,27.4,23.3,18.4,21.3,21.0,6.6,-1.439,-1.478,-1.522,,
1421375153558,20:25:53.558,18.3,6.7,22.1,20.1,25.2,14.7,24.5,6.6,-1.439,-1.483,-1.522,,
1421375153598,20:25:53.598,18.3,5.0,13.5,13.9,25.2,24.6,21.0,4.9,-1.435,-1.469,-1.518,,
1421375153608,20:25:53.608,19.9,0.0,23.9,10.8,21.8,13.0,22.8,0.0,-1.444,-1.488,-1.478,,
1421375153649,20:25:53.649,6.1,15.1,17.0,12.3,23.5,18.0,21.0,9.9,-1.430,-1.478,-1.488,,
1421375153659,20:25:53.659,18.3,13.4,22.1,12.3,21.8,13.0,21.0,19.9,-1.435,-1.483,-1.493,,
1421375153666,20:25:53.666,18.3,13.4,22.1,23.3,21.8,14.7,21.0,9.9,-1.405,-1.469,-1.508,,
1421375153698,20:25:53.698,19.9,15.1,22.1,1.5,21.8,14.7,26.3,18.2,-1.430,-1.474,-1.566,,
1421375153747,20:25:53.747,19.9,15.1,20.4,10.8,23.5,14.7,19.2,9.9,-1.430,-1.478,-1.527,,
1421375153756,20:25:53.756,19.9,15.1,23.9,13.9,21.8,22.9,21.0,8.2,-1.435,-1.449,-1.503,,
1421375153803,20:25:53.803,21.5,6.7,22.1,10.8,23.5,13.0,21.0,19.9,-1.444,-1.503,-1.454,,
1421375153809,20:25:53.809,19.9,0.0,13.5,12.3,23.5,16.3,19.2,9.9,-1.435,-1.474,-1.522,,
1421375153857,20:25:53.857,19.9,21.8,15.3,7.7,23.5,18.0,21.0,18.2,-1.444,-1.483,-1.483,,
1421375153868,20:25:53.868,26.1,23.5,22.1,12.3,21.8,14.7,39.0,11.5,-1.435,-1.474,-1.522,,
1421375153911,20:25:53.910,23.0,25.2,25.6,18.6,15.0,14.7,19.2,9.9,-1.430,-1.478,-1.513,,
1421375153950,20:25:53.950,30.9,21.8,20.4,13.9,23.5,13.0,13.9,9.9,-1.439,-1.483,-1.518,,
1421375153958,20:25:53.957,21.5,23.5,22.1,12.3,28.7,14.7,13.9,9.9,-1.430,-1.449,-1.503,,
1421375153965,20:25:53.964,21.5,30.3,22.1,12.3,16.7,6.5,19.2,0.0,-1.459,-1.478,-1.522,,
1421375154003,20:25:54.003,19.9,25.2,13.5,13.9,25.2,11.4,24.5,14.8,-1.439,-1.478,-1.493,,
1421375154043,20:25:54.043,19.9,23.5,1.7,24.9,21.8,8.1,19.2,13.1,-1.449,-1.478,-1.522,,
1421375154049,20:25:54.049,12.2,26.9,22.1,12.3,21.8,13.0,19.2,13.1,-1.420,-1.474,-1.522,,
1421375154089,20:25:54.089,30.9,25.2,25.6,18.6,15.0,14.7,17.4,11.5,-1.430,-1.474,-1.498,,
1421375154133,20:25:54.132,30.9,21.8,18.7,18.6,21.8,13.0,13.9,13.1,-1.439,-1.488,-1.542,,
1421375154146,20:25:54.146,32.5,23.5,22.1,12.3,21.8,16.3,15.7,18.1,-1.420,-1.454,-1.503,,
1421375154178,20:25:54.178,21.5,18.4,20.4,10.8,21.8,13.0,19.2,16.5,-1.444,-1.498,-1.459,,
1421375154213,20:25:54.213,29.3,23.5,13.5,12.3,23.5,13.0,19.2,13.1,-1.435,-1.474,-1.488,,
1421375154228,20:25:54.227,21.5,23.5,20.4,12.3,21.8,8.1,19.2,19.8,-1.444,-1.498,-1.513,,
1421375154265,20:25:54.265,15.3,25.2,22.1,12.3,21.8,13.0,19.2,13.1,-1.415,-1.469,-1.518,,
1421375154275,20:25:54.271,19.9,23.5,20.4,7.7,20.1,13.0,21.0,14.8,-1.435,-1.474,-1.518,,
1421375154290,20:25:54.290,30.9,25.2,20.4,0.0,21.8,13.0,26.3,11.5,-1.410,-1.483,-1.527,,
1421375154332,20:25:54.332,21.5,26.9,27.4,13.8,23.5,14.7,19.2,18.1,-1.430,-1.444,-1.503,,
