time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421632147457,19:49:07.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.916,0.369,,
1421632147467,19:49:07.466,0.0,0.0,25.7,60.8,1.5,0.0,1.5,22.9,0.467,0.765,0.042,,
1421632147471,19:49:07.471,12.0,0.0,37.3,30.5,0.0,23.1,3.1,0.0,0.716,0.995,0.105,,
1421632147474,19:49:07.474,3.4,1.8,14.3,30.5,1.5,23.1,4.6,14.3,0.550,0.907,0.115,,
1421632147478,19:49:07.477,5.1,0.0,4.7,30.5,35.9,23.1,4.6,0.0,0.657,1.107,-0.095,,
1421632147487,19:49:07.486,5.1,26.6,12.7,28.9,1.5,23.1,4.6,17.5,0.609,0.907,0.149,,
1421632147490,19:49:07.490,3.4,19.4,12.7,32.0,1.5,23.1,3.1,17.5,0.525,0.833,0.125,,
1421632147493,19:49:07.492,5.1,8.8,12.7,28.9,0.0,33.2,4.6,17.5,0.555,0.833,0.105,,
1421632147501,19:49:07.501,5.1,19.4,12.7,24.2,0.0,23.1,3.1,27.2,0.521,0.833,0.090,,
1421632147505,19:49:07.505,5.1,19.4,12.7,28.9,1.5,23.1,4.6,15.9,0.648,0.907,0.115,,
1421632147509,19:49:07.509,5.1,21.2,12.7,28.9,1.5,21.4,4.6,15.9,0.584,0.902,0.154,,
1421632147518,19:49:07.518,5.1,21.2,12.7,30.5,1.5,23.1,4.6,15.9,0.648,0.892,0.174,,
1421632147524,19:49:07.524,5.1,10.5,12.7,30.5,0.0,31.5,3.1,15.9,0.525,0.833,0.090,,
1421632147528,19:49:07.527,0.0,19.4,0.0,30.5,25.2,23.1,3.1,17.5,0.418,0.579,-0.017,,
1421632147533,19:49:07.532,13.6,21.2,17.4,30.5,1.5,21.4,3.1,15.9,0.594,0.902,0.149,,
1421632147538,19:49:07.537,8.5,21.2,30.4,60.8,1.5,0.0,1.5,40.4,0.477,0.760,0.042,,
1421632147541,19:49:07.541,0.0,26.6,17.4,28.9,1.5,21.4,3.1,7.9,0.804,0.990,0.120,,
1421632147544,19:49:07.543,33.6,28.4,17.4,28.9,0.0,16.4,4.6,17.5,0.843,0.692,0.174,,
1421632147547,19:49:07.547,13.2,3.5,17.4,12.0,7.3,18.1,4.6,15.9,0.428,0.574,-0.017,,
1421632147551,19:49:07.551,31.9,21.2,17.4,24.2,0.0,21.4,3.1,19.1,0.574,0.584,-0.017,,
1421632147554,19:49:07.554,37.0,21.2,17.4,28.9,31.2,21.4,0.0,12.7,0.760,0.726,-0.046,,
1421632147600,19:49:07.598,67.1,48.6,0.0,38.3,31.2,21.4,3.1,15.9,0.428,0.701,0.291,,
1421632147604,19:49:07.604,3.3,19.4,36.5,47.8,21.1,52.3,3.1,15.9,0.428,0.574,-0.017,,
1421632147607,19:49:07.606,35.3,24.8,25.2,24.2,16.8,21.4,0.0,17.5,0.574,0.579,-0.022,,
1421632147609,19:49:07.608,52.8,0.0,0.0,28.9,21.1,38.4,0.0,4.7,0.716,0.941,0.042,,
1421632147610,19:49:07.610,65.3,30.1,20.2,30.5,29.8,21.4,39.9,14.3,0.261,0.545,0.291,,
1421632147613,19:49:07.612,31.9,3.5,28.1,74.0,43.0,0.0,33.6,15.9,0.457,0.462,-0.144,,
1421632147617,19:49:07.616,31.9,24.7,31.3,30.5,41.5,24.7,27.3,15.9,0.569,0.907,0.149,,
1421632147619,19:49:07.619,67.1,22.9,31.3,28.9,29.8,23.0,0.0,12.7,0.784,0.657,-0.027,,
1421632147622,19:49:07.622,67.1,22.9,31.3,6.0,0.0,24.7,101.2,40.4,0.271,0.833,0.188,,
1421632147624,19:49:07.624,13.2,21.1,44.3,32.0,22.5,24.7,27.3,14.3,0.379,0.574,-0.032,,
1421632147626,19:49:07.626,31.9,22.9,31.3,28.9,32.6,23.0,27.3,15.9,0.511,0.833,0.095,,
1421632147628,19:49:07.628,30.1,22.9,111.4,47.8,32.6,16.3,24.2,15.9,0.364,0.648,-0.095,,
1421632147632,19:49:07.632,30.1,22.9,33.0,28.9,32.6,24.7,27.3,14.3,0.550,0.902,0.115,,
1421632147636,19:49:07.636,31.9,59.6,31.3,28.9,11.1,0.0,28.9,0.0,0.305,0.579,0.051,,
