time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421110374650,18:52:54.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.503,-1.449,-1.371,,
1421110374661,18:52:54.661,0.0,0.0,0.0,0.0,0.0,1.6,1.7,0.0,-1.503,-1.449,-1.371,,
1421110374664,18:52:54.664,1.5,1.7,1.6,1.5,0.0,0.0,0.0,0.0,-1.503,-1.449,-1.371,,
1421110374670,18:52:54.670,0.0,1.7,1.6,1.5,1.6,0.0,0.0,0.0,-1.503,-1.449,-1.371,,
1421110374673,18:52:54.673,1.5,1.7,3.3,1.5,6.6,3.2,1.7,0.0,-1.503,-1.449,-1.371,,
1421110374696,18:52:54.695,1.5,1.7,1.6,0.0,0.0,1.6,3.4,3.2,-1.503,-1.439,-1.371,,
1421110374702,18:52:54.701,3.1,3.3,1.6,1.5,1.6,1.6,1.7,0.0,-1.503,-1.444,-1.366,,
1421110374705,18:52:54.705,3.1,3.3,1.6,3.1,4.9,0.0,1.7,1.6,-1.503,-1.444,-1.366,,
1421110374710,18:52:54.710,1.5,6.7,1.6,0.0,1.6,1.6,0.0,0.0,-1.503,-1.444,-1.366,,
1421110374729,18:52:54.728,3.1,3.3,1.6,1.5,0.0,1.6,0.0,1.6,-1.522,-1.439,-1.361,,
1421110374736,18:52:54.733,3.1,1.7,1.6,1.5,1.6,1.6,1.7,0.0,-1.503,-1.444,-1.366,,
1421110374748,18:52:54.748,6.1,1.7,1.6,1.5,1.6,3.2,0.0,0.0,-1.513,-1.444,-1.361,,
1421110374759,18:52:54.759,4.6,5.0,1.6,0.0,1.6,1.6,1.7,1.6,-1.503,-1.435,-1.366,,
1421110374762,18:52:54.762,3.1,6.7,0.0,0.0,1.6,1.6,0.0,0.0,-1.503,-1.444,-1.366,,
1421110374772,18:52:54.764,3.1,5.0,1.6,1.5,1.6,1.6,3.4,0.0,-1.503,-1.444,-1.386,,
1421110374794,18:52:54.793,1.5,5.0,1.6,1.5,0.0,1.6,0.0,0.0,-1.503,-1.444,-1.366,,
1421110374809,18:52:54.809,6.1,5.0,1.6,1.5,1.6,0.0,1.7,0.0,-1.503,-1.444,-1.366,,
1421110374813,18:52:54.813,3.1,5.0,1.6,1.5,0.0,1.6,0.0,1.6,-1.503,-1.449,-1.371,,
1421110374816,18:52:54.816,3.1,5.0,1.6,1.5,1.6,3.2,1.7,0.0,-1.503,-1.449,-1.371,,
1421110374821,18:52:54.821,3.1,3.3,1.6,3.1,0.0,0.0,0.0,1.6,-1.503,-1.449,-1.371,,
1421110374825,18:52:54.824,3.1,3.3,1.6,1.5,4.9,1.6,0.0,0.0,-1.503,-1.449,-1.371,,
1421110374827,18:52:54.827,3.1,5.0,0.0,1.5,8.1,0.0,0.0,0.0,-1.503,-1.449,-1.371,,
1421110374834,18:52:54.834,4.6,5.0,1.6,0.0,4.9,1.6,1.7,0.0,-1.503,-1.449,-1.371,,
1421110374846,18:52:54.846,3.1,3.3,1.6,0.0,6.5,1.6,1.7,1.6,-1.503,-1.449,-1.371,,
1421110374862,18:52:54.851,6.1,5.0,0.0,1.5,6.5,0.0,1.7,0.0,-1.503,-1.449,-1.371,,
1421110374867,18:52:54.866,4.6,5.0,0.0,1.5,4.9,0.0,1.7,1.6,-1.503,-1.449,-1.371,,
1421110374874,18:52:54.874,3.1,5.0,3.3,1.5,4.9,0.0,1.7,0.0,-1.503,-1.444,-1.371,,
1421110374877,18:52:54.876,3.1,1.7,0.0,1.5,6.5,1.6,0.0,0.0,-1.503,-1.405,-1.366,,
1421110374880,18:52:54.880,3.1,1.7,1.6,1.5,6.5,1.6,0.0,1.6,-1.503,-1.449,-1.371,,
1421110374882,18:52:54.882,3.1,0.0,0.0,3.1,6.5,1.6,0.0,3.2,-1.503,-1.444,-1.366,,
1421110374885,18:52:54.884,3.1,6.7,0.0,1.5,6.5,1.6,1.7,3.2,-1.503,-1.444,-1.366,,
1421110374901,18:52:54.900,3.1,3.3,1.6,1.5,8.1,0.0,0.0,3.2,-1.498,-1.439,-1.371,,
1421110374911,18:52:54.911,3.1,6.7,1.6,1.5,6.5,1.6,0.0,3.2,-1.508,-1.439,-1.366,,
1421110374919,18:52:54.918,3.1,1.7,0.0,1.5,6.5,0.0,0.0,1.6,-1.503,-1.449,-1.366,,
1421110374925,18:52:54.925,1.5,5.0,1.6,1.5,4.9,0.0,0.0,3.2,-1.503,-1.444,-1.366,,
1421110374930,18:52:54.930,3.1,3.3,1.6,1.5,4.9,1.6,1.7,1.6,-1.503,-1.444,-1.356,,
1421110374935,18:52:54.935,3.1,5.0,0.0,3.1,6.5,1.6,1.7,6.4,-1.503,-1.444,-1.366,,
1421110374942,18:52:54.942,3.1,3.3,0.0,1.5,6.5,3.2,0.0,3.2,-1.503,-1.444,-1.347,,
1421110374945,18:52:54.945,3.1,1.7,1.6,3.1,4.9,0.0,0.0,3.2,-1.503,-1.444,-1.366,,
1421110374948,18:52:54.948,1.5,1.7,3.3,3.1,0.0,0.0,0.0,3.2,-1.503,-1.444,-1.366,,
1421110374951,18:52:54.951,1.5,1.7,1.6,4.6,4.9,1.6,1.7,1.6,-1.503,-1.483,-1.356,,
1421110374953,18:52:54.953,1.5,0.0,6.6,1.5,9.8,0.0,0.0,3.2,-1.503,-1.449,-1.400,,
1421110374960,18:52:54.960,3.1,5.0,4.9,6.2,6.5,1.6,11.7,6.4,-1.498,-1.410,-1.366,,
1421110374966,18:52:54.963,1.5,0.0,1.6,1.5,4.9,0.0,13.4,17.7,-1.508,-1.454,-1.386,,
1421110374969,18:52:54.968,13.9,0.0,11.6,3.1,0.0,6.3,11.7,0.0,-1.508,-1.444,-1.347,,
1421110374979,18:52:54.978,0.0,5.0,0.0,0.0,12.9,6.3,13.4,9.6,-1.478,-1.444,-1.366,,
1421110374982,18:52:54.982,16.8,6.6,24.6,7.7,14.5,4.7,5.0,8.0,-1.415,-1.435,-1.366,,
