time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421715017093,18:50:17.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.863,0.159,,
1421715017103,18:50:17.103,0.0,0.0,8.1,0.0,0.0,0.0,1.5,0.0,0.491,0.789,0.105,,
1421715017109,18:50:17.108,0.0,0.0,0.0,0.0,0.0,1.7,1.5,0.0,0.550,0.863,0.125,,
1421715017114,18:50:17.114,3.3,0.0,3.2,1.5,0.0,0.0,1.5,1.6,0.501,0.789,0.110,,
1421715017123,18:50:17.122,1.7,0.0,1.6,0.0,11.6,17.1,1.5,0.0,0.266,0.530,-0.217,,
1421715017127,18:50:17.127,3.3,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.320,0.310,-0.051,,
1421715017138,18:50:17.137,0.0,0.0,3.2,0.0,0.0,1.7,4.6,0.0,0.403,0.330,-0.017,,
1421715017143,18:50:17.143,0.0,23.9,3.2,0.0,0.0,0.0,0.0,0.0,0.408,0.310,-0.007,,
1421715017150,18:50:17.150,0.0,23.9,3.2,0.0,0.0,0.0,0.0,0.0,0.403,0.315,-0.012,,
1421715017157,18:50:17.157,0.0,23.9,3.2,0.0,0.0,0.0,0.0,0.0,0.393,0.315,-0.022,,
1421715017163,18:50:17.162,0.0,23.9,3.2,0.0,0.0,0.0,0.0,0.0,0.413,0.315,-0.007,,
1421715017170,18:50:17.170,0.0,23.9,3.2,0.0,0.0,1.7,0.0,0.0,0.364,0.315,-0.032,,
1421715017184,18:50:17.183,0.0,23.9,3.2,0.0,0.0,0.0,0.0,0.0,0.403,0.315,-0.017,,
1421715017190,18:50:17.189,0.0,23.9,3.2,0.0,0.0,0.0,0.0,0.0,0.638,0.545,0.174,,
1421715017192,18:50:17.192,0.0,23.9,3.2,0.0,0.0,0.0,32.9,0.0,0.413,0.320,-0.002,,
